parameter	burnin	psrf	ess_concat	ess_0
ln_likelihood	1	-	663.0363426223705	663.0363426223705
concentration	1	-	824.63260937075	824.63260937075
ln_likelihood_PopulationA	1	-	605.2391251518964	605.2391251518964
root_height_PopulationA	1	-	1000.0	1000.0
pop_size_PopulationA	1	-	1000.0	1000.0
pop_size_PopulationB	1	-	811.3346331617624	811.3346331617624
pop_size_root_PopulationA	1	-	974.4327834263735	974.4327834263735
ln_likelihood_PopulationC	1	-	1000.0	1000.0
root_height_PopulationC	1	-	950.2170844520938	950.2170844520938
pop_size_PopulationC	1	-	972.7898846773103	972.7898846773103
pop_size_PopulationD	1	-	671.7639713430344	671.7639713430344
pop_size_root_PopulationC	1	-	884.4745475411972	884.4745475411972
ln_likelihood_PopulationE	1	-	1000.0	1000.0
root_height_PopulationE	1	-	1000.0	1000.0
pop_size_PopulationE	1	-	654.3822370647479	654.3822370647479
pop_size_PopulationF	1	-	951.1742954610319	951.1742954610319
pop_size_root_PopulationE	1	-	721.3534762639896	721.3534762639896
ln_likelihood_PopulationG	1	-	1000.0	1000.0
root_height_PopulationG	1	-	1000.0	1000.0
pop_size_PopulationG	1	-	1000.0	1000.0
pop_size_PopulationH	1	-	831.8880101657742	831.8880101657742
pop_size_root_PopulationG	1	-	1000.0	1000.0
ln_likelihood_PopulationI	1	-	883.4394284408946	883.4394284408946
root_height_PopulationI	1	-	959.1120007441266	959.1120007441266
pop_size_PopulationI	1	-	734.7506100247454	734.7506100247454
pop_size_PopulationJ	1	-	961.279898667816	961.279898667816
pop_size_root_PopulationI	1	-	1000.0	1000.0
ln_likelihood_PopulationK	1	-	905.7690669127409	905.7690669127409
root_height_PopulationK	1	-	841.9472527906096	841.9472527906096
pop_size_PopulationK	1	-	789.5366915710564	789.5366915710564
pop_size_PopulationL	1	-	1000.0	1000.0
pop_size_root_PopulationK	1	-	1000.0	1000.0
ln_likelihood	100	-	682.1336723030331	682.1336723030331
concentration	100	-	824.6629821143781	824.6629821143781
ln_likelihood_PopulationA	100	-	901.0	901.0
