Run	Prob_1_Event	Prob_2_Events	Prob_3_Events	Prob_4_Events	Prob_5_Events	Prob_6_Events	Mean_Divergence_PopA_PopB	Mean_Divergence_PopC_PopD	Mean_Divergence_PopE_PopF	Mean_Divergence_PopG_PopH	Mean_Divergence_PopI_PopJ	Mean_Divergence_PopK_PopL	Gene_Length	Population_Size	Mutation_Rate	Samples_Simulated_Per_Pop	True_Number_Events	True_Divergence_PopA_PopB	True_Divergence_PopC_PopD	True_Divergence_PopE_PopF	True_Divergence_PopG_PopH	True_Divergence_PopI_PopJ	True_Divergence_PopK_PopL
1	0.929071	0.066933	0.002997	0	0	0.000999	0.000024	0.000033	0.000033	0.000023	0.000023	0.000023	1000	10000	1.00E-08	10	1	10000	10000	10000	10000	10000	10000
2	0.868132	0.115884	0.013986	0.000999	0	0.000999	0.000064	0.000074	0.000074	0.000076	0.000081	0.000065	1000	10000	1.00E-08	10	1	10000	10000	10000	10000	10000	10000
3	0.869131	0.114885	0.014985	0	0	0.000999	0.000036	0.000035	0.000049	0.000068	0.000042	0.000045	1000	10000	1.00E-08	10	1	10000	10000	10000	10000	10000	10000
4	0.947053	0.04995	0.001998	0	0	0.000999	0.000012	0.000012	0.000024	0.000022	0.000012	0.000012	1000	10000	1.00E-08	10	1	10000	10000	10000	10000	10000	10000
5	0.88012	0.107892	0.010989	0	0	0.000999	0.000031	0.000033	0.000032	0.000024	0.000024	0.000051	1000	10000	1.00E-08	10	1	10000	10000	10000	10000	10000	10000
6	0.941059	0.057942	0	0	0	0.000999	0.000014	0.000013	0.000013	0.000019	0.000021	0.000015	1000	10000	1.00E-08	10	1	10000	10000	10000	10000	10000	10000
7	0.959041	0.038961	0.000999	0	0	0.000999	0.00001	0.00001	0.000015	0.00001	0.000016	0.00001	1000	10000	1.00E-08	10	1	10000	10000	10000	10000	10000	10000
8	0.985015	0.013986	0	0	0	0.000999	0.000007	0.000007	0.000007	0.000007	0.000007	0.000007	1000	10000	1.00E-08	10	1	10000	10000	10000	10000	10000	10000
9	0.973027	0.025974	0	0	0	0.000999	0.000017	0.000011	0.000011	0.000011	0.000012	0.000011	1000	10000	1.00E-08	10	1	10000	10000	10000	10000	10000	10000
10	0.881119	0.113886	0.001998	0.001998	0	0.000999	0.000058	0.000052	0.000053	0.000062	0.000064	0.000063	1000	10000	1.00E-08	10	1	10000	10000	10000	10000	10000	10000
11	0.968032	0.02997	0.000999	0	0	0.000999	0.000016	0.000009	0.000009	0.000009	0.00001	0.000009	1000	10000	1.00E-08	10	1	10000	10000	10000	10000	10000	10000
12	0.917083	0.075924	0.005994	0	0	0.000999	0.000017	0.000032	0.000017	0.000033	0.000017	0.000017	1000	10000	1.00E-08	10	1	10000	10000	10000	10000	10000	10000
13	0.964036	0.033966	0.000999	0	0	0.000999	0.000017	0.000009	0.000009	0.000009	0.000009	0.000009	1000	10000	1.00E-08	10	1	10000	10000	10000	10000	10000	10000
