model	post_prob	cumulative_post_prob	prior_prob	bf
0,0,0,0,0,0	0.942222	0.942222	0.026065	609.347
0,0,1,0,0,0	0.02	0.962222	0.007329	2.76417
0,0,0,1,0,0	0.0155556	0.977778	0.007245	2.1652
0,0,0,0,0,1	0.00888889	0.986667	0.007288	1.22163
0,1,1,1,1,1	0.00222222	0.988889	0.007471	0.295882
0,0,1,1,0,0	0.00222222	0.991111	0.001853	1.1997
0,0,1,0,0,1	0.00111111	0.992222	0.0018	0.616858
0,0,0,1,0,1	0.00111111	0.993333	0.001804	0.615488
0,1,0,0,0,1	0.00111111	0.994444	0.001845	0.601786
0,1,0,0,0,2	0.00111111	0.995556	0.004706	0.235255
0,1,0,0,1,0	0.00111111	0.996667	0.001843	0.60244
0,1,0,0,1,1	0.00111111	0.997778	0.001198	0.927391
0,1,1,0,1,1	0.00111111	0.998889	0.001739	0.638535
0,1,0,0,0,0	0.00111111	1	0.007471	0.147776
