generation	ln_likelihood	ln_prior	number_of_events	concentration	root_height_index_PopulationA	ln_likelihood_PopulationA	ln_prior_PopulationA	root_height_PopulationA	mutation_rate_PopulationA	freq_1_PopulationA	pop_size_PopulationA	pop_size_PopulationB	pop_size_root_PopulationA	root_height_index_PopulationC	ln_likelihood_PopulationC	ln_prior_PopulationC	root_height_PopulationC	mutation_rate_PopulationC	freq_1_PopulationC	pop_size_PopulationC	pop_size_PopulationD	pop_size_root_PopulationC	root_height_index_PopulationE	ln_likelihood_PopulationE	ln_prior_PopulationE	root_height_PopulationE	mutation_rate_PopulationE	freq_1_PopulationE	pop_size_PopulationE	pop_size_PopulationF	pop_size_root_PopulationE	root_height_index_PopulationG	ln_likelihood_PopulationG	ln_prior_PopulationG	root_height_PopulationG	mutation_rate_PopulationG	freq_1_PopulationG	pop_size_PopulationG	pop_size_PopulationH	pop_size_root_PopulationG	root_height_index_PopulationI	ln_likelihood_PopulationI	ln_prior_PopulationI	root_height_PopulationI	mutation_rate_PopulationI	freq_1_PopulationI	pop_size_PopulationI	pop_size_PopulationJ	pop_size_root_PopulationI	root_height_index_PopulationK	ln_likelihood_PopulationK	ln_prior_PopulationK	root_height_PopulationK	mutation_rate_PopulationK	freq_1_PopulationK	pop_size_PopulationK	pop_size_PopulationL	pop_size_root_PopulationK
0	-4644.68531280231764	94.1786936292213852	6	4.6600131219754477	0	-731.784753334718175	13.2160509362419667	0.0113177123505001642	1	0.5	0.000781552450571248959	0.000781552450571248959	0.000722505717265922568	1	-782.15400646056662	10.4772069052346311	0.0107847416494168333	1	0.5	0.00216034068382069686	0.00216034068382069686	0.00222639896062132737	2	-757.755682619242521	13.8650685977718524	0.000901643783607141455	1	0.5	0.000387088698549610468	0.000387088698549610468	0.00041658922857923397	3	-905.825496204696492	14.3175614975090753	0.0385933513186484459	1	0.5	0.000114536809454574565	0.000114536809454574565	0.000125444949370360592	4	-749.55307507623445	12.6310917526788646	0.00585656312608526849	1	0.5	0.00111249787876842895	0.00111249787876842895	0.00110573390466002942	5	-717.612299106859268	13.4518030556733574	0.000162995834045874879	1	0.5	0.000679811689001237358	0.000679811689001237358	0.000696629489428792674
100	-4449.31650884448209	72.2704007462851052	1	2.69571879779403512	0	-708.508377255424307	13.0246437938173418	1.05726662333542125e-05	1	0.5	0.00104098794084359113	0.000756769970767720459	0.000846404819739577687	0	-743.932802137484828	8.17478091496667147	1.05726662333542125e-05	1	0.5	0.00232455501476828323	0.00223467782835316299	0.00163878040909925865	0	-747.423808721260798	14.1021191370234842	1.05726662333542125e-05	1	0.5	0.00032203412071404099	0.000384960062817479246	0.000362612655137477204	0	-802.905855556653478	13.9300901990677097	1.05726662333542125e-05	1	0.5	0.000117687981879811994	0.000122306325853155688	0.00013846567652814928	0	-731.716835367634644	11.5879397391079735	1.05726662333542125e-05	1	0.5	0.00158367539687514157	0.00156854246035625119	0.00143864065905929817	0	-714.828829806023577	12.7901711672945417	1.05726662333542125e-05	1	0.5	0.000607055748661829695	0.000653384571931167266	0.000511994195355699815
200	-4446.90954831298404	73.60811435192538	1	1.91290803091916572	0	-709.005252313233427	12.5198190484578387	3.11742166949892246e-06	1	0.5	0.000963642071688123008	0.000650140178688175916	0.000934939645366965355	0	-742.956870111329863	10.754377208813569	3.11742166949892246e-06	1	0.5	0.00178325100898747159	0.00173093034997787772	0.00146787932040632176	0	-747.553335028833658	13.8876787213474717	3.11742166949892246e-06	1	0.5	0.00054531657046925561	0.000426389970030885532	0.000472300041996509827	0	-802.796455064030738	14.5319520701492344	3.11742166949892246e-06	1	0.5	0.000161478777102238219	0.00014790119218184328	0.000147343130263185711	0	-729.556182802672765	8.89342788602967715	3.11742166949892246e-06	1	0.5	0.00153192889082565033	0.00156770006201738363	0.00105666825834677906	0	-715.041452992883023	13.661823540226921	3.11742166949892246e-06	1	0.5	0.000616584035281879514	0.000500470744540527793	0.000579657746012368007
300	-4441.36272373509564	81.3012125518899609	1	0.532795547750766096	0	-706.540364956304984	13.5658800478153641	1.41731728832774279e-05	1	0.5	0.000162002915273358472	0.000853624892162899098	0.000446380767169022934	0	-739.76615093780822	12.4559128141614259	1.41731728832774279e-05	1	0.5	0.000372922123359262561	0.000645705494854252951	0.000627458718060187166	0	-747.491566797879386	13.820887884256571	1.41731728832774279e-05	1	0.5	0.000578537827681934445	0.000414060058060372268	0.000465270719713632816	0	-805.274016099923756	14.5813746082731548	1.41731728832774279e-05	1	0.5	0.000112738252997561205	8.39209804953453524e-05	9.08641682952115776e-05	0	-728.147588195182948	12.5240489777176691	1.41731728832774279e-05	1	0.5	0.000455804305485295943	0.000797944428600175183	0.000752718774804882673	0	-714.143036747996234	13.9535462235714398	1.41731728832774279e-05	1	0.5	0.000531978496707065244	0.000222077132547993436	0.000341018108602008632
400	-4435.17672196526291	82.4214335367290545	1	1.47795980444574604	0	-705.164303419805606	13.381483288679652	2.96615253815599728e-05	1	0.5	0.000104778306590575415	0.000181220964986615385	0.000111441463973976446	0	-739.978409028466785	13.9573160703819781	2.96615253815599728e-05	1	0.5	0.000499100421857244492	0.000366906143364263779	0.000407922610805074286	0	-748.098211448462393	13.1940613579232853	2.96615253815599728e-05	1	0.5	0.000319632446580888133	0.00134150085252730876	0.000826531912357197094	0	-800.213275770521477	14.0695942280987119	2.96615253815599728e-05	1	0.5	0.000423647240352279235	0.000139463359828713744	0.000303422203454609574	0	-726.854674393909249	14.1654082657279616	2.96615253815599728e-05	1	0.5	0.000181263201620604627	0.000508966413791167908	0.000333240937392836965	0	-714.867847904097403	13.9077013757847059	2.96615253815599728e-05	1	0.5	0.000416374896899824546	0.000454536821624143734	0.000451971560589134967
500	-4432.05174467666347	80.8676772729602789	1	1.86601955905906003	0	-705.310401994916333	13.2309426935562513	4.5367195773642863e-06	1	0.5	0.000183037320464523912	0.000162722900196509747	0.000211227501818570153	0	-740.398595384462283	12.6908596350677136	4.5367195773642863e-06	1	0.5	0.00051920826736312996	0.00147258495851212328	0.000895062985378069034	0	-747.660492690252909	14.0023164801954749	4.5367195773642863e-06	1	0.5	0.000710389000408839268	7.01710209589103778e-05	0.00040447841283496581	0	-798.142061365650989	13.7879745696464546	4.5367195773642863e-06	1	0.5	0.000838008817807323492	0.000122074535885121526	0.000503106555518668844	0	-726.728252823998218	14.3653411949936469	4.5367195773642863e-06	1	0.5	0.000191136790283094615	0.000293746299380453265	0.000232648287546549274	0	-713.811940417382971	13.3891005278906334	4.5367195773642863e-06	1	0.5	0.000341566151352464269	0.000178298447368636378	0.000308300070793396819
600	-4433.19365046093753	75.3184449256857818	1	0.726130199441766377	0	-704.984242278917804	14.0800595752517221	1.29855453048123271e-05	1	0.5	9.23609545214860522e-05	4.87231487232462436e-05	5.85528396198341193e-05	0	-740.084887671321781	8.68216525807056527	1.29855453048123271e-05	1	0.5	0.000617311576547012442	0.00180110989943507867	0.000779309015043405488	0	-750.181505733552171	12.3693943833387578	1.29855453048123271e-05	1	0.5	0.00216652974752346104	0.000296090537074155595	0.00124865453132364597	0	-797.481334979766643	13.0546564237466924	1.29855453048123271e-05	1	0.5	0.00074348484330968162	0.000477169999695062949	0.000695424008335547572	0	-726.709545768556382	12.4176324324791842	1.29855453048123271e-05	1	0.5	0.000239741965910909816	0.000622090686125904846	0.000323892247034247979	0	-713.75213402882332	14.3864866012458066	1.29855453048123271e-05	1	0.5	0.000111260667858871954	0.00026143790492834932	0.00017110207261063383
700	-4431.10573196989844	71.4776296678749503	1	16.3240466403800788	0	-704.921029370319957	14.5140753503487403	4.5292382812005732e-06	1	0.5	0.00031507886582173635	2.9541466693184539e-05	0.000167237166991615534	0	-739.857663367853206	11.5966352434571824	4.5292382812005732e-06	1	0.5	0.000632700693476289993	0.000119881184545649527	0.000262941721237292751	0	-747.718378168039749	13.9592247182914129	4.5292382812005732e-06	1	0.5	0.000774189281411676077	5.74785533385198958e-05	0.000386107143128799836	0	-797.970686298958753	13.7444753535400377	4.5292382812005732e-06	1	0.5	0.000789158181958176806	0.000259530378794070767	0.000541369422618631266	0	-726.725306330326248	13.4129324948305069	4.5292382812005732e-06	1	0.5	0.000398075743830578037	0.000307604500758171208	0.000289032971134339225	0	-713.912668434401212	14.2383717413142552	4.5292382812005732e-06	1	0.5	0.000586895476149771017	3.27551442028698944e-05	0.000306979481564420749
800	-4431.51832957266924	84.1897082923151174	2	2.49597343439770381	0	-705.602721118310797	13.6088657218951212	0.00053959944882792587	1	0.5	0.000252919282414689123	4.40007179283549206e-05	0.000176139484457414332	1	-739.98728214476705	11.079475324195359	4.66263043540311105e-06	1	0.5	0.00176391377896566626	0.000197718230159691402	0.000722468708253943431	1	-747.753048909717791	14.1531249489210023	4.66263043540311105e-06	1	0.5	0.000244429408071391782	0.000231919198589816304	0.000256841317208438555	1	-797.732136618924073	13.5932045379463045	4.66263043540311105e-06	1	0.5	0.000960834259482907962	0.000306548990386363109	0.000618523051927523317	1	-726.862816327972268	14.5042706456139143	4.66263043540311105e-06	1	0.5	0.000111926261123552752	0.000243532152448049436	0.000175424271074270242	1	-713.580324452976697	14.5572892172197292	4.66263043540311105e-06	1	0.5	0.000263851037181401463	3.84199394375952738e-05	0.00014698645080377573
900	-4433.62765243816739	80.9867229244696745	1	1.11517782974571134	0	-705.844705902202804	14.3082465799014642	1.80869618989871647e-05	1	0.5	0.00011089818705556473	0.000434282013526972972	0.000271857617965948672	0	-740.649337093637541	12.9097008583115151	1.80869618989871647e-05	1	0.5	0.00112308388798612537	0.000421180692257007851	0.000858455025472837428	0	-747.409476788517622	13.805853805518522	1.80869618989871647e-05	1	0.5	0.000362173191379479352	0.000596299282309791651	0.000499771627611446303	0	-798.52981306919412	11.8295100135152556	1.80869618989871647e-05	1	0.5	0.00204489288616123031	0.000971915143500372562	0.00144236273592817277	0	-727.283720998056083	13.691331745951798	1.80869618989871647e-05	1	0.5	0.000589952832912075931	0.000497908591266658495	0.000502843196048773566	0	-713.910598586559331	14.3859999113383168	1.80869618989871647e-05	1	0.5	0.000312407259647104875	0.000140945090039591085	0.000215607063521418198
1000	-4432.13282029140646	81.1110355420605345	1	0.485414700200445692	0	-705.135661148282793	13.838219305532963	9.84523265535996165e-06	1	0.5	0.000113178317928010774	0.000110666223988093915	0.000130700228338362817	0	-740.303111600423676	12.6961246380293424	9.84523265535996165e-06	1	0.5	0.00106402313105847016	0.000289429828687887906	0.000791312822300593356	0	-747.703972745729402	13.708659258346362	9.84523265535996165e-06	1	0.5	0.000851698880014673454	0.000288260712988031931	0.000571223262476418031	0	-797.390530690554556	13.0830246827403691	9.84523265535996165e-06	1	0.5	0.000545161048673906438	0.00114388770760978122	0.000778772264647584504	0	-726.797914952164774	14.2009271713119318	9.84523265535996165e-06	1	0.5	0.000136989035232413733	0.000300616653963837262	0.000194638416976956072	0	-714.801629154251259	13.1797491303178589	9.84523265535996165e-06	1	0.5	0.000436065965852128657	0.00043662541779213753	0.000510075256038270254
