generation 10000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	2635	0	10	0.263158	none	
ConcentrationScaler	397	400	3	0.0789474	2.67042	
TimeSizeRateMixer	780	879	6	0.157895	0.186241	
TimeRootSizeMixer	810	819	6	0.157895	0.017589	
EventTimeScaler	4030	2224	1	0.0263158	2.42379	
RootPopulationSizeScaler0	1684	1767	1	0.0263158	0.442884	
LeafPopulationSizeScaler0	2567	860	1	0.0263158	1.37774	
RootPopulationSizeScaler1	1809	1622	1	0.0263158	0.404343	
LeafPopulationSizeScaler1	2337	1085	1	0.0263158	1.47764	
RootPopulationSizeScaler2	1746	1685	1	0.0263158	0.422246	
LeafPopulationSizeScaler2	2139	1258	1	0.0263158	1.51118	
RootPopulationSizeScaler3	1725	1701	1	0.0263158	0.444142	
LeafPopulationSizeScaler3	2172	1236	1	0.0263158	1.61812	
RootPopulationSizeScaler4	1721	1719	1	0.0263158	0.43627	
LeafPopulationSizeScaler4	2196	1238	1	0.0263158	1.81782	
RootPopulationSizeScaler5	1825	1625	1	0.0263158	0.418333	
LeafPopulationSizeScaler5	2537	873	1	0.0263158	1.55425	
generation 20000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	5320	0	10	0.263158	none	
ConcentrationScaler	750	816	3	0.0789474	2.7149	
TimeSizeRateMixer	1551	1702	6	0.157895	0.191223	
TimeRootSizeMixer	1613	1602	6	0.157895	0.0183898	
EventTimeScaler	7405	5033	1	0.0263158	2.61541	
RootPopulationSizeScaler0	3312	3491	1	0.0263158	0.455652	
LeafPopulationSizeScaler0	4795	2004	1	0.0263158	1.60531	
RootPopulationSizeScaler1	3482	3332	1	0.0263158	0.419207	
LeafPopulationSizeScaler1	4359	2439	1	0.0263158	1.64471	
RootPopulationSizeScaler2	3338	3471	1	0.0263158	0.432662	
LeafPopulationSizeScaler2	4036	2745	1	0.0263158	1.64028	
RootPopulationSizeScaler3	3296	3474	1	0.0263158	0.453777	
LeafPopulationSizeScaler3	4061	2723	1	0.0263158	1.74851	
