Run	Gene_Length	Population_Size	Mutation_Rate	Prob_1_Event	Prob_2_Events	Prob_3_Events	Prob_4_Events	Prob_5_Events	Prob_6_Events	Mean_Divergence_PopA_PopB	Mean_Divergence_PopC_PopD	Mean_Divergence_PopE_PopF	Mean_Divergence_PopG_PopH	Mean_Divergence_PopI_PopJ	Mean_Divergence_PopK_PopL	Gene_Length	Population_Size	Mutation_Rate	Samples_Simulated_Per_Pop	True_Number_Events	True_Divergence_PopA_PopB	True_Divergence_PopC_PopD	True_Divergence_PopE_PopF	True_Divergence_PopG_PopH	True_Divergence_PopI_PopJ	True_Divergence_PopK_PopL
1	X	Y	Z	0.866134	0.122877	0.00999	0	0	0.000999	0.000051	0.000052	0.000036	0.000036	0.000049	0.000044	1000	10000	1.00E-08	10	1	40000	40000	40000	40000	40000	40000
2	X	Y	Z	0.93007	0.066933	0.001998	0	0	0.000999	0.000008	0.000008	0.000008	0.000008	0.000008	0.000041	1000	10000	1.00E-08	10	1	40000	40000	40000	40000	40000	40000
3	X	Y	Z	0.949051	0.048951	0.000999	0	0	0.000999	0.000006	0.000009	0.000017	0.000006	0.000006	0.000006	1000	10000	1.00E-08	10	1	40000	40000	40000	40000	40000	40000
4	X	Y	Z	0.982018	0.014985	0.001998	0	0	0.000999	0.000008	0.000008	0.000008	0.000008	0.000008	0.000008	1000	10000	1.00E-08	10	1	40000	40000	40000	40000	40000	40000
5	X	Y	Z	0.958042	0.040959	0	0	0	0.000999	0.000018	0.000018	0.000019	0.000019	0.000018	0.000023	1000	10000	1.00E-08	10	1	40000	40000	40000	40000	40000	40000
6	X	Y	Z	0.971029	0.027972	0	0	0	0.000999	0.000006	0.000006	0.000006	0.000015	0.000006	0.000006	1000	10000	1.00E-08	10	1	40000	40000	40000	40000	40000	40000
7	X	Y	Z	0.959041	0.038961	0.000999	0	0	0.000999	0.000013	0.000013	0.000013	0.000013	0.00002	0.000013	1000	10000	1.00E-08	10	1	40000	40000	40000	40000	40000	40000
8	X	Y	Z	0.983017	0.015984	0	0	0	0.000999	0.000006	0.000007	0.000007	0.000007	0.000007	0.000007	1000	10000	1.00E-08	10	1	40000	40000	40000	40000	40000	40000
9	X	Y	Z	0.841159	0.131868	0.024975	0.000999	0	0.000999	0.000069	0.000056	0.000043	0.000042	0.000042	0.000053	1000	10000	1.00E-08	10	1	40000	40000	40000	40000	40000	40000
10	X	Y	Z	0.793207	0.197802	0.007992	0	0	0.000999	0.000033	0.000013	0.000013	0.000013	0.000013	0.000074	1000	10000	1.00E-08	10	1	40000	40000	40000	40000	40000	40000
