Run	Prob_1_Event	Prob_2_Events	Prob_3_Events	Prob_4_Events	Prob_5_Events	Prob_6_Events	Mean_Divergence_PopA_PopB	Mean_Divergence_PopC_PopD	Mean_Divergence_PopE_PopF	Mean_Divergence_PopG_PopH	Mean_Divergence_PopI_PopJ	Mean_Divergence_PopK_PopL	Gene_Length	Population_Size	Mutation_Rate	Samples_Simulated_Per_Pop	True_Number_Events	True_Divergence_PopA_PopB	True_Divergence_PopC_PopD	True_Divergence_PopE_PopF	True_Divergence_PopG_PopH	True_Divergence_PopI_PopJ	True_Divergence_PopK_PopL
1	0.821179	0.155844	0.021978	0	0	0.000999	0.000146	0.000124	0.000135	0.00013	0.000133	0.000121	1000	10000	1.00E-08	10	1	10000	10000	10000	10000	10000	10000
2	0.785215	0.17982	0.028971	0.004995	0	0.000999	0.000192	0.000204	0.000201	0.000189	0.000177	0.000192	1000	10000	1.00E-08	10	1	10000	10000	10000	10000	10000	10000
3	0.777223	0.183816	0.035964	0.001998	0	0.000999	0.000246	0.000246	0.000245	0.000235	0.000238	0.000243	1000	10000	1.00E-08	10	1	10000	10000	10000	10000	10000	10000
4	0.77023	0.18981	0.035964	0.002997	0	0.000999	0.000329	0.000315	0.000317	0.000304	0.000311	0.000314	1000	10000	1.00E-08	10	1	10000	10000	10000	10000	10000	10000
5	0.747253	0.218781	0.02997	0.002997	0	0.000999	0.00025	0.000273	0.000245	0.000271	0.000245	0.000255	1000	10000	1.00E-08	10	1	10000	10000	10000	10000	10000	10000
6	0.79021	0.184815	0.022977	0.000999	0	0.000999	0.000089	0.000088	0.000167	0.000105	0.000103	0.000089	1000	10000	1.00E-08	10	1	10000	10000	10000	10000	10000	10000
7	0.799201	0.165834	0.026973	0.005994	0.000999	0.000999	0.000231	0.000235	0.000247	0.000236	0.00024	0.000235	1000	10000	1.00E-08	10	1	10000	10000	10000	10000	10000	10000
8	0.894106	0.092907	0.010989	0.000999	0	0.000999	0.000112	0.000113	0.000108	0.000109	0.000113	0.000114	1000	10000	1.00E-08	10	1	10000	10000	10000	10000	10000	10000
9	0.757243	0.201798	0.030969	0.007992	0.000999	0.000999	0.000184	0.000226	0.000196	0.000185	0.000179	0.000164	1000	10000	1.00E-08	10	1	10000	10000	10000	10000	10000	10000
10	0.818182	0.161838	0.017982	0.000999	0	0.000999	0.00018	0.000193	0.000206	0.000196	0.000201	0.000184	1000	10000	1.00E-08	10	1	10000	10000	10000	10000	10000	10000
11	0.692308	0.257742	0.040959	0.006993	0.000999	0.000999	0.000203	0.000228	0.000223	0.00023	0.000188	0.000258	1000	10000	1.00E-08	10	1	10000	10000	10000	10000	10000	10000
12	0.86014	0.122877	0.014985	0.000999	0	0.000999	0.000112	0.000115	0.000123	0.000136	0.000116	0.000104	1000	10000	1.00E-08	10	1	10000	10000	10000	10000	10000	10000
13	0.743257	0.215784	0.036963	0.002997	0	0.000999	0.000218	0.000266	0.000238	0.000235	0.000266	0.000251	1000	10000	1.00E-08	10	1	10000	10000	10000	10000	10000	10000
14	0.712288	0.235764	0.044955	0.003996	0.001998	0.000999	0.000235	0.000241	0.000241	0.000226	0.000235	0.000336	1000	10000	1.00E-08	10	1	10000	10000	10000	10000	10000	10000
15	0.862138	0.122877	0.012987	0.000999	0	0.000999	0.000129	0.000128	0.000119	0.000133	0.000134	0.00012	1000	10000	1.00E-08	10	1	10000	10000	10000	10000	10000	10000
16	0.789211	0.183816	0.023976	0.001998	0	0.000999	0.000089	0.0001	0.000098	0.000087	0.000098	0.000148	1000	10000	1.00E-08	10	1	10000	10000	10000	10000	10000	10000
17	0.791209	0.168831	0.028971	0.008991	0.000999	0.000999	0.000176	0.000212	0.00021	0.000164	0.000162	0.000179	1000	10000	1.00E-08	10	1	10000	10000	10000	10000	10000	10000
18	0.866134	0.123876	0.007992	0.000999	0	0.000999	0.000092	0.000094	0.000101	0.000101	0.000111	0.000108	1000	10000	1.00E-08	10	1	10000	10000	10000	10000	10000	10000
19	0.781219	0.172827	0.037962	0.005994	0.000999	0.000999	0.000238	0.000246	0.000241	0.000237	0.000227	0.000237	1000	10000	1.00E-08	10	1	10000	10000	10000	10000	10000	10000
20	0.821179	0.161838	0.014985	0.000999	0	0.000999	0.000104	0.000086	0.000074	0.000086	0.000092	0.000088	1000	10000	1.00E-08	10	1	10000	10000	10000	10000	10000	10000
21	0.849151	0.138861	0.008991	0.001998	0	0.000999	0.000096	0.00012	0.000098	0.000081	0.000096	0.000086	1000	10000	1.00E-08	10	1	10000	10000	10000	10000	10000	10000
22	0.683317	0.251748	0.054945	0.008991	0	0.000999	0.000395	0.000374	0.000372	0.000369	0.000371	0.000433	1000	10000	1.00E-08	10	1	10000	10000	10000	10000	10000	10000
23	0.85015	0.124875	0.021978	0.001998	0	0.000999	0.00012	0.000091	0.000103	0.000105	0.000092	0.000104	1000	10000	1.00E-08	10	1	10000	10000	10000	10000	10000	10000
24	0.816184	0.144855	0.033966	0.003996	0	0.000999	0.000245	0.000242	0.00025	0.000248	0.000249	0.000243	1000	10000	1.00E-08	10	1	10000	10000	10000	10000	10000	10000
25	0.807193	0.164835	0.023976	0.002997	0	0.000999	0.000166	0.000148	0.000175	0.000179	0.000158	0.000162	1000	10000	1.00E-08	10	1	10000	10000	10000	10000	10000	10000
26	0.807193	0.167832	0.01998	0.002997	0.000999	0.000999	0.000179	0.000185	0.000191	0.000183	0.000181	0.000187	1000	10000	1.00E-08	10	1	10000	10000	10000	10000	10000	10000
27	0.817183	0.163836	0.013986	0.002997	0.000999	0.000999	0.000095	0.00011	0.000123	0.000122	0.000104	0.00011	1000	10000	1.00E-08	10	1	10000	10000	10000	10000	10000	10000
28	0.861139	0.123876	0.011988	0.001998	0	0.000999	0.000095	0.000113	0.000106	0.000108	0.000093	0.000104	1000	10000	1.00E-08	10	1	10000	10000	10000	10000	10000	10000
29	0.778222	0.185814	0.032967	0.001998	0	0.000999	0.000238	0.000214	0.000224	0.000229	0.000231	0.000225	1000	10000	1.00E-08	10	1	10000	10000	10000	10000	10000	10000
