parameter	burnin	psrf	ess_concat	ess_0
ln_likelihood	1	-	962.619366269435	962.619366269435
concentration	1	-	763.5903512151875	763.5903512151875
ln_likelihood_PopulationA	1	-	606.7001780820049	606.7001780820049
root_height_PopulationA	1	-	647.7242326951067	647.7242326951067
pop_size_PopulationA	1	-	648.6951276915181	648.6951276915181
pop_size_PopulationB	1	-	766.0988992525649	766.0988992525649
pop_size_root_PopulationA	1	-	522.1384454279887	522.1384454279887
ln_likelihood_PopulationC	1	-	950.986057645752	950.986057645752
root_height_PopulationC	1	-	871.5107312591002	871.5107312591002
pop_size_PopulationC	1	-	1000.0	1000.0
pop_size_PopulationD	1	-	948.3859420788021	948.3859420788021
pop_size_root_PopulationC	1	-	866.3451302361842	866.3451302361842
ln_likelihood_PopulationE	1	-	931.7502466420243	931.7502466420243
root_height_PopulationE	1	-	1000.0	1000.0
pop_size_PopulationE	1	-	726.4291996612399	726.4291996612399
pop_size_PopulationF	1	-	696.4319616928883	696.4319616928883
pop_size_root_PopulationE	1	-	774.2050029187817	774.2050029187817
ln_likelihood_PopulationG	1	-	869.2821225863883	869.2821225863883
root_height_PopulationG	1	-	1000.0	1000.0
pop_size_PopulationG	1	-	608.9995317634069	608.9995317634069
pop_size_PopulationH	1	-	1000.0	1000.0
pop_size_root_PopulationG	1	-	717.2460004650765	717.2460004650765
ln_likelihood_PopulationI	1	-	1000.0	1000.0
root_height_PopulationI	1	-	1000.0	1000.0
pop_size_PopulationI	1	-	657.0554503109433	657.0554503109433
pop_size_PopulationJ	1	-	1000.0	1000.0
pop_size_root_PopulationI	1	-	655.7565154332362	655.7565154332362
ln_likelihood_PopulationK	1	-	1000.0	1000.0
root_height_PopulationK	1	-	1000.0	1000.0
pop_size_PopulationK	1	-	1000.0	1000.0
pop_size_PopulationL	1	-	941.9482036044776	941.9482036044776
pop_size_root_PopulationK	1	-	1000.0	1000.0
ln_likelihood	100	-	901.0	901.0
