generation	ln_likelihood	ln_prior	number_of_events	concentration	root_height_index_PopulationA	ln_likelihood_PopulationA	ln_prior_PopulationA	root_height_PopulationA	mutation_rate_PopulationA	freq_1_PopulationA	pop_size_PopulationA	pop_size_PopulationB	pop_size_root_PopulationA	root_height_index_PopulationC	ln_likelihood_PopulationC	ln_prior_PopulationC	root_height_PopulationC	mutation_rate_PopulationC	freq_1_PopulationC	pop_size_PopulationC	pop_size_PopulationD	pop_size_root_PopulationC	root_height_index_PopulationE	ln_likelihood_PopulationE	ln_prior_PopulationE	root_height_PopulationE	mutation_rate_PopulationE	freq_1_PopulationE	pop_size_PopulationE	pop_size_PopulationF	pop_size_root_PopulationE	root_height_index_PopulationG	ln_likelihood_PopulationG	ln_prior_PopulationG	root_height_PopulationG	mutation_rate_PopulationG	freq_1_PopulationG	pop_size_PopulationG	pop_size_PopulationH	pop_size_root_PopulationG	root_height_index_PopulationI	ln_likelihood_PopulationI	ln_prior_PopulationI	root_height_PopulationI	mutation_rate_PopulationI	freq_1_PopulationI	pop_size_PopulationI	pop_size_PopulationJ	pop_size_root_PopulationI	root_height_index_PopulationK	ln_likelihood_PopulationK	ln_prior_PopulationK	root_height_PopulationK	mutation_rate_PopulationK	freq_1_PopulationK	pop_size_PopulationK	pop_size_PopulationL	pop_size_root_PopulationK
0	-4630.36895536751581	83.5044921945607967	6	5.5867042320252418	0	-748.906444860363308	10.5872205564244553	0.0136425367885110727	1	0.5	0.00150197256498505534	0.00150197256498505534	0.00116176448702393054	1	-827.320095381024089	8.09204398273489645	0.0322572103872731247	1	0.5	0.00338427573367499224	0.00338427573367499224	0.00332981943399897774	2	-758.784926695008721	7.9710476904614076	0.00325865032562618669	1	0.5	0.00291385572870455625	0.00291385572870455625	0.00230151894219401271	3	-800.577247934603747	13.091813917805931	4.88833088844172904e-05	1	0.5	0.000815514872279538461	0.000815514872279538461	0.000860727600670608997	4	-779.500322811843034	10.847248832441112	0.00013146098860202196	1	0.5	0.00199571218590550254	0.00199571218590550254	0.00201541331153622279	5	-715.279917684672682	14.7140736376817856	0.000604603992184097033	1	0.5	5.77545317684242127e-05	5.77545317684242127e-05	5.8649997333684348e-05
100	-4470.07984483893688	81.3701001405783302	3	2.28976668165170416	0	-732.977398128263872	12.635342442785916	0.001329349301793374	1	0.5	0.00107074198891937917	0.00104590711744364379	0.000969510617410244708	1	-766.497742536212513	10.6562958791856133	0.00137614688136658298	1	0.5	0.00199938127722040478	0.00209999913552743602	0.0021432827015236632	1	-749.107269144497423	11.1688249229717567	0.00137614688136658298	1	0.5	0.00181595767663892869	0.001874082486688283	0.00179135572954052923	1	-761.268729639893763	13.638339104103185	0.00137614688136658298	1	0.5	0.00065694948032283141	0.000564203946520784269	0.000593708323779425229	2	-744.223904578376505	12.2226085549860386	0.0026007606877910699	1	0.5	0.000910440512530674142	0.00166680095488123568	0.00120081160149487667	1	-716.00480081169303	14.6869646045928164	0.00137614688136658298	1	0.5	5.46886560901605688e-05	6.01368977871712538e-05	5.90756273925279371e-05
200	-4443.16548206949574	89.2016136311990238	4	3.76154379724854682	0	-725.349434224714855	13.6819374843601764	0.00288139532913614079	1	0.5	0.00028838905681186918	0.000782778237853631138	0.000560475471303102397	1	-761.246898574413535	12.0504619251618905	0.00332267411452821055	1	0.5	0.00143830533997061955	0.00134898253286435364	0.00140826308522845763	2	-741.648722906248508	12.1293313047529043	0.000593417349576887783	1	0.5	0.00046193205220884789	0.00124362101921351434	0.000676153343754697426	0	-760.991474670378238	13.3943275121221284	0.00288139532913614079	1	0.5	0.000932189343445773383	0.000534102080806471056	0.000715712082415980474	3	-738.496930423782032	13.4806891544660505	0.0036127720109261699	1	0.5	0.000591635645257271303	0.000754965302632959077	0.000684607599720203457	2	-715.432021269958454	14.7433119670887223	0.000593417349576887783	1	0.5	4.71355211346269223e-05	5.9638299089145527e-05	5.34304117693700813e-05
300	-4432.093153429827	83.4619829498556953	1	1.25678905768190829	0	-722.889439523995293	14.1952128666331419	0.00186509628587558222	1	0.5	7.57145265810831004e-05	0.000564250128216804117	0.000303515120741418406	0	-755.362160254710489	13.4871423729273801	0.00186509628587558222	1	0.5	0.000860556563496414737	0.000448866322785201584	0.000609276840855707395	0	-741.308466508162724	13.8005260817909274	0.00186509628587558222	1	0.5	0.000225902477326989261	0.000829251644287740163	0.000509455466386262855	0	-760.395720693321323	13.5764072033177126	0.00186509628587558222	1	0.5	0.000835909473029537221	0.000412224775542850848	0.000635477386334842875	0	-735.495887433820485	14.0048692277074345	0.00186509628587558222	1	0.5	0.000550854537979963347	0.000304790703028985058	0.000421104722526582887	0	-716.641479015816458	14.6437602025949829	0.00186509628587558222	1	0.5	5.86577476186854764e-05	6.68739037477315937e-05	5.78238616604388603e-05
400	-4431.72015910331356	82.4125057357523474	1	0.428679126568844326	0	-723.943891719578119	14.1815503350019139	0.00101146691810765407	1	0.5	3.77121666279899644e-05	0.000632441373383902544	0.000334807773725265127	0	-754.372748519175843	13.7467172302636005	0.00101146691810765407	1	0.5	0.000324496331161599626	0.000259776652721651821	0.000246224394845432682	0	-738.845454377870396	13.8824997476698506	0.00101146691810765407	1	0.5	0.000178179811967943202	0.000161716026565995695	0.000194903718138075632	0	-761.681606529242913	12.9792608950379709	0.00101146691810765407	1	0.5	0.000208847293222616612	0.000590260600354048271	0.000314915917019715184	0	-735.890065526685248	14.458078305629245	0.00101146691810765407	1	0.5	5.18146085164810218e-05	0.00029556106084690397	0.000178446770031611139	0	-716.986392430760588	12.8654964699380656	0.00101146691810765407	1	0.5	1.91300470353986792e-05	0.000155963374132835536	0.000111353769405995271
500	-4425.03773984245527	85.0343649036107934	2	1.04384860255872525	0	-721.059491859831155	13.2787262923388667	0.00243728760401097037	1	0.5	3.11566838636379571e-05	0.000284251890638264975	0.000192406831121078454	1	-754.777520116702135	14.2884440113809283	0.000887136599812071605	1	0.5	0.00028988304117312535	0.000171839299417653695	0.000211367190280415377	1	-738.629773550043865	13.3982574607157545	0.000887136599812071605	1	0.5	0.000623060098099547299	0.000106487630738863251	0.000422934873500579349	1	-760.289684167292762	13.6478379772121006	0.000887136599812071605	1	0.5	0.00038947180855620231	0.000120034282017276512	0.000294390527030900209	0	-734.271829833226661	14.2487671740206139	0.00243728760401097037	1	0.5	0.000266800631717914666	0.00026166831305540235	0.000274386059860765648	1	-716.009440315358916	14.737960004937209	0.000887136599812071605	1	0.5	2.49137171950753248e-05	4.10542138756540546e-05	3.07893739925990624e-05
600	-4427.58144320225892	83.6052969711101213	1	1.57150586443730034	0	-720.726093566676809	14.5777214954803114	0.0020105295066812196	1	0.5	0.000109374326035701245	0.00015504426818925733	0.000133191703052666166	0	-755.520303254184114	13.5311467267011132	0.0020105295066812196	1	0.5	0.000896956054273304569	0.000314832457964574111	0.000553507983134564709	0	-740.754329775624115	14.4024795924673619	0.0020105295066812196	1	0.5	0.000391420395725854554	2.45627998837763135e-05	0.000212441758055486582	0	-759.634535086265146	14.5988934425833428	0.0020105295066812196	1	0.5	0.000118457455368526884	0.000143583096437252143	0.000128583808076340093	0	-733.848273889233838	14.3077807359764169	0.0020105295066812196	1	0.5	0.000423364524935962612	0.000112430849831167859	0.000255603552000929529	0	-717.097907630274904	12.7224428774855554	0.0020105295066812196	1	0.5	5.04210146353139405e-05	8.62205969503164872e-05	8.79587331880963365e-05
700	-4425.10456109361712	82.9867682351812448	1	0.956343048727512857	0	-720.44859596629658	14.5683260310655562	0.00177319728994081139	1	0.5	3.9641221198637466e-05	0.000167073245254650116	0.000107408274947463531	0	-755.117678856610041	13.7743213579554755	0.00177319728994081139	1	0.5	0.000257511530560147067	0.000782227508055592094	0.000532094932163961571	0	-739.284695688901934	12.6380958644657504	0.00177319728994081139	1	0.5	0.000315472882761133687	0.00031319686725315277	0.000236003272253526672	0	-758.933835592180458	13.511269924076009	0.00177319728994081139	1	0.5	0.00039237838315237867	0.000113051133678226094	0.000296522855837947242	0	-735.068970393973927	13.9583830332315522	0.00177319728994081139	1	0.5	0.000736892155653730415	0.000107320342473376924	0.000434188386789723579	0	-716.250784595654409	14.5329725338629245	0.00177319728994081139	1	0.5	8.00161729307068918e-05	5.28402151156342719e-05	7.1083878785551771e-05
800	-4428.23676986824921	81.8984828062901471	2	3.59227709431801268	0	-721.103600545513473	14.561661231461354	0.0015709997101747324	1	0.5	3.086894497982573e-05	0.000267923544689274793	0.000147090658864673733	0	-754.955497560955337	13.3573641366782851	0.0015709997101747324	1	0.5	0.000139295210216467985	0.000354611597929023307	0.000294524941724605524	1	-741.695661624890135	12.1871741139117624	0.00152086496240112778	1	0.5	0.000875999077426336419	0.00091296611495945664	0.000720384740451539512	1	-759.414391166778387	12.5914964978518675	0.00152086496240112778	1	0.5	0.000455419783426680718	0.000335180848072256382	0.000490521730483094967	1	-734.335935628436687	14.2102703558634609	0.00152086496240112778	1	0.5	0.000397279178094879341	0.000162755354342358999	0.000291452010879392535	1	-716.731683341675307	14.5124495058539953	0.00152086496240112778	1	0.5	9.40985203619691099e-05	0.000234207596133022749	0.000156291686140258974
900	-4428.20460504791754	83.5084730134082776	2	2.21715635013871548	0	-721.988156914295018	14.5563200138361548	0.000702235472425923849	1	0.5	9.34547525182329519e-05	6.99699751701422893e-05	8.63130345858259686e-05	1	-754.358880680048856	14.3233492095513366	0.00137006126000655047	1	0.5	0.000258094940405626471	0.00026504548885537474	0.000250154290958105581	1	-740.109510224087103	13.4631615074983628	0.00137006126000655047	1	0.5	0.00102914078964129376	0.000364578848117288318	0.000691798571664164661	1	-759.841048275061439	14.0327735147038908	0.00137006126000655047	1	0.5	0.000667010223114397941	0.000114505384941222075	0.000366466965660532953	1	-735.437062861284062	12.6813879142957155	0.00137006126000655047	1	0.5	0.000598445825478368136	0.000200537358670955655	0.000491933192173320938	0	-716.46994609314072	13.1672574191997906	0.000702235472425923849	1	0.5	0.000701934962386785584	0.000156024932759155365	0.000347458673573880299
