model	post_prob	cumulative_post_prob	prior_prob	bf
0,0,0,0,0,0	0.7	0.7	0.026063	87.1933
0,0,0,0,0,1	0.0355556	0.735556	0.007339	4.98648
0,0,0,0,1,0	0.0244444	0.76	0.007318	3.39896
0,1,0,0,0,0	0.0222222	0.782222	0.007229	3.12118
0,0,1,0,0,0	0.0177778	0.8	0.007349	2.44476
0,0,0,1,0,0	0.0166667	0.816667	0.00741	2.27039
0,1,1,1,1,1	0.0133333	0.83	0.007343	1.82681
0,0,1,0,0,1	0.00888889	0.838889	0.001805	4.95979
0,0,1,1,1,0	0.00888889	0.847778	0.001189	7.53402
0,0,0,1,0,1	0.00777778	0.855556	0.001797	4.35429
0,1,0,0,1,0	0.00666667	0.862222	0.001841	3.63881
0,1,0,1,1,1	0.00555556	0.867778	0.001856	3.00443
0,0,1,0,1,0	0.00555556	0.873333	0.001868	2.98509
0,1,0,1,0,0	0.00444444	0.877778	0.001755	2.53929
0,0,0,1,1,0	0.00444444	0.882222	0.00185	2.40866
0,0,1,0,1,1	0.00444444	0.886667	0.001247	3.57556
0,0,1,0,0,2	0.00333333	0.89	0.004929	0.675187
0,0,0,0,1,2	0.00333333	0.893333	0.004703	0.707793
0,1,0,0,1,1	0.00333333	0.896667	0.001236	2.70255
0,1,0,1,0,1	0.00333333	0.9	0.001293	2.58326
0,1,0,0,0,2	0.00333333	0.903333	0.00478	0.696338
0,1,1,0,1,1	0.00333333	0.906667	0.001804	1.85058
0,1,1,1,0,1	0.00333333	0.91	0.001811	1.84342
0,0,1,1,1,1	0.00333333	0.913333	0.001799	1.85573
0,1,2,3,3,2	0.00222222	0.915556	0.003201	0.693546
0,1,2,2,3,3	0.00222222	0.917778	0.003251	0.682846
0,1,2,0,1,0	0.00222222	0.92	0.001634	1.36079
0,1,1,1,1,2	0.00222222	0.922222	0.004694	0.472245
0,0,0,0,1,1	0.00222222	0.924444	0.001799	1.23578
0,1,1,1,1,0	0.00222222	0.926667	0.001859	1.19582
0,0,1,2,3,0	0.00222222	0.928889	0.006402	0.34566
0,0,0,1,1,1	0.00222222	0.931111	0.001234	1.80261
0,1,0,0,0,1	0.00222222	0.933333	0.001817	1.22351
0,0,1,1,0,0	0.00222222	0.935556	0.001804	1.23235
0,1,0,2,0,2	0.00222222	0.937778	0.001641	1.35498
0,1,0,2,0,0	0.00222222	0.94	0.004661	0.475604
0,1,0,0,1,2	0.00222222	0.942222	0.001586	1.40204
0,1,0,1,1,0	0.00222222	0.944444	0.001237	1.79823
0,0,0,1,2,1	0.00222222	0.946667	0.001565	1.42089
0,0,1,0,1,2	0.00111111	0.947778	0.001636	0.678806
0,1,0,0,2,1	0.00111111	0.948889	0.001678	0.661788
0,1,0,0,2,0	0.00111111	0.95	0.004782	0.231499
0,0,0,1,2,0	0.00111111	0.951111	0.004829	0.229235
0,0,1,1,1,2	0.00111111	0.952222	0.001552	0.715606
0,0,1,0,2,1	0.00111111	0.953333	0.001598	0.694975
0,1,0,2,0,1	0.00111111	0.954444	0.001587	0.699799
0,0,1,0,2,2	0.00111111	0.955556	0.001553	0.715145
0,1,0,2,0,3	0.00111111	0.956667	0.006453	0.171264
0,1,0,2,1,0	0.00111111	0.957778	0.001595	0.696284
0,1,0,2,1,1	0.00111111	0.958889	0.001609	0.690216
0,1,0,2,1,3	0.00111111	0.96	0.003298	0.336167
0,1,0,2,3,0	0.00111111	0.961111	0.006295	0.175591
0,1,0,2,3,4	0.00111111	0.962222	0.019267	0.0566209
0,1,1,0,0,0	0.00111111	0.963333	0.001841	0.603096
0,1,1,0,0,1	0.00111111	0.964444	0.001197	0.928167
0,1,1,0,0,2	0.00111111	0.965556	0.001553	0.715145
0,1,1,0,1,0	0.00111111	0.966667	0.001187	0.935996
0,0,0,1,1,2	0.00111111	0.967778	0.001615	0.687647
0,1,1,0,2,1	0.00111111	0.968889	0.001567	0.708745
0,0,1,1,0,1	0.00111111	0.97	0.001192	0.932065
0,0,1,2,1,2	0.00111111	0.971111	0.000794	1.39983
0,0,1,2,0,1	0.00111111	0.972222	0.001545	0.718853
0,0,1,2,0,0	0.00111111	0.973333	0.004668	0.23718
0,1,1,1,2,1	0.00111111	0.974444	0.004683	0.236416
0,1,1,1,2,2	0.00111111	0.975556	0.001577	0.704244
0,1,1,2,0,1	0.00111111	0.976667	0.001579	0.703351
0,1,1,2,1,1	0.00111111	0.977778	0.004716	0.234754
0,1,1,2,1,2	0.00111111	0.978889	0.001537	0.722601
0,1,1,2,2,0	0.00111111	0.98	0.000827	1.34393
0,1,1,2,2,3	0.00111111	0.981111	0.003191	0.347477
0,1,2,0,0,0	0.00111111	0.982222	0.004748	0.233165
0,1,2,0,0,2	0.00111111	0.983333	0.001576	0.704692
