generation 10000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	2575	0	10	0.263158	none	
ConcentrationScaler	464	352	3	0.0789474	2.30825	
TimeSizeRateMixer	1178	1366	6	0.157895	0.27016	
TimeRootSizeMixer	1426	1307	6	0.157895	0.223275	
EventTimeScaler	5337	4651	1	0.0263158	1.32836	
RootPopulationSizeScaler0	1737	1696	1	0.0263158	0.454142	
LeafPopulationSizeScaler0	2340	1085	1	0.0263158	1.93813	
RootPopulationSizeScaler1	1810	1665	1	0.0263158	0.427537	
LeafPopulationSizeScaler1	2526	902	1	0.0263158	1.63971	
RootPopulationSizeScaler2	1699	1750	1	0.0263158	0.462242	
LeafPopulationSizeScaler2	2324	1131	1	0.0263158	1.82516	
RootPopulationSizeScaler3	1777	1677	1	0.0263158	0.425596	
LeafPopulationSizeScaler3	2226	1212	1	0.0263158	1.29649	
RootPopulationSizeScaler4	1669	1772	1	0.0263158	0.440877	
LeafPopulationSizeScaler4	2217	1228	1	0.0263158	1.44113	
RootPopulationSizeScaler5	1657	1795	1	0.0263158	0.455779	
LeafPopulationSizeScaler5	2475	990	1	0.0263158	1.71208	
generation 20000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	5239	0	10	0.263158	none	
ConcentrationScaler	884	730	3	0.0789474	2.45159	
TimeSizeRateMixer	2334	2743	6	0.157895	0.273674	
TimeRootSizeMixer	2674	2582	6	0.157895	0.230647	
EventTimeScaler	9916	9741	1	0.0263158	1.36054	
RootPopulationSizeScaler0	3389	3496	1	0.0263158	0.465336	
LeafPopulationSizeScaler0	4429	2433	1	0.0263158	2.18119	
RootPopulationSizeScaler1	3491	3445	1	0.0263158	0.439648	
LeafPopulationSizeScaler1	4819	2056	1	0.0263158	1.91551	
RootPopulationSizeScaler2	3323	3586	1	0.0263158	0.469799	
LeafPopulationSizeScaler2	4346	2567	1	0.0263158	2.01944	
RootPopulationSizeScaler3	3460	3418	1	0.0263158	0.437861	
LeafPopulationSizeScaler3	4160	2718	1	0.0263158	1.41548	
RootPopulationSizeScaler4	3320	3583	1	0.0263158	0.452126	
LeafPopulationSizeScaler4	4130	2772	1	0.0263158	1.56322	
RootPopulationSizeScaler5	3232	3650	1	0.0263158	0.463065	
LeafPopulationSizeScaler5	4637	2251	1	0.0263158	1.95125	
generation 30000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	7861	0	10	0.263158	none	
ConcentrationScaler	1289	1120	3	0.0789474	2.5075	
TimeSizeRateMixer	3534	4122	6	0.157895	0.275692	
TimeRootSizeMixer	4047	3882	6	0.157895	0.236803	
EventTimeScaler	14818	14938	1	0.0263158	1.3862	
RootPopulationSizeScaler0	4938	5308	1	0.0263158	0.467415	
LeafPopulationSizeScaler0	6435	3790	1	0.0263158	2.32074	
RootPopulationSizeScaler1	5144	5197	1	0.0263158	0.445801	
LeafPopulationSizeScaler1	6932	3328	1	0.0263158	2.05544	
RootPopulationSizeScaler2	4874	5425	1	0.0263158	0.472732	
LeafPopulationSizeScaler2	6251	4035	1	0.0263158	2.12346	
RootPopulationSizeScaler3	5032	5227	1	0.0263158	0.44294	
LeafPopulationSizeScaler3	6035	4191	1	0.0263158	1.48367	
RootPopulationSizeScaler4	4902	5377	1	0.0263158	0.457161	
LeafPopulationSizeScaler4	5912	4343	1	0.0263158	1.62005	
RootPopulationSizeScaler5	4797	5476	1	0.0263158	0.465314	
LeafPopulationSizeScaler5	6680	3602	1	0.0263158	2.08678	
generation 40000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	10483	0	10	0.263158	none	
ConcentrationScaler	1657	1492	3	0.0789474	2.53787	
TimeSizeRateMixer	4727	5647	6	0.157895	0.276473	
TimeRootSizeMixer	5393	5302	6	0.157895	0.240653	
EventTimeScaler	19787	20409	1	0.0263158	1.40227	
RootPopulationSizeScaler0	6487	7219	1	0.0263158	0.46869	
LeafPopulationSizeScaler0	8400	5301	1	0.0263158	2.40873	
RootPopulationSizeScaler1	6781	7011	1	0.0263158	0.450646	
LeafPopulationSizeScaler1	8994	4746	1	0.0263158	2.15228	
RootPopulationSizeScaler2	6458	7311	1	0.0263158	0.475082	
LeafPopulationSizeScaler2	8180	5590	1	0.0263158	2.19274	
RootPopulationSizeScaler3	6644	7072	1	0.0263158	0.446341	
LeafPopulationSizeScaler3	7930	5796	1	0.0263158	1.52653	
RootPopulationSizeScaler4	6520	7223	1	0.0263158	0.460649	
LeafPopulationSizeScaler4	7766	5976	1	0.0263158	1.66378	
RootPopulationSizeScaler5	6455	7293	1	0.0263158	0.468847	
LeafPopulationSizeScaler5	8717	5031	1	0.0263158	2.1783	
generation 50000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	13082	0	10	0.263158	none	
ConcentrationScaler	1993	1968	3	0.0789474	2.53473	
TimeSizeRateMixer	5876	7014	6	0.157895	0.277119	
TimeRootSizeMixer	6646	6684	6	0.157895	0.242503	
EventTimeScaler	24614	25583	1	0.0263158	1.41536	
RootPopulationSizeScaler0	7999	9048	1	0.0263158	0.469723	
LeafPopulationSizeScaler0	10242	6818	1	0.0263158	2.4698	
RootPopulationSizeScaler1	8327	8818	1	0.0263158	0.452834	
LeafPopulationSizeScaler1	10941	6116	1	0.0263158	2.22364	
RootPopulationSizeScaler2	8005	9086	1	0.0263158	0.477196	
LeafPopulationSizeScaler2	10009	7093	1	0.0263158	2.24368	
RootPopulationSizeScaler3	8236	8853	1	0.0263158	0.448941	
LeafPopulationSizeScaler3	9717	7370	1	0.0263158	1.55567	
RootPopulationSizeScaler4	8021	9055	1	0.0263158	0.461826	
LeafPopulationSizeScaler4	9469	7584	1	0.0263158	1.69364	
RootPopulationSizeScaler5	7970	9104	1	0.0263158	0.470756	
LeafPopulationSizeScaler5	10660	6437	1	0.0263158	2.2463	
generation 60000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	15649	0	10	0.263158	none	
