parameter	burnin	psrf	ess_concat	ess_0
ln_likelihood	1	-	961.7338443070814	961.7338443070814
concentration	1	-	1000.0	1000.0
ln_likelihood_PopulationA	1	-	907.1171167412735	907.1171167412735
root_height_PopulationA	1	-	1000.0	1000.0
pop_size_PopulationA	1	-	1000.0	1000.0
pop_size_PopulationB	1	-	1000.0	1000.0
pop_size_root_PopulationA	1	-	1000.0	1000.0
ln_likelihood_PopulationC	1	-	938.3057674296311	938.3057674296311
root_height_PopulationC	1	-	1000.0	1000.0
pop_size_PopulationC	1	-	1000.0	1000.0
pop_size_PopulationD	1	-	1000.0	1000.0
pop_size_root_PopulationC	1	-	1000.0	1000.0
ln_likelihood_PopulationE	1	-	980.0636193239011	980.0636193239011
root_height_PopulationE	1	-	1000.0	1000.0
pop_size_PopulationE	1	-	1000.0	1000.0
pop_size_PopulationF	1	-	1000.0	1000.0
pop_size_root_PopulationE	1	-	1000.0	1000.0
ln_likelihood_PopulationG	1	-	1000.0	1000.0
root_height_PopulationG	1	-	1000.0	1000.0
pop_size_PopulationG	1	-	774.4709855527401	774.4709855527401
pop_size_PopulationH	1	-	923.5353859238962	923.5353859238962
pop_size_root_PopulationG	1	-	1000.0	1000.0
ln_likelihood_PopulationI	1	-	770.8151393946936	770.8151393946936
root_height_PopulationI	1	-	1000.0	1000.0
pop_size_PopulationI	1	-	1000.0	1000.0
pop_size_PopulationJ	1	-	724.0627530007199	724.0627530007199
pop_size_root_PopulationI	1	-	919.7017493698486	919.7017493698486
ln_likelihood_PopulationK	1	-	1000.0	1000.0
root_height_PopulationK	1	-	1000.0	1000.0
pop_size_PopulationK	1	-	687.1913498047217	687.1913498047217
pop_size_PopulationL	1	-	1000.0	1000.0
pop_size_root_PopulationK	1	-	985.3992018628511	985.3992018628511
ln_likelihood	100	-	901.0	901.0
concentration	100	-	901.0	901.0
ln_likelihood_PopulationA	100	-	901.0	901.0
root_height_PopulationA	100	-	901.0	901.0
pop_size_PopulationA	100	-	715.2708366172949	715.2708366172949
pop_size_PopulationB	100	-	901.0	901.0
pop_size_root_PopulationA	100	-	901.0	901.0
ln_likelihood_PopulationC	100	-	901.0	901.0
root_height_PopulationC	100	-	901.0	901.0
pop_size_PopulationC	100	-	901.0	901.0
pop_size_PopulationD	100	-	901.0	901.0
pop_size_root_PopulationC	100	-	901.0	901.0
ln_likelihood_PopulationE	100	-	901.0	901.0
root_height_PopulationE	100	-	901.0	901.0
pop_size_PopulationE	100	-	901.0	901.0
pop_size_PopulationF	100	-	901.0	901.0
pop_size_root_PopulationE	100	-	901.0	901.0
ln_likelihood_PopulationG	100	-	667.6679263897593	667.6679263897593
root_height_PopulationG	100	-	901.0	901.0
pop_size_PopulationG	100	-	901.0	901.0
pop_size_PopulationH	100	-	901.0	901.0
pop_size_root_PopulationG	100	-	901.0	901.0
ln_likelihood_PopulationI	100	-	658.5207621039044	658.5207621039044
root_height_PopulationI	100	-	901.0	901.0
pop_size_PopulationI	100	-	901.0	901.0
pop_size_PopulationJ	100	-	749.9731473328336	749.9731473328336
pop_size_root_PopulationI	100	-	835.7088036928101	835.7088036928101
ln_likelihood_PopulationK	100	-	901.0	901.0
root_height_PopulationK	100	-	901.0	901.0
pop_size_PopulationK	100	-	722.0878873403801	722.0878873403801
pop_size_PopulationL	100	-	901.0	901.0
pop_size_root_PopulationK	100	-	901.0	901.0
ln_likelihood	200	-	801.0	801.0
concentration	200	-	801.0	801.0
ln_likelihood_PopulationA	200	-	801.0	801.0
root_height_PopulationA	200	-	801.0	801.0
pop_size_PopulationA	200	-	801.0	801.0
pop_size_PopulationB	200	-	659.7532153063223	659.7532153063223
pop_size_root_PopulationA	200	-	801.0	801.0
ln_likelihood_PopulationC	200	-	801.0	801.0
root_height_PopulationC	200	-	716.4363716873065	716.4363716873065
pop_size_PopulationC	200	-	801.0	801.0
pop_size_PopulationD	200	-	801.0	801.0
pop_size_root_PopulationC	200	-	801.0	801.0
ln_likelihood_PopulationE	200	-	801.0	801.0
root_height_PopulationE	200	-	801.0	801.0
pop_size_PopulationE	200	-	789.078282492937	789.078282492937
pop_size_PopulationF	200	-	748.3708369599284	748.3708369599284
pop_size_root_PopulationE	200	-	801.0	801.0
ln_likelihood_PopulationG	200	-	546.8447265283469	546.8447265283469
root_height_PopulationG	200	-	801.0	801.0
pop_size_PopulationG	200	-	602.4699418493215	602.4699418493215
pop_size_PopulationH	200	-	801.0	801.0
pop_size_root_PopulationG	200	-	775.7910027570641	775.7910027570641
ln_likelihood_PopulationI	200	-	572.5716000964503	572.5716000964503
root_height_PopulationI	200	-	801.0	801.0
pop_size_PopulationI	200	-	628.0371479578703	628.0371479578703
pop_size_PopulationJ	200	-	743.6624650491804	743.6624650491804
pop_size_root_PopulationI	200	-	746.0497782352987	746.0497782352987
ln_likelihood_PopulationK	200	-	722.3945213298207	722.3945213298207
root_height_PopulationK	200	-	801.0	801.0
pop_size_PopulationK	200	-	726.1266658473207	726.1266658473207
pop_size_PopulationL	200	-	801.0	801.0
pop_size_root_PopulationK	200	-	801.0	801.0
ln_likelihood	300	-	701.0	701.0
concentration	300	-	701.0	701.0
ln_likelihood_PopulationA	300	-	701.0	701.0
root_height_PopulationA	300	-	701.0	701.0
pop_size_PopulationA	300	-	701.0	701.0
pop_size_PopulationB	300	-	701.0	701.0
pop_size_root_PopulationA	300	-	701.0	701.0
ln_likelihood_PopulationC	300	-	682.4034199707663	682.4034199707663
root_height_PopulationC	300	-	701.0	701.0
pop_size_PopulationC	300	-	701.0	701.0
pop_size_PopulationD	300	-	696.5603688891814	696.5603688891814
pop_size_root_PopulationC	300	-	701.0	701.0
ln_likelihood_PopulationE	300	-	701.0	701.0
root_height_PopulationE	300	-	701.0	701.0
pop_size_PopulationE	300	-	701.0	701.0
pop_size_PopulationF	300	-	622.2197666591437	622.2197666591437
pop_size_root_PopulationE	300	-	618.223917913543	618.223917913543
ln_likelihood_PopulationG	300	-	613.3225959861782	613.3225959861782
root_height_PopulationG	300	-	701.0	701.0
pop_size_PopulationG	300	-	610.1868891449893	610.1868891449893
pop_size_PopulationH	300	-	701.0	701.0
pop_size_root_PopulationG	300	-	701.0	701.0
ln_likelihood_PopulationI	300	-	495.42465104885093	495.42465104885093
root_height_PopulationI	300	-	701.0	701.0
pop_size_PopulationI	300	-	558.2037059226832	558.2037059226832
pop_size_PopulationJ	300	-	658.4596765182182	658.4596765182182
pop_size_root_PopulationI	300	-	642.1912366141121	642.1912366141121
ln_likelihood_PopulationK	300	-	701.0	701.0
root_height_PopulationK	300	-	701.0	701.0
pop_size_PopulationK	300	-	575.7141916031809	575.7141916031809
pop_size_PopulationL	300	-	701.0	701.0
pop_size_root_PopulationK	300	-	701.0	701.0
ln_likelihood	400	-	601.0	601.0
concentration	400	-	601.0	601.0
ln_likelihood_PopulationA	400	-	575.3764485832177	575.3764485832177
root_height_PopulationA	400	-	601.0	601.0
pop_size_PopulationA	400	-	406.71832675963043	406.71832675963043
pop_size_PopulationB	400	-	544.9819451945347	544.9819451945347
pop_size_root_PopulationA	400	-	454.7940761604416	454.7940761604416
ln_likelihood_PopulationC	400	-	601.0	601.0
root_height_PopulationC	400	-	585.4613793349341	585.4613793349341
pop_size_PopulationC	400	-	601.0	601.0
pop_size_PopulationD	400	-	601.0	601.0
pop_size_root_PopulationC	400	-	601.0	601.0
ln_likelihood_PopulationE	400	-	601.0	601.0
root_height_PopulationE	400	-	601.0	601.0
pop_size_PopulationE	400	-	601.0	601.0
