Run	Prob_1_Event	Prob_2_Events	Prob_3_Events	Prob_4_Events	Prob_5_Events	Prob_6_Events	Mean_Divergence_PopA_PopB	Mean_Divergence_PopC_PopD	Mean_Divergence_PopE_PopF	Mean_Divergence_PopG_PopH	Mean_Divergence_PopI_PopJ	Mean_Divergence_PopK_PopL	Gene_Length	Population_Size	Mutation_Rate	Samples_Simulated_Per_Pop	True_Number_Events	True_Divergence_PopA_PopB	True_Divergence_PopC_PopD	True_Divergence_PopE_PopF	True_Divergence_PopG_PopH	True_Divergence_PopI_PopJ	True_Divergence_PopK_PopL
1	0.648352	0.294705	0.052947	0.001998	0.000999	0.000999	0.00016	0.000271	0.000156	0.000137	0.000158	0.000181	1000	10000	1.00E-08	10	1	20000	20000	20000	20000	20000	20000
2	0.764236	0.188811	0.037962	0.006993	0.000999	0.000999	0.000228	0.000222	0.000224	0.000219	0.00023	0.000242	1000	10000	1.00E-08	10	1	20000	20000	20000	20000	20000	20000
3	0.749251	0.196803	0.038961	0.012987	0.000999	0.000999	0.000366	0.000377	0.000383	0.000377	0.000373	0.000375	1000	10000	1.00E-08	10	1	20000	20000	20000	20000	20000	20000
4	0.457542	0.384615	0.124875	0.028971	0.001998	0.001998	0.000222	0.000386	0.000179	0.000486	0.000206	0.000167	1000	10000	1.00E-08	10	1	20000	20000	20000	20000	20000	20000
5	0.667333	0.260739	0.061938	0.007992	0.000999	0.000999	0.000341	0.000327	0.000325	0.000374	0.000323	0.000419	1000	10000	1.00E-08	10	1	20000	20000	20000	20000	20000	20000
6	0.732268	0.207792	0.044955	0.011988	0.001998	0.000999	0.000295	0.000306	0.000305	0.000305	0.00032	0.000366	1000	10000	1.00E-08	10	1	20000	20000	20000	20000	20000	20000
7	0.68032	0.240759	0.067932	0.004995	0.002997	0.002997	0.000396	0.000342	0.000333	0.000347	0.000409	0.000341	1000	10000	1.00E-08	10	1	20000	20000	20000	20000	20000	20000
8	0.819181	0.14985	0.024975	0.004995	0	0.000999	0.00017	0.000169	0.000168	0.000165	0.000173	0.000169	1000	10000	1.00E-08	10	1	20000	20000	20000	20000	20000	20000
9	0.509491	0.325674	0.114885	0.037962	0.010989	0.000999	0.00051	0.00048	0.000469	0.000298	0.000423	0.000431	1000	10000	1.00E-08	10	1	20000	20000	20000	20000	20000	20000
10	0.775225	0.190809	0.025974	0.004995	0.001998	0.000999	0.000236	0.000232	0.000234	0.000243	0.000255	0.000244	1000	10000	1.00E-08	10	1	20000	20000	20000	20000	20000	20000
11	0.824176	0.146853	0.026973	0.000999	0	0.000999	0.000129	0.000141	0.000145	0.000133	0.000128	0.000121	1000	10000	1.00E-08	10	1	20000	20000	20000	20000	20000	20000
12	0.639361	0.260739	0.078921	0.012987	0.006993	0.000999	0.000423	0.000382	0.000517	0.00047	0.000397	0.000385	1000	10000	1.00E-08	10	1	20000	20000	20000	20000	20000	20000
13	0.646354	0.257742	0.071928	0.018981	0.003996	0.000999	0.000491	0.000496	0.000527	0.000493	0.000578	0.000533	1000	10000	1.00E-08	10	1	20000	20000	20000	20000	20000	20000
14	0.759241	0.204795	0.02997	0.003996	0.000999	0.000999	0.000316	0.000302	0.000306	0.000312	0.0003	0.000299	1000	10000	1.00E-08	10	1	20000	20000	20000	20000	20000	20000
15	0.772228	0.190809	0.030969	0.003996	0.000999	0.000999	0.000276	0.0003	0.00029	0.000286	0.000284	0.000278	1000	10000	1.00E-08	10	1	20000	20000	20000	20000	20000	20000
16	0.659341	0.261738	0.056943	0.017982	0.002997	0.000999	0.000492	0.000452	0.000469	0.000426	0.000411	0.000409	1000	10000	1.00E-08	10	1	20000	20000	20000	20000	20000	20000
17	0.701299	0.234765	0.052947	0.00999	0	0.000999	0.000362	0.000354	0.000361	0.000453	0.000352	0.000376	1000	10000	1.00E-08	10	1	20000	20000	20000	20000	20000	20000
18	0.785215	0.188811	0.022977	0.001998	0	0.000999	0.000206	0.000214	0.000205	0.000199	0.000205	0.000209	1000	10000	1.00E-08	10	1	20000	20000	20000	20000	20000	20000
19	0.667333	0.257742	0.062937	0.00999	0.000999	0.000999	0.000244	0.000383	0.000267	0.000271	0.000345	0.000272	1000	10000	1.00E-08	10	1	20000	20000	20000	20000	20000	20000
20	0.769231	0.186813	0.032967	0.007992	0.001998	0.000999	0.000285	0.000291	0.000282	0.000319	0.000277	0.000282	1000	10000	1.00E-08	10	1	20000	20000	20000	20000	20000	20000
