generation 10000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	2617	0	10	0.263158	none	
ConcentrationScaler	349	364	3	0.0789474	2.44068	
TimeSizeRateMixer	1078	1298	6	0.157895	0.246217	
TimeRootSizeMixer	1431	876	6	0.157895	0.0952872	
EventTimeScaler	4835	4080	1	0.0263158	1.18984	
RootPopulationSizeScaler0	1678	1775	1	0.0263158	0.474353	
LeafPopulationSizeScaler0	2269	1183	1	0.0263158	1.6222	
RootPopulationSizeScaler1	1754	1716	1	0.0263158	0.44458	
LeafPopulationSizeScaler1	2383	1094	1	0.0263158	2.39555	
RootPopulationSizeScaler2	1733	1740	1	0.0263158	0.437078	
LeafPopulationSizeScaler2	2149	1321	1	0.0263158	1.47877	
RootPopulationSizeScaler3	1767	1682	1	0.0263158	0.432477	
LeafPopulationSizeScaler3	2358	1091	1	0.0263158	1.50977	
RootPopulationSizeScaler4	1675	1759	1	0.0263158	0.466817	
LeafPopulationSizeScaler4	2248	1206	1	0.0263158	1.7952	
RootPopulationSizeScaler5	1708	1768	1	0.0263158	0.46244	
LeafPopulationSizeScaler5	2334	1095	1	0.0263158	2.00811	
generation 20000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	5183	0	10	0.263158	none	
ConcentrationScaler	711	786	3	0.0789474	2.50925	
TimeSizeRateMixer	2301	2701	6	0.157895	0.251333	
TimeRootSizeMixer	2823	1860	6	0.157895	0.105876	
EventTimeScaler	9554	8629	1	0.0263158	1.2542	
RootPopulationSizeScaler0	3212	3764	1	0.0263158	0.476311	
LeafPopulationSizeScaler0	4235	2760	1	0.0263158	1.76628	
RootPopulationSizeScaler1	3453	3514	1	0.0263158	0.45616	
LeafPopulationSizeScaler1	4485	2519	1	0.0263158	2.68793	
RootPopulationSizeScaler2	3370	3624	1	0.0263158	0.448365	
LeafPopulationSizeScaler2	4069	2922	1	0.0263158	1.60271	
