Run	Gene_Length	Population_Size	Mutation_Rate	Prob_1_Event	Prob_2_Events	Prob_3_Events	Prob_4_Events	Prob_5_Events	Prob_6_Events	Mean_Divergence_PopA_PopB	Mean_Divergence_PopC_PopD	Mean_Divergence_PopE_PopF	Mean_Divergence_PopG_PopH	Mean_Divergence_PopI_PopJ	Mean_Divergence_PopK_PopL	Gene_Length	Population_Size	Mutation_Rate	Samples_Simulated_Per_Pop	True_Number_Events	True_Divergence_PopA_PopB	True_Divergence_PopC_PopD	True_Divergence_PopE_PopF	True_Divergence_PopG_PopH	True_Divergence_PopI_PopJ	True_Divergence_PopK_PopL
1	X	Y	Z	0.182817	0.311688	0.261738	0.162837	0.067932	0.012987	0.001286	0.001375	0.000715	0.001863	0.000685	0.001305	1000	10000	1.00E-08	10	1	80000	80000	80000	80000	80000	80000
2	X	Y	Z	0.258741	0.373626	0.228771	0.101898	0.031968	0.004995	0.000713	0.001192	0.000668	0.000661	0.001342	0.001156	1000	10000	1.00E-08	10	1	80000	80000	80000	80000	80000	80000
3	X	Y	Z	0.400599	0.330669	0.172827	0.06993	0.021978	0.003996	0.000953	0.001237	0.000822	0.000949	0.001218	0.000828	1000	10000	1.00E-08	10	1	80000	80000	80000	80000	80000	80000
4	X	Y	Z	0.397602	0.296703	0.190809	0.085914	0.025974	0.002997	0.001496	0.001188	0.001344	0.001026	0.001308	0.001557	1000	10000	1.00E-08	10	1	80000	80000	80000	80000	80000	80000
5	X	Y	Z	0.6004	0.260739	0.098901	0.033966	0.004995	0.000999	0.000549	0.000546	0.000608	0.000616	0.000623	0.00069	1000	10000	1.00E-08	10	1	80000	80000	80000	80000	80000	80000
6	X	Y	Z	0.486513	0.327672	0.132867	0.041958	0.00999	0.000999	0.000453	0.000434	0.00072	0.000437	0.000567	0.000606	1000	10000	1.00E-08	10	1	80000	80000	80000	80000	80000	80000
7	X	Y	Z	0.53047	0.326673	0.11988	0.017982	0.002997	0.001998	0.000532	0.000464	0.000475	0.000763	0.000478	0.000456	1000	10000	1.00E-08	10	1	80000	80000	80000	80000	80000	80000
8	X	Y	Z	0.593407	0.283716	0.091908	0.022977	0.006993	0.000999	0.000714	0.000777	0.000759	0.000756	0.000871	0.000779	1000	10000	1.00E-08	10	1	80000	80000	80000	80000	80000	80000
9	X	Y	Z	0.442557	0.312687	0.155844	0.068931	0.014985	0.004995	0.000981	0.000872	0.00129	0.001099	0.000992	0.001104	1000	10000	1.00E-08	10	1	80000	80000	80000	80000	80000	80000
10	X	Y	Z	0.325674	0.398601	0.204795	0.061938	0.006993	0.001998	0.0013	0.000453	0.000445	0.000584	0.000425	0.000449	1000	10000	1.00E-08	10	1	80000	80000	80000	80000	80000	80000
11	X	Y	Z	0.531469	0.286713	0.126873	0.038961	0.013986	0.001998	0.000683	0.000589	0.000685	0.000693	0.000586	0.000808	1000	10000	1.00E-08	10	1	80000	80000	80000	80000	80000	80000
12	X	Y	Z	0.578422	0.305694	0.083916	0.024975	0.005994	0.000999	0.000927	0.000938	0.001006	0.000953	0.000985	0.000929	1000	10000	1.00E-08	10	1	80000	80000	80000	80000	80000	80000
13	X	Y	Z	0.544456	0.291708	0.112887	0.045954	0.002997	0.001998	0.00074	0.000882	0.000903	0.000826	0.000746	0.000814	1000	10000	1.00E-08	10	1	80000	80000	80000	80000	80000	80000
14	X	Y	Z	0.529471	0.310689	0.112887	0.033966	0.011988	0.000999	0.001032	0.001189	0.001033	0.001042	0.001002	0.0011	1000	10000	1.00E-08	10	1	80000	80000	80000	80000	80000	80000
15	X	Y	Z	0.387612	0.375624	0.160839	0.060939	0.013986	0.000999	0.000837	0.000805	0.000736	0.001024	0.00086	0.001233	1000	10000	1.00E-08	10	1	80000	80000	80000	80000	80000	80000
16	X	Y	Z	0.143856	0.354645	0.278721	0.167832	0.048951	0.005994	0.000922	0.001975	0.000671	0.000886	0.000656	0.001559	1000	10000	1.00E-08	10	1	80000	80000	80000	80000	80000	80000
17	X	Y	Z	0.549451	0.275724	0.124875	0.037962	0.010989	0.000999	0.000771	0.000951	0.000845	0.000919	0.000866	0.000849	1000	10000	1.00E-08	10	1	80000	80000	80000	80000	80000	80000
18	X	Y	Z	0.548452	0.296703	0.118881	0.026973	0.006993	0.001998	0.000596	0.000485	0.000693	0.000554	0.000481	0.000507	1000	10000	1.00E-08	10	1	80000	80000	80000	80000	80000	80000
19	X	Y	Z	0.317682	0.396603	0.202797	0.070929	0.010989	0.000999	0.000432	0.000442	0.00046	0.001247	0.000628	0.000604	1000	10000	1.00E-08	10	1	80000	80000	80000	80000	80000	80000
20	X	Y	Z	0.041958	0.400599	0.320679	0.17982	0.046953	0.00999	0.000622	0.003227	0.00058	0.000774	0.000795	0.00105	1000	10000	1.00E-08	10	1	80000	80000	80000	80000	80000	80000
21	X	Y	Z	0.403596	0.323676	0.183816	0.057942	0.023976	0.006993	0.001057	0.001192	0.001293	0.000913	0.000921	0.001361	1000	10000	1.00E-08	10	1	80000	80000	80000	80000	80000	80000
22	X	Y	Z	0.571429	0.301698	0.0999	0.018981	0.006993	0.000999	0.000766	0.000666	0.000626	0.000641	0.000594	0.000686	1000	10000	1.00E-08	10	1	80000	80000	80000	80000	80000	80000
23	X	Y	Z	0.102897	0.276723	0.310689	0.1998	0.098901	0.010989	0.002309	0.000992	0.000662	0.00129	0.001613	0.000648	1000	10000	1.00E-08	10	1	80000	80000	80000	80000	80000	80000
24	X	Y	Z	0.467532	0.303696	0.165834	0.046953	0.014985	0.000999	0.001031	0.001094	0.00127	0.001118	0.000931	0.001015	1000	10000	1.00E-08	10	1	80000	80000	80000	80000	80000	80000
25	X	Y	Z	0.566434	0.312687	0.085914	0.027972	0.005994	0.000999	0.000886	0.000966	0.000981	0.000919	0.00091	0.000897	1000	10000	1.00E-08	10	1	80000	80000	80000	80000	80000	80000
26	X	Y	Z	0.47952	0.317682	0.147852	0.044955	0.008991	0.000999	0.001019	0.001088	0.001266	0.00101	0.001087	0.000969	1000	10000	1.00E-08	10	1	80000	80000	80000	80000	80000	80000
27	X	Y	Z	0.216783	0.350649	0.263736	0.12987	0.02997	0.008991	0.000967	0.000942	0.001376	0.000709	0.001812	0.000677	1000	10000	1.00E-08	10	1	80000	80000	80000	80000	80000	80000
28	X	Y	Z	0.467532	0.298701	0.165834	0.053946	0.010989	0.002997	0.001067	0.001162	0.00118	0.001309	0.001199	0.000985	1000	10000	1.00E-08	10	1	80000	80000	80000	80000	80000	80000
29	X	Y	Z	0.195804	0.292707	0.267732	0.150849	0.075924	0.016983	0.0019	0.001893	0.001481	0.001124	0.00089	0.001674	1000	10000	1.00E-08	10	1	80000	80000	80000	80000	80000	80000
30	X	Y	Z	0.492507	0.306693	0.138861	0.053946	0.005994	0.001998	0.000963	0.000946	0.001046	0.001188	0.000889	0.00097	1000	10000	1.00E-08	10	1	80000	80000	80000	80000	80000	80000
