generation	ln_likelihood	ln_prior	number_of_events	concentration	root_height_index_PopulationA	ln_likelihood_PopulationA	ln_prior_PopulationA	root_height_PopulationA	mutation_rate_PopulationA	freq_1_PopulationA	pop_size_PopulationA	pop_size_PopulationB	pop_size_root_PopulationA	root_height_index_PopulationC	ln_likelihood_PopulationC	ln_prior_PopulationC	root_height_PopulationC	mutation_rate_PopulationC	freq_1_PopulationC	pop_size_PopulationC	pop_size_PopulationD	pop_size_root_PopulationC	root_height_index_PopulationE	ln_likelihood_PopulationE	ln_prior_PopulationE	root_height_PopulationE	mutation_rate_PopulationE	freq_1_PopulationE	pop_size_PopulationE	pop_size_PopulationF	pop_size_root_PopulationE	root_height_index_PopulationG	ln_likelihood_PopulationG	ln_prior_PopulationG	root_height_PopulationG	mutation_rate_PopulationG	freq_1_PopulationG	pop_size_PopulationG	pop_size_PopulationH	pop_size_root_PopulationG	root_height_index_PopulationI	ln_likelihood_PopulationI	ln_prior_PopulationI	root_height_PopulationI	mutation_rate_PopulationI	freq_1_PopulationI	pop_size_PopulationI	pop_size_PopulationJ	pop_size_root_PopulationI	root_height_index_PopulationK	ln_likelihood_PopulationK	ln_prior_PopulationK	root_height_PopulationK	mutation_rate_PopulationK	freq_1_PopulationK	pop_size_PopulationK	pop_size_PopulationL	pop_size_root_PopulationK
0	-4509.44079599833731	98.6155569074877008	6	5.70899973184376108	0	-738.986966685060224	14.09396955270776	0.0119972197179153885	1	0.5	0.000215641138954536006	0.000215641138954536006	0.00018754567338603127	1	-763.714123789046653	11.6733752065809995	0.00539463014676325615	1	0.5	0.00158940641317731899	0.00158940641317731899	0.00152829058565792826	2	-727.688792746528861	13.0853028383141776	0.000206250992707388459	1	0.5	0.000265842248408215459	0.000265842248408215459	0.00032372039268353304	3	-746.956564076129894	13.6220643897052973	0.00197151218143435574	1	0.5	0.000618753004007667343	0.000618753004007667343	0.000601783234570405466	4	-784.323663738773575	12.9719091594667226	0.0153150729371312484	1	0.5	0.000704817830791393415	0.000704817830791393415	0.000598549135969373542	5	-747.770684962798327	14.7934795105689716	0.0135106387382637836	1	0.5	2.82390283511283418e-05	2.82390283511283418e-05	2.82655104321500226e-05
100	-4371.10721006228687	80.9925632824336645	1	0.784287836195709631	0	-709.24013833860306	14.0952269160838206	1.92745013936859139e-05	1	0.5	0.000252186349881469772	0.000278791801143521607	0.000286486513439154224	0	-739.706867439876532	11.4756646027872726	1.92745013936859139e-05	1	0.5	0.00135227148815899039	0.00176699570183177189	0.00137464920392525096	0	-725.821115751579555	14.1754842846243427	1.92745013936859139e-05	1	0.5	0.000351971191742905538	0.000260860539955535002	0.000316939870117700191	0	-731.976468352229517	13.0989228288382176	1.92745013936859139e-05	1	0.5	0.000775326941648115612	0.00098658840558806817	0.000861232352453007071	0	-750.134942430598471	13.220532261479585	1.92745013936859139e-05	1	0.5	0.000851478548513692605	0.000782083031860420267	0.000813943955677354008	0	-714.227677749400186	14.6322258404488714	1.92745013936859139e-05	1	0.5	3.49452722491486588e-05	3.52826469684597069e-05	3.17173156652363967e-05
200	-4369.5131603936743	74.8254936773266337	1	2.6817232017410082	0	-709.451434088257201	14.2335027664001146	2.68098315123027824e-05	1	0.5	0.000207898267019505987	0.000257772986027014512	0.000247228273546508631	0	-738.010121459653647	11.4947768218827449	2.68098315123027824e-05	1	0.5	0.000845900521762553859	0.00158986682228769486	0.000975792015288199917	0	-725.913093898953775	13.2519468073193316	2.68098315123027824e-05	1	0.5	0.000151461640156593593	0.00018882131147668582	0.000207613738625073559	0	-730.955794160253959	11.1508176927585012	2.68098315123027824e-05	1	0.5	0.000678892223845405378	0.000871211469608914029	0.000555766994045854383	0	-750.192198999298057	12.9428419310345291	2.68098315123027824e-05	1	0.5	0.0011368588283969677	0.000714652206436894354	0.000860746497243471674	0	-714.990517787258	13.0803231602869268	2.68098315123027824e-05	1	0.5	2.5167371502327302e-05	3.23293942328585249e-05	3.63197211386284493e-05
300	-4365.64443960794233	79.2036800976324713	1	1.46609905828730192	0	-709.315868686577232	12.1239888897107875	4.60324701031069792e-06	1	0.5	0.000385338613048387163	0.000805359407410667877	0.000448875384824488791	0	-737.126039926382418	12.4880770556592342	4.60324701031069792e-06	1	0.5	0.0010299214374760216	0.0008749384252343355	0.000810246085566427893	0	-725.947894375417945	13.9393562012315471	4.60324701031069792e-06	1	0.5	0.000236973121497913831	0.000418716208376188124	0.000288966464167340073	0	-730.140002384459308	13.2908791740821819	4.60324701031069792e-06	1	0.5	0.000269035707760981375	0.000827471168008977044	0.000466008017461089121	0	-750.09947912556845	12.8381808973377574	4.60324701031069792e-06	1	0.5	0.000994883302304920038	0.000574286827241544061	0.000668959082506360579	0	-713.015155109536636	14.7643652269329415	4.60324701031069792e-06	1	0.5	5.26556403450853297e-05	1.73905682069255089e-05	3.5465443510120021e-05
400	-4365.78373064227981	81.2035625632728113	1	0.962620156338416577	0	-709.544517761456632	13.9735246509747633	1.39756344874454791e-05	1	0.5	0.000352579280105346144	0.000534657982369192084	0.000436057157728071112	0	-736.589431021831615	14.0317774673294267	1.39756344874454791e-05	1	0.5	0.000393358716510876574	0.000414734605690405427	0.000407703706438248159	0	-726.336746285466802	12.206259321887309	1.39756344874454791e-05	1	0.5	0.000666244073499253531	0.000582894605207447992	0.000476935662755727631	0	-730.282178240958501	14.2086949083534186	1.39756344874454791e-05	1	0.5	0.000336016516700915523	0.000313119203461394862	0.000321698869746174748	0	-750.223515043416	12.9681302290221403	1.39756344874454791e-05	1	0.5	0.00045780174708796471	0.00134739464997996983	0.000832686529782197295	0	-712.807342289149915	13.6404720281878014	1.39756344874454791e-05	1	0.5	0.000756018146417727888	4.38356916740725123e-05	0.000342790883425890698
500	-4365.2546474168048	75.6986803133957835	1	1.21504290375784629	0	-708.818164848833817	10.3746215650586997	2.92779727362435466e-06	1	0.5	0.00036695335921912883	9.06990447386001877e-05	0.000327870015501730071	0	-736.434382007147519	13.2356163968322935	2.92779727362435466e-06	1	0.5	0.000692417837381380024	0.000189084677451080592	0.000360979342166386683	0	-726.312589939871145	12.1755234461802857	2.92779727362435466e-06	1	0.5	9.09413823985050176e-06	0.00102216264794542113	0.000385130710143319495	0	-730.612794472754899	13.6052042085368541	2.92779727362435466e-06	1	0.5	0.0011586673919569098	9.67115828988564913e-05	0.000612650296955753672	0	-751.072244172561454	12.5337767149399326	2.92779727362435466e-06	1	0.5	0.000487698929488416741	0.00177942004285391538	0.0010567774499256478	0	-712.004471975635965	13.7984985834012868	2.92779727362435466e-06	1	0.5	7.50941106148316894e-05	0.00033304025237344988	0.000169058496445829466
600	-4367.25186191034481	79.6410625895381656	1	1.31613593547269025	0	-708.329943446559241	13.9375381447426179	1.1977792970072476e-06	1	0.5	0.00014858424295311772	0.000358244420199137659	0.000217353244112009243	0	-737.990055038675223	12.7622928201348813	1.1977792970072476e-06	1	0.5	0.000975850493336247074	0.00107805402956074182	0.0010500583798733489	0	-725.885543054576374	13.9540303765454841	1.1977792970072476e-06	1	0.5	1.61702007753682439e-05	0.000756138838123890009	0.000407183188391373717	0	-732.492782342015971	12.4162067755558105	1.1977792970072476e-06	1	0.5	0.00171098364872924059	0.000594943271012648425	0.0010469638276788349	0	-750.225391055217528	12.5588216778595587	1.1977792970072476e-06	1	0.5	0.000962536645003348422	0.000719225326313057615	0.000699791421993080842	0	-712.328146973300932	14.1223636385309046	1.1977792970072476e-06	1	0.5	0.000528995207278918516	4.11563170178875986e-05	0.0003031856348656649
700	-4367.86021657898891	79.2636518229665796	1	1.58813547979214498	0	-708.374153984011173	13.8054216339894253	2.61365569022534174e-06	1	0.5	0.000103710982570039649	0.000346590412667230276	0.000187759689459848713	0	-736.526179639158499	13.7884565554796836	2.61365569022534174e-06	1	0.5	0.000125972319883787583	0.000378615672116386533	0.000286826831038341124	0	-728.020115920585908	12.1517204615777974	2.61365569022534174e-06	1	0.5	0.00121147288005293841	0.000260428505684434967	0.000895678212846006024	0	-729.806800508069955	13.686052793590461	2.61365569022534174e-06	1	0.5	0.000293462424972262977	0.000324950593567457024	0.000259617322391027955	0	-751.084934187362933	12.6287782806854807	2.61365569022534174e-06	1	0.5	0.00191312881585053995	0.000308482074830699585	0.00106610826856092205	0	-714.048032339801011	13.5524182653430714	2.61365569022534174e-06	1	0.5	0.000733629904635548619	0.000573015428620500165	0.000645941769341896858
800	-4365.11242307855991	79.2063021546781698	1	0.599609435127130608	0	-709.501085138089707	13.9873820209438513	1.44723949922081763e-05	1	0.5	7.50008518510651847e-05	0.00065414587423083656	0.000330545182283262934	0	-736.610016947678446	10.679693678628098	1.44723949922081763e-05	1	0.5	0.000170786423673407068	0.00142219188869845505	0.00055356320124419565	0	-725.870038923311654	13.7869269759622348	1.44723949922081763e-05	1	0.5	0.000658177690198779772	0.000178749590907529551	0.000371061051735454791	0	-731.012257101337809	13.3663668965893976	1.44723949922081763e-05	1	0.5	0.000463304471934068208	0.000949115414399132572	0.000652768734805695967	0	-749.863013581972041	12.6386579606813232	1.44723949922081763e-05	1	0.5	0.000116118905289589822	0.000509358578494823345	0.000391524510911184318	0	-712.25601138617003	14.3642326536208422	1.44723949922081763e-05	1	0.5	0.000154029694224635811	0.000143648441407583788	0.000133106138399842608
900	-4366.94651406060621	82.1028558762827174	1	0.690661450286608303	0	-709.682608296655076	13.6974000195870644	1.88197873889311427e-05	1	0.5	0.000374219707732150787	0.000605675130311135218	0.00043976447038644636	0	-737.039872959641571	13.7686543065182505	1.88197873889311427e-05	1	0.5	0.000453904308330531825	0.000250616135078286014	0.000303584460455544162	0	-725.686540891487425	14.1627572293128665	1.88197873889311427e-05	1	0.5	0.000593833503819174197	0.000104314033714581804	0.000342708730385461692	0	-731.310817744050496	12.7068950245605272	1.88197873889311427e-05	1	0.5	0.000348656901874043468	0.00129628745748370947	0.00069534346730018104	0	-749.605907741562078	13.609496243838052	1.88197873889311427e-05	1	0.5	0.00046967757024770425	0.000423475852082376208	0.000492727740068992837	0	-713.62076642720956	13.8121846857043522	1.88197873889311427e-05	1	0.5	3.41665806767144127e-05	0.000972766836883029039	0.000473281436617731428
