model	post_prob	cumulative_post_prob	prior_prob	bf
0,0,0,0,0,0	0.968889	0.968889	0.025936	1169.62
0,0,0,0,1,0	0.00777778	0.976667	0.007308	1.06479
0,0,1,0,0,0	0.00555556	0.982222	0.007448	0.744493
0,1,1,1,1,1	0.00444444	0.986667	0.007357	0.602344
0,0,0,1,0,0	0.00333333	0.99	0.007468	0.444497
0,1,0,0,0,0	0.00222222	0.992222	0.007315	0.302239
0,0,0,1,0,1	0.00111111	0.993333	0.001889	0.587743
0,0,1,0,1,0	0.00111111	0.994444	0.001804	0.615488
0,1,0,0,0,1	0.00111111	0.995556	0.001864	0.59564
0,1,0,1,1,0	0.00111111	0.996667	0.001249	0.889478
0,1,0,1,1,1	0.00111111	0.997778	0.001891	0.58712
0,1,1,0,1,1	0.00111111	0.998889	0.001867	0.594681
0,0,1,1,0,0	0.00111111	1	0.00186	0.596924
