Run	Gene_Length	Population_Size	Mutation_Rate	Prob_1_Event	Prob_2_Events	Prob_3_Events	Prob_4_Events	Prob_5_Events	Prob_6_Events	Mean_Divergence_PopA_PopB	Mean_Divergence_PopC_PopD	Mean_Divergence_PopE_PopF	Mean_Divergence_PopG_PopH	Mean_Divergence_PopI_PopJ	Mean_Divergence_PopK_PopL	Gene_Length	Population_Size	Mutation_Rate	Samples_Simulated_Per_Pop	True_Number_Events	True_Divergence_PopA_PopB	True_Divergence_PopC_PopD	True_Divergence_PopE_PopF	True_Divergence_PopG_PopH	True_Divergence_PopI_PopJ	True_Divergence_PopK_PopL
1	X	Y	Z	0.978022	0.018981	0.001998	0	0	0.000999	0.000012	0.000021	0.000012	0.000019	0.000013	0.000012	1000	10000	1e-8	10	3	10000	10000	20000	20000	30000	30000
2	X	Y	Z	0.936064	0.062937	0	0	0	0.000999	0.000009	0.000009	0.000008	0.000019	0.000009	0.000008	1000	10000	1e-8	10	3	10000	10000	20000	20000	30000	30000
3	X	Y	Z	0.918082	0.074925	0.005994	0	0	0.000999	0.000016	0.000016	0.000017	0.00002	0.000017	0.000016	1000	10000	1e-8	10	3	10000	10000	20000	20000	30000	30000
4	X	Y	Z	0.979021	0.01998	0	0	0	0.000999	0.000054	0.000045	0.000052	0.000072	0.000044	0.000069	1000	10000	1e-8	10	3	10000	10000	20000	20000	30000	30000
5	X	Y	Z	0.511489	0.461538	0.025974	0	0	0.000999	0.000007	0.000007	0.000007	0.000007	0.000007	0.000007	1000	10000	1e-8	10	3	10000	10000	20000	20000	30000	30000
6	X	Y	Z	0.905095	0.080919	0.012987	0	0	0.000999	0.000036	0.000045	0.00006	0.000042	0.000034	0.000048	1000	10000	1e-8	10	3	10000	10000	20000	20000	30000	30000
7	X	Y	Z	0.97003	0.027972	0.000999	0	0	0.000999	0.000016	0.000024	0.000016	0.000024	0.000017	0.000016	1000	10000	1e-8	10	3	10000	10000	20000	20000	30000	30000
8	X	Y	Z	0.837163	0.154845	0.006993	0	0	0.000999	0.000014	0.000015	0.000015	0.000015	0.000015	0.000017	1000	10000	1e-8	10	3	10000	10000	20000	20000	30000	30000
9	X	Y	Z	0.925075	0.068931	0.004995	0	0	0.000999	0.00002	0.000019	0.000053	0.000028	0.000019	0.00003	1000	10000	1e-8	10	3	10000	10000	20000	20000	30000	30000
10	X	Y	Z	0.969031	0.02997	0	0	0	0.000999	0.000015	0.000025	0.000016	0.000046	0.000015	0.000015	1000	10000	1e-8	10	3	10000	10000	20000	20000	30000	30000
11	X	Y	Z	0.969031	0.028971	0.000999	0	0	0.000999	0.000008	0.000008	0.000008	0.000008	0.000009	0.000008	1000	10000	1e-8	10	3	10000	10000	20000	20000	30000	30000
12	X	Y	Z	0.944056	0.052947	0.001998	0	0	0.000999	0.000006	0.000005	0.000005	0.000005	0.000005	0.000005	1000	10000	1e-8	10	3	10000	10000	20000	20000	30000	30000
13	X	Y	Z	0.852148	0.128871	0.017982	0	0	0.000999	0.00001	0.00001	0.000021	0.00001	0.000047	0.00001	1000	10000	1e-8	10	3	10000	10000	20000	20000	30000	30000
14	X	Y	Z	0.954046	0.044955	0	0	0	0.000999	0.000016	0.000015	0.000031	0.000016	0.000017	0.000016	1000	10000	1e-8	10	3	10000	10000	20000	20000	30000	30000
15	X	Y	Z	0.929071	0.064935	0.004995	0	0	0.000999	0.000007	0.000007	0.000007	0.000007	0.000007	0.000009	1000	10000	1e-8	10	3	10000	10000	20000	20000	30000	30000
16	X	Y	Z	0.985015	0.013986	0	0	0	0.000999	0.000024	0.000024	0.000024	0.000024	0.000024	0.000041	1000	10000	1e-8	10	3	10000	10000	20000	20000	30000	30000
17	X	Y	Z	0.962038	0.036963	0	0	0	0.000999	0.000007	0.000007	0.000012	0.000011	0.000007	0.000008	1000	10000	1e-8	10	3	10000	10000	20000	20000	30000	30000
18	X	Y	Z	0.923077	0.06993	0.005994	0	0	0.000999	0.00001	0.00001	0.00001	0.00001	0.00002	0.000017	1000	10000	1e-8	10	3	10000	10000	20000	20000	30000	30000
19	X	Y	Z	0.948052	0.048951	0.001998	0	0	0.000999	0.000018	0.000019	0.000019	0.000021	0.000018	0.000025	1000	10000	1e-8	10	3	10000	10000	20000	20000	30000	30000
20	X	Y	Z	0.973027	0.025974	0	0	0	0.000999	0.000032	0.000029	0.000043	0.000028	0.000029	0.000031	1000	10000	1e-8	10	3	10000	10000	20000	20000	30000	30000
21	X	Y	Z	0.897103	0.095904	0.005994	0	0	0.000999	0.000021	0.000012	0.000012	0.000012	0.000012	0.000012	1000	10000	1e-8	10	3	10000	10000	20000	20000	30000	30000
22	X	Y	Z	0.964036	0.031968	0.002997	0	0	0.000999	0.000044	0.000034	0.000048	0.000034	0.000054	0.000035	1000	10000	1e-8	10	3	10000	10000	20000	20000	30000	30000
23	X	Y	Z	0.965035	0.031968	0.001998	0	0	0.000999	0.000034	0.000028	0.000026	0.000045	0.000026	0.000026	1000	10000	1e-8	10	3	10000	10000	20000	20000	30000	30000
24	X	Y	Z	0.945055	0.052947	0.000999	0	0	0.000999	0.000008	0.000008	0.000008	0.000016	0.000008	0.000008	1000	10000	1e-8	10	3	10000	10000	20000	20000	30000	30000
25	X	Y	Z	0.881119	0.108891	0.008991	0	0	0.000999	0.000016	0.000016	0.000016	0.00002	0.000016	0.00003	1000	10000	1e-8	10	3	10000	10000	20000	20000	30000	30000
26	X	Y	Z	0.982018	0.016983	0	0	0	0.000999	0.000036	0.000027	0.000045	0.000026	0.000028	0.000033	1000	10000	1e-8	10	3	10000	10000	20000	20000	30000	30000
27	X	Y	Z	0.851149	0.135864	0.010989	0.000999	0	0.000999	0.000013	0.000013	0.00002	0.000013	0.000013	0.000013	1000	10000	1e-8	10	3	10000	10000	20000	20000	30000	30000
28	X	Y	Z	0.928072	0.065934	0.004995	0	0	0.000999	0.000006	0.000006	0.000006	0.000006	0.000007	0.000012	1000	10000	1e-8	10	3	10000	10000	20000	20000	30000	30000
29	X	Y	Z	0.912088	0.07992	0.005994	0.000999	0	0.000999	0.000006	0.000007	0.000006	0.000006	0.000007	0.000007	1000	10000	1e-8	10	3	10000	10000	20000	20000	30000	30000
30	X	Y	Z	0.886114	0.103896	0.008991	0	0	0.000999	0.000007	0.000007	0.000007	0.000007	0.000023	0.000007	1000	10000	1e-8	10	3	10000	10000	20000	20000	30000	30000
