parameter	burnin	psrf	ess_concat	ess_0
ln_likelihood	1	-	831.677618611442	831.677618611442
concentration	1	-	1000.0	1000.0
ln_likelihood_PopulationA	1	-	1000.0	1000.0
root_height_PopulationA	1	-	1000.0	1000.0
pop_size_PopulationA	1	-	505.43596934909783	505.43596934909783
pop_size_PopulationB	1	-	1000.0	1000.0
pop_size_root_PopulationA	1	-	684.5906473997218	684.5906473997218
ln_likelihood_PopulationC	1	-	996.5436286482144	996.5436286482144
root_height_PopulationC	1	-	862.2414068374446	862.2414068374446
pop_size_PopulationC	1	-	1000.0	1000.0
pop_size_PopulationD	1	-	739.5909692434217	739.5909692434217
pop_size_root_PopulationC	1	-	1000.0	1000.0
ln_likelihood_PopulationE	1	-	1000.0	1000.0
root_height_PopulationE	1	-	978.6450871632787	978.6450871632787
pop_size_PopulationE	1	-	686.5848676935306	686.5848676935306
pop_size_PopulationF	1	-	992.4759516748115	992.4759516748115
pop_size_root_PopulationE	1	-	878.3421806458767	878.3421806458767
ln_likelihood_PopulationG	1	-	869.2479140497708	869.2479140497708
root_height_PopulationG	1	-	888.6374923832678	888.6374923832678
pop_size_PopulationG	1	-	855.9951754354453	855.9951754354453
pop_size_PopulationH	1	-	775.0429244597865	775.0429244597865
pop_size_root_PopulationG	1	-	1000.0	1000.0
ln_likelihood_PopulationI	1	-	921.0460149564573	921.0460149564573
root_height_PopulationI	1	-	1000.0	1000.0
pop_size_PopulationI	1	-	1000.0	1000.0
pop_size_PopulationJ	1	-	1000.0	1000.0
pop_size_root_PopulationI	1	-	939.0795549232223	939.0795549232223
ln_likelihood_PopulationK	1	-	779.754658721236	779.754658721236
root_height_PopulationK	1	-	1000.0	1000.0
pop_size_PopulationK	1	-	841.8147201683595	841.8147201683595
pop_size_PopulationL	1	-	889.6965752966646	889.6965752966646
pop_size_root_PopulationK	1	-	711.2680701300712	711.2680701300712
ln_likelihood	100	-	901.0	901.0
concentration	100	-	901.0	901.0
ln_likelihood_PopulationA	100	-	901.0	901.0
root_height_PopulationA	100	-	901.0	901.0
pop_size_PopulationA	100	-	525.805571722629	525.805571722629
pop_size_PopulationB	100	-	901.0	901.0
pop_size_root_PopulationA	100	-	714.110601191235	714.110601191235
ln_likelihood_PopulationC	100	-	901.0	901.0
root_height_PopulationC	100	-	901.0	901.0
pop_size_PopulationC	100	-	869.6668645428963	869.6668645428963
pop_size_PopulationD	100	-	670.9708849784017	670.9708849784017
pop_size_root_PopulationC	100	-	901.0	901.0
ln_likelihood_PopulationE	100	-	851.8699201287833	851.8699201287833
root_height_PopulationE	100	-	901.0	901.0
pop_size_PopulationE	100	-	582.1881127552475	582.1881127552475
