generation 10000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	2644	0	10	0.263158	none	
ConcentrationScaler	405	380	3	0.0789474	2.49218	
TimeSizeRateMixer	798	992	6	0.157895	0.219052	
TimeRootSizeMixer	833	1033	6	0.157895	0.0666272	
EventTimeScaler	4210	2819	1	0.0263158	1.83412	
RootPopulationSizeScaler0	1632	1795	1	0.0263158	0.448089	
LeafPopulationSizeScaler0	2277	1145	1	0.0263158	1.75905	
RootPopulationSizeScaler1	1721	1687	1	0.0263158	0.449385	
LeafPopulationSizeScaler1	2293	1124	1	0.0263158	2.15401	
RootPopulationSizeScaler2	1784	1633	1	0.0263158	0.431283	
LeafPopulationSizeScaler2	2199	1223	1	0.0263158	1.85206	
RootPopulationSizeScaler3	1714	1727	1	0.0263158	0.446832	
LeafPopulationSizeScaler3	2208	1220	1	0.0263158	1.74952	
RootPopulationSizeScaler4	1768	1664	1	0.0263158	0.426742	
LeafPopulationSizeScaler4	2541	871	1	0.0263158	1.2564	
RootPopulationSizeScaler5	1771	1650	1	0.0263158	0.442962	
LeafPopulationSizeScaler5	2492	941	1	0.0263158	1.86867	
generation 20000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	5198	0	10	0.263158	none	
ConcentrationScaler	835	782	3	0.0789474	2.62611	
TimeSizeRateMixer	1596	1996	6	0.157895	0.218843	
TimeRootSizeMixer	1633	2125	6	0.157895	0.065776	
EventTimeScaler	7907	6055	1	0.0263158	1.95351	
RootPopulationSizeScaler0	3272	3609	1	0.0263158	0.459081	
LeafPopulationSizeScaler0	4296	2575	1	0.0263158	1.94851	
RootPopulationSizeScaler1	3359	3468	1	0.0263158	0.460764	
LeafPopulationSizeScaler1	4296	2568	1	0.0263158	2.37726	
RootPopulationSizeScaler2	3389	3484	1	0.0263158	0.441709	
LeafPopulationSizeScaler2	4165	2709	1	0.0263158	2.02283	
RootPopulationSizeScaler3	3292	3600	1	0.0263158	0.453538	
LeafPopulationSizeScaler3	4130	2743	1	0.0263158	1.91631	
RootPopulationSizeScaler4	3429	3453	1	0.0263158	0.440374	
LeafPopulationSizeScaler4	4782	2073	1	0.0263158	1.4638	
RootPopulationSizeScaler5	3427	3474	1	0.0263158	0.452722	
LeafPopulationSizeScaler5	4621	2252	1	0.0263158	2.114	
generation 30000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	7844	0	10	0.263158	none	
ConcentrationScaler	1199	1160	3	0.0789474	2.67005	
TimeSizeRateMixer	2438	3031	6	0.157895	0.2201	
TimeRootSizeMixer	2440	3133	6	0.157895	0.0656854	
EventTimeScaler	11551	9408	1	0.0263158	2.01862	
RootPopulationSizeScaler0	4876	5466	1	0.0263158	0.462793	
LeafPopulationSizeScaler0	6281	4029	1	0.0263158	2.05295	
RootPopulationSizeScaler1	4903	5353	1	0.0263158	0.465373	
LeafPopulationSizeScaler1	6236	4063	1	0.0263158	2.49777	
RootPopulationSizeScaler2	4967	5356	1	0.0263158	0.446518	
LeafPopulationSizeScaler2	5969	4353	1	0.0263158	2.09786	
RootPopulationSizeScaler3	4830	5494	1	0.0263158	0.45608	
LeafPopulationSizeScaler3	5992	4349	1	0.0263158	1.99662	
RootPopulationSizeScaler4	5040	5292	1	0.0263158	0.445312	
LeafPopulationSizeScaler4	6952	3353	1	0.0263158	1.58067	
RootPopulationSizeScaler5	5015	5393	1	0.0263158	0.455528	
LeafPopulationSizeScaler5	6636	3688	1	0.0263158	2.25688	
generation 40000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	10407	0	10	0.263158	none	
ConcentrationScaler	1558	1595	3	0.0789474	2.70304	
TimeSizeRateMixer	3351	4020	6	0.157895	0.222409	
TimeRootSizeMixer	3293	4167	6	0.157895	0.06578	
EventTimeScaler	15237	12890	1	0.0263158	2.06226	
RootPopulationSizeScaler0	6436	7319	1	0.0263158	0.465688	
LeafPopulationSizeScaler0	8145	5572	1	0.0263158	2.11656	
RootPopulationSizeScaler1	6424	7245	1	0.0263158	0.466606	
LeafPopulationSizeScaler1	8127	5577	1	0.0263158	2.58162	
RootPopulationSizeScaler2	6531	7193	1	0.0263158	0.449847	
LeafPopulationSizeScaler2	7749	5978	1	0.0263158	2.15132	
RootPopulationSizeScaler3	6339	7395	1	0.0263158	0.457432	
LeafPopulationSizeScaler3	7816	5939	1	0.0263158	2.05095	
RootPopulationSizeScaler4	6628	7097	1	0.0263158	0.449213	
LeafPopulationSizeScaler4	9029	4700	1	0.0263158	1.6578	
RootPopulationSizeScaler5	6585	7238	1	0.0263158	0.458073	
LeafPopulationSizeScaler5	8634	5079	1	0.0263158	2.35385	
generation 50000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	13023	0	10	0.263158	none	
ConcentrationScaler	1940	1992	3	0.0789474	2.72389	
TimeSizeRateMixer	4178	5077	6	0.157895	0.222502	
TimeRootSizeMixer	4099	5215	6	0.157895	0.0658231	
EventTimeScaler	18824	16370	1	0.0263158	2.09506	
RootPopulationSizeScaler0	7956	9224	1	0.0263158	0.466264	
LeafPopulationSizeScaler0	10005	7151	1	0.0263158	2.16434	
RootPopulationSizeScaler1	8050	9058	1	0.0263158	0.469582	
LeafPopulationSizeScaler1	9941	7176	1	0.0263158	2.63344	
RootPopulationSizeScaler2	8090	9046	1	0.0263158	0.452627	
LeafPopulationSizeScaler2	9566	7585	1	0.0263158	2.19279	
RootPopulationSizeScaler3	7943	9231	1	0.0263158	0.458855	
LeafPopulationSizeScaler3	9613	7542	1	0.0263158	2.0928	
RootPopulationSizeScaler4	8212	8932	1	0.0263158	0.450802	
LeafPopulationSizeScaler4	11074	6083	1	0.0263158	1.71877	
RootPopulationSizeScaler5	8134	9120	1	0.0263158	0.459876	
LeafPopulationSizeScaler5	10553	6573	1	0.0263158	2.41753	
generation 60000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	15589	0	10	0.263158	none	
ConcentrationScaler	2304	2408	3	0.0789474	2.7345	
TimeSizeRateMixer	4999	6089	6	0.157895	0.222821	
TimeRootSizeMixer	4905	6259	6	0.157895	0.0658337	
EventTimeScaler	22140	19931	1	0.0263158	2.11163	
RootPopulationSizeScaler0	9524	11191	1	0.0263158	0.466828	
LeafPopulationSizeScaler0	11912	8756	1	0.0263158	2.20515	
RootPopulationSizeScaler1	9642	10995	1	0.0263158	0.470523	
LeafPopulationSizeScaler1	11844	8809	1	0.0263158	2.68163	
RootPopulationSizeScaler2	9673	10947	1	0.0263158	0.454201	
LeafPopulationSizeScaler2	11414	9239	1	0.0263158	2.22501	
RootPopulationSizeScaler3	9557	11122	1	0.0263158	0.460519	
LeafPopulationSizeScaler3	11420	9266	1	0.0263158	2.12198	
RootPopulationSizeScaler4	9830	10849	1	0.0263158	0.452158	
LeafPopulationSizeScaler4	13165	7511	1	0.0263158	1.76833	
RootPopulationSizeScaler5	9744	11035	1	0.0263158	0.46171	
LeafPopulationSizeScaler5	12509	8122	1	0.0263158	2.47283	
generation 70000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	18221	0	10	0.263158	none	
ConcentrationScaler	2678	2839	3	0.0789474	2.75043	
TimeSizeRateMixer	5790	7172	6	0.157895	0.222239	
TimeRootSizeMixer	5673	7318	6	0.157895	0.0655347	
EventTimeScaler	25644	23465	1	0.0263158	2.13052	
RootPopulationSizeScaler0	11138	13063	1	0.0263158	0.468148	
LeafPopulationSizeScaler0	13732	10425	1	0.0263158	2.23391	
RootPopulationSizeScaler1	11198	12916	1	0.0263158	0.471461	
LeafPopulationSizeScaler1	13678	10497	1	0.0263158	2.71865	
RootPopulationSizeScaler2	11247	12864	1	0.0263158	0.455538	
LeafPopulationSizeScaler2	13230	10906	1	0.0263158	2.25284	
RootPopulationSizeScaler3	11114	13070	1	0.0263158	0.461423	
LeafPopulationSizeScaler3	13217	10959	1	0.0263158	2.14728	
RootPopulationSizeScaler4	11444	12711	1	0.0263158	0.453752	
LeafPopulationSizeScaler4	15205	8982	1	0.0263158	1.80537	
RootPopulationSizeScaler5	11299	12959	1	0.0263158	0.462652	
LeafPopulationSizeScaler5	14458	9650	1	0.0263158	2.52006	
generation 80000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	20816	0	10	0.263158	none	
ConcentrationScaler	3039	3219	3	0.0789474	2.75892	
TimeSizeRateMixer	6631	8169	6	0.157895	0.222674	
TimeRootSizeMixer	6452	8360	6	0.157895	0.0654259	
EventTimeScaler	28989	27059	1	0.0263158	2.14211	
RootPopulationSizeScaler0	12686	14998	1	0.0263158	0.469108	
LeafPopulationSizeScaler0	15553	12073	1	0.0263158	2.25854	
RootPopulationSizeScaler1	12739	14834	1	0.0263158	0.471964	
LeafPopulationSizeScaler1	15448	12185	1	0.0263158	2.74673	
RootPopulationSizeScaler2	12869	14714	1	0.0263158	0.457011	
LeafPopulationSizeScaler2	14945	12655	1	0.0263158	2.27109	
RootPopulationSizeScaler3	12753	14920	1	0.0263158	0.46316	
LeafPopulationSizeScaler3	15042	12587	1	0.0263158	2.17023	
RootPopulationSizeScaler4	13116	14516	1	0.0263158	0.455814	
LeafPopulationSizeScaler4	17256	10371	1	0.0263158	1.84157	
RootPopulationSizeScaler5	12859	14876	1	0.0263158	0.463365	
LeafPopulationSizeScaler5	16415	11202	1	0.0263158	2.56196	
generation 90000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	23400	0	10	0.263158	none	
ConcentrationScaler	3432	3626	3	0.0789474	2.77137	
TimeSizeRateMixer	7458	9186	6	0.157895	0.222611	
TimeRootSizeMixer	7212	9396	6	0.157895	0.0653122	
EventTimeScaler	32246	30720	1	0.0263158	2.15089	
RootPopulationSizeScaler0	14273	16866	1	0.0263158	0.470102	
LeafPopulationSizeScaler0	17332	13724	1	0.0263158	2.27867	
RootPopulationSizeScaler1	14355	16688	1	0.0263158	0.473712	
LeafPopulationSizeScaler1	17241	13851	1	0.0263158	2.77427	
RootPopulationSizeScaler2	14496	16530	1	0.0263158	0.458456	
LeafPopulationSizeScaler2	16625	14397	1	0.0263158	2.28581	
RootPopulationSizeScaler3	14337	16770	1	0.0263158	0.464113	
LeafPopulationSizeScaler3	16768	14290	1	0.0263158	2.18724	
RootPopulationSizeScaler4	14698	16394	1	0.0263158	0.456475	
LeafPopulationSizeScaler4	19200	11872	1	0.0263158	1.86909	
RootPopulationSizeScaler5	14449	16729	1	0.0263158	0.464368	
LeafPopulationSizeScaler5	18306	12751	1	0.0263158	2.59549	
generation 100000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	26070	0	10	0.263158	none	
ConcentrationScaler	3795	4016	3	0.0789474	2.78408	
TimeSizeRateMixer	8253	10168	6	0.157895	0.222735	
TimeRootSizeMixer	7975	10445	6	0.157895	0.0651759	
EventTimeScaler	35579	34276	1	0.0263158	2.16021	
RootPopulationSizeScaler0	15858	18705	1	0.0263158	0.4713	
LeafPopulationSizeScaler0	19067	15400	1	0.0263158	2.29502	
RootPopulationSizeScaler1	15944	18575	1	0.0263158	0.4744	
LeafPopulationSizeScaler1	19034	15512	1	0.0263158	2.7968	
RootPopulationSizeScaler2	16078	18375	1	0.0263158	0.459247	
LeafPopulationSizeScaler2	18310	16153	1	0.0263158	2.29861	
RootPopulationSizeScaler3	15920	18645	1	0.0263158	0.464977	
LeafPopulationSizeScaler3	18531	15960	1	0.0263158	2.20417	
RootPopulationSizeScaler4	16294	18204	1	0.0263158	0.457663	
LeafPopulationSizeScaler4	21145	13375	1	0.0263158	1.8941	
RootPopulationSizeScaler5	16085	18535	1	0.0263158	0.465851	
LeafPopulationSizeScaler5	20111	14371	1	0.0263158	2.62101	
