Run	Prob_1_Event	Prob_2_Events	Prob_3_Events	Prob_4_Events	Prob_5_Events	Prob_6_Events	Mean_Divergence_PopA_PopB	Mean_Divergence_PopC_PopD	Mean_Divergence_PopE_PopF	Mean_Divergence_PopG_PopH	Mean_Divergence_PopI_PopJ	Mean_Divergence_PopK_PopL	Gene_Length	Population_Size	Mutation_Rate	Samples_Simulated_Per_Pop	True_Number_Events	True_Divergence_PopA_PopB	True_Divergence_PopC_PopD	True_Divergence_PopE_PopF	True_Divergence_PopG_PopH	True_Divergence_PopI_PopJ	True_Divergence_PopK_PopL
1	0.977023	0.020979	0.000999	0	0	0.000999	0.000009	0.000009	0.000009	0.000009	0.00001	0.00001	1000	10000	1.00E-08	10	3	10000	10000	90000	90000	170000	170000
2	0.944056	0.052947	0.001998	0	0	0.000999	0.000008	0.000008	0.000008	0.000024	0.000008	0.000008	1000	10000	1.00E-08	10	3	10000	10000	90000	90000	170000	170000
3	0.953047	0.042957	0.002997	0	0	0.000999	0.000017	0.000017	0.000017	0.00003	0.000023	0.000017	1000	10000	1.00E-08	10	3	10000	10000	90000	90000	170000	170000
4	0.971029	0.027972	0	0	0	0.000999	0.000015	0.000008	0.000008	0.000008	0.000008	0.000008	1000	10000	1.00E-08	10	3	10000	10000	90000	90000	170000	170000
5	0.895105	0.095904	0.005994	0.001998	0	0.000999	0.000028	0.000033	0.000026	0.00004	0.000023	0.000023	1000	10000	1.00E-08	10	3	10000	10000	90000	90000	170000	170000
6	0.981019	0.017982	0	0	0	0.000999	0.000004	0.000004	0.000004	0.000004	0.00001	0.000004	1000	10000	1.00E-08	10	3	10000	10000	90000	90000	170000	170000
7	0.961039	0.036963	0.000999	0	0	0.000999	0.000013	0.000012	0.000013	0.000012	0.000013	0.000012	1000	10000	1.00E-08	10	3	10000	10000	90000	90000	170000	170000
8	0.956044	0.041958	0.000999	0	0	0.000999	0.000014	0.000015	0.000019	0.000015	0.000014	0.000015	1000	10000	1.00E-08	10	3	10000	10000	90000	90000	170000	170000
9	0.977023	0.021978	0	0	0	0.000999	0.000008	0.00001	0.000008	0.000008	0.000008	0.000008	1000	10000	1.00E-08	10	3	10000	10000	90000	90000	170000	170000
10	0.967033	0.030969	0.000999	0	0	0.000999	0.000009	0.000009	0.000011	0.000009	0.000009	0.000009	1000	10000	1.00E-08	10	3	10000	10000	90000	90000	170000	170000
11	0.984016	0.013986	0.000999	0	0	0.000999	0.000006	0.000006	0.000006	0.000006	0.000006	0.000006	1000	10000	1.00E-08	10	3	10000	10000	90000	90000	170000	170000
12	0.926074	0.06993	0.002997	0	0	0.000999	0.000016	0.000016	0.000016	0.000016	0.000016	0.000043	1000	10000	1.00E-08	10	3	10000	10000	90000	90000	170000	170000
13	0.943057	0.053946	0.001998	0	0	0.000999	0.000022	0.000021	0.000023	0.000021	0.000026	0.000021	1000	10000	1.00E-08	10	3	10000	10000	90000	90000	170000	170000
15	0.985015	0.012987	0.000999	0	0	0.000999	0.000019	0.000025	0.000019	0.000019	0.00002	0.000022	1000	10000	1.00E-08	10	3	10000	10000	90000	90000	170000	170000
16	0.917083	0.07992	0.001998	0	0	0.000999	0.000005	0.000005	0.000005	0.000005	0.000005	0.000005	1000	10000	1.00E-08	10	3	10000	10000	90000	90000	170000	170000
17	0.968032	0.02997	0.000999	0	0	0.000999	0.000037	0.000033	0.000026	0.00005	0.000027	0.000026	1000	10000	1.00E-08	10	3	10000	10000	90000	90000	170000	170000
18	0.873127	0.115884	0.008991	0.000999	0	0.000999	0.000008	0.000008	0.000008	0.000008	0.000009	0.000008	1000	10000	1.00E-08	10	3	10000	10000	90000	90000	170000	170000
