model	post_prob	cumulative_post_prob	prior_prob	bf
0,0,0,0,0,0	0.738889	0.738889	0.025765	107.001
0,0,0,0,0,1	0.0522222	0.791111	0.007277	7.51665
0,0,0,0,1,0	0.0233333	0.814444	0.007364	3.22038
0,0,0,1,0,0	0.0166667	0.831111	0.00738	2.27968
0,1,0,0,0,0	0.0155556	0.846667	0.007429	2.11118
0,0,1,0,0,0	0.0155556	0.862222	0.007358	2.13171
0,0,0,0,1,1	0.0122222	0.874444	0.001922	6.42543
0,1,1,1,1,1	0.0122222	0.886667	0.007249	1.69455
0,0,1,0,1,1	0.00777778	0.894444	0.0012	6.52445
0,1,0,1,1,0	0.00555556	0.9	0.001189	4.69298
0,0,0,0,1,2	0.00555556	0.905556	0.004674	1.18966
0,0,1,0,0,1	0.00555556	0.911111	0.001873	2.97711
0,1,0,1,0,0	0.00444444	0.915556	0.001839	2.4231
0,0,0,1,0,1	0.00444444	0.92	0.001803	2.47157
0,0,1,1,1,1	0.00444444	0.924444	0.001878	2.37268
0,1,0,0,0,1	0.00444444	0.928889	0.001855	2.40216
0,1,1,0,0,0	0.00444444	0.933333	0.001835	2.42839
0,0,1,1,0,0	0.00333333	0.936667	0.001762	1.89477
0,1,2,0,0,2	0.00333333	0.94	0.001624	2.05607
0,1,0,0,1,1	0.00333333	0.943333	0.001202	2.77909
0,1,1,1,0,0	0.00333333	0.946667	0.001247	2.67868
0,1,1,1,1,0	0.00333333	0.95	0.001852	1.80253
0,1,1,0,1,1	0.00222222	0.952222	0.001784	1.24619
0,1,0,1,1,1	0.00222222	0.954444	0.001934	1.14936
0,0,1,1,1,0	0.00222222	0.956667	0.001271	1.75007
0,0,1,1,0,1	0.00222222	0.958889	0.0012	1.85375
0,0,1,0,0,2	0.00222222	0.961111	0.004611	0.480786
0,1,0,0,0,2	0.00222222	0.963333	0.004794	0.462348
0,0,0,1,1,0	0.00222222	0.965556	0.001808	1.22962
0,1,1,1,0,1	0.00222222	0.967778	0.001841	1.20753
0,1,0,0,2,1	0.00111111	0.968889	0.001599	0.694539
0,1,0,1,0,1	0.00111111	0.97	0.001299	0.855198
0,1,0,1,0,2	0.00111111	0.971111	0.001532	0.724963
0,0,1,2,3,1	0.00111111	0.972222	0.003317	0.334235
0,0,1,2,2,0	0.00111111	0.973333	0.001576	0.704692
0,0,1,2,1,0	0.00111111	0.974444	0.001584	0.701127
0,1,1,0,0,1	0.00111111	0.975556	0.001196	0.928944
0,0,1,2,0,0	0.00111111	0.976667	0.0048	0.230627
0,1,1,0,1,2	0.00111111	0.977778	0.001683	0.659819
0,1,1,0,2,0	0.00111111	0.978889	0.001584	0.701127
0,0,1,1,2,3	0.00111111	0.98	0.003383	0.327693
0,0,1,0,1,2	0.00111111	0.981111	0.001631	0.680891
0,0,1,0,1,0	0.00111111	0.982222	0.001885	0.588992
0,0,0,1,1,1	0.00111111	0.983333	0.00124	0.895942
0,1,1,1,1,2	0.00111111	0.984444	0.004765	0.232329
0,1,1,2,0,1	0.00111111	0.985556	0.001544	0.71932
0,1,2,0,0,0	0.00111111	0.986667	0.004669	0.237129
0,0,0,1,0,2	0.00111111	0.987778	0.004792	0.231013
0,1,2,0,0,3	0.00111111	0.988889	0.00648	0.170546
0,1,2,0,2,0	0.00111111	0.99	0.001587	0.699799
0,1,2,0,3,1	0.00111111	0.991111	0.003184	0.348243
0,1,2,1,1,0	0.00111111	0.992222	0.001591	0.698037
0,1,2,1,1,1	0.00111111	0.993333	0.004751	0.233017
0,1,2,1,2,1	0.00111111	0.994444	0.001636	0.678806
0,1,2,2,0,0	0.00111111	0.995556	0.001551	0.716068
0,1,2,2,1,3	0.00111111	0.996667	0.003291	0.336884
0,1,2,2,2,2	0.00111111	0.997778	0.004708	0.235155
0,1,2,3,1,2	0.00111111	0.998889	0.003188	0.347805
0,1,2,3,4,2	0.00111111	1	0.019142	0.0569979
