Run	Prob_1_Event	Prob_2_Events	Prob_3_Events	Prob_4_Events	Prob_5_Events	Prob_6_Events	Mean_Divergence_PopA_PopB	Mean_Divergence_PopC_PopD	Mean_Divergence_PopE_PopF	Mean_Divergence_PopG_PopH	Mean_Divergence_PopI_PopJ	Mean_Divergence_PopK_PopL	Gene_Length	Population_Size	Mutation_Rate	Samples_Simulated_Per_Pop	True_Number_Events	True_Divergence_PopA_PopB	True_Divergence_PopC_PopD	True_Divergence_PopE_PopF	True_Divergence_PopG_PopH	True_Divergence_PopI_PopJ	True_Divergence_PopK_PopL
1	0.160839	0.366633	0.277722	0.150849	0.034965	0.008991	0.000547	0.000575	0.000619	0.001832	0.001124	0.001159	1000	10000	1.00E-08	10	1	10000	10000	20000	20000	30000	30000
2	0.56044	0.332667	0.087912	0.013986	0.003996	0.000999	0.000134	0.000106	0.000167	0.000166	0.000145	0.000377	1000	10000	1.00E-08	10	1	10000	10000	20000	20000	30000	30000
3	0.783217	0.180819	0.030969	0.002997	0.000999	0.000999	0.000257	0.000248	0.000251	0.000254	0.000249	0.000254	1000	10000	1.00E-08	10	1	10000	10000	20000	20000	30000	30000
4	0.705295	0.243756	0.03996	0.00999	0	0.000999	0.000232	0.00023	0.000229	0.000233	0.000342	0.000243	1000	10000	1.00E-08	10	1	10000	10000	20000	20000	30000	30000
5	0.67033	0.248751	0.065934	0.013986	0	0.000999	0.000252	0.000208	0.000232	0.000262	0.000359	0.000249	1000	10000	1.00E-08	10	1	10000	10000	20000	20000	30000	30000
6	0.729271	0.217782	0.045954	0.004995	0.000999	0.000999	0.000187	0.000203	0.000207	0.000297	0.000203	0.000191	1000	10000	1.00E-08	10	1	10000	10000	20000	20000	30000	30000
7	0.64036	0.291708	0.061938	0.003996	0.000999	0.000999	0.000131	0.000145	0.000155	0.000341	0.000164	0.000158	1000	10000	1.00E-08	10	1	10000	10000	20000	20000	30000	30000
8	0.208791	0.390609	0.265734	0.105894	0.024975	0.003996	0.000245	0.000488	0.000441	0.000577	0.000948	0.000828	1000	10000	1.00E-08	10	1	10000	10000	20000	20000	30000	30000
9	0.819181	0.154845	0.020979	0.002997	0.000999	0.000999	0.000238	0.000239	0.00023	0.000237	0.000241	0.000229	1000	10000	1.00E-08	10	1	10000	10000	20000	20000	30000	30000
10	0.498501	0.33966	0.124875	0.026973	0.008991	0.000999	0.000596	0.000293	0.000445	0.000351	0.00035	0.000369	1000	10000	1.00E-08	10	1	10000	10000	20000	20000	30000	30000
11	0.74026	0.215784	0.034965	0.006993	0.000999	0.000999	0.000263	0.000265	0.000259	0.000267	0.000273	0.000333	1000	10000	1.00E-08	10	1	10000	10000	20000	20000	30000	30000
12	0.846154	0.132867	0.016983	0.002997	0	0.000999	0.000106	0.000087	0.000096	0.000096	0.0001	0.000105	1000	10000	1.00E-08	10	1	10000	10000	20000	20000	30000	30000
13	0.705295	0.223776	0.056943	0.011988	0.000999	0.000999	0.000339	0.000342	0.000342	0.000339	0.000357	0.000442	1000	10000	1.00E-08	10	1	10000	10000	20000	20000	30000	30000
14	0.817183	0.157842	0.01998	0.003996	0	0.000999	0.000221	0.000241	0.000227	0.000236	0.000232	0.000215	1000	10000	1.00E-08	10	1	10000	10000	20000	20000	30000	30000
15	0.772228	0.18981	0.031968	0.004995	0	0.000999	0.000246	0.000243	0.000251	0.000261	0.000252	0.000263	1000	10000	1.00E-08	10	1	10000	10000	20000	20000	30000	30000
16	0.69031	0.232767	0.060939	0.012987	0.001998	0.000999	0.000346	0.000275	0.000321	0.000315	0.000392	0.000306	1000	10000	1.00E-08	10	1	10000	10000	20000	20000	30000	30000
17	0.56044	0.350649	0.077922	0.008991	0	0.001998	0.000136	0.000173	0.000161	0.000166	0.00042	0.000158	1000	10000	1.00E-08	10	1	10000	10000	20000	20000	30000	30000
18	0.78022	0.186813	0.02997	0.001998	0	0.000999	0.000189	0.000171	0.0002	0.000199	0.000212	0.000223	1000	10000	1.00E-08	10	1	10000	10000	20000	20000	30000	30000
19	0.84016	0.137862	0.018981	0.001998	0	0.000999	0.00014	0.000117	0.000161	0.000131	0.000134	0.000164	1000	10000	1.00E-08	10	1	10000	10000	20000	20000	30000	30000
20	0.542458	0.347652	0.092907	0.014985	0.000999	0.000999	0.000124	0.000128	0.000116	0.000123	0.000119	0.000108	1000	10000	1.00E-08	10	1	10000	10000	20000	20000	30000	30000
21	0.625375	0.295704	0.066933	0.010989	0	0.000999	0.000251	0.000199	0.000412	0.000165	0.00021	0.000237	1000	10000	1.00E-08	10	1	10000	10000	20000	20000	30000	30000
22	0.653347	0.272727	0.063936	0.006993	0.001998	0.000999	0.000074	0.000136	0.000073	0.000291	0.000078	0.000099	1000	10000	1.00E-08	10	1	10000	10000	20000	20000	30000	30000
23	0.532468	0.33966	0.096903	0.027972	0.000999	0.001998	0.000199	0.000193	0.000205	0.000178	0.000215	0.00035	1000	10000	1.00E-08	10	1	10000	10000	20000	20000	30000	30000
24	0.191808	0.577423	0.184815	0.036963	0.007992	0.000999	0.000332	0.000256	0.000501	0.000289	0.000287	0.000434	1000	10000	1.00E-08	10	1	10000	10000	20000	20000	30000	30000
25	0.592408	0.2997	0.083916	0.017982	0.004995	0.000999	0.000271	0.000263	0.000287	0.000282	0.00153	0.000285	1000	10000	1.00E-08	10	1	10000	10000	20000	20000	30000	30000
26	0.571429	0.308691	0.093906	0.022977	0.000999	0.001998	0.000332	0.000501	0.000373	0.000421	0.000378	0.000499	1000	10000	1.00E-08	10	1	10000	10000	20000	20000	30000	30000
27	0.705295	0.237762	0.044955	0.007992	0.002997	0.000999	0.000386	0.000395	0.000693	0.000465	0.000433	0.000411	1000	10000	1.00E-08	10	1	10000	10000	20000	20000	30000	30000
28	0.78022	0.184815	0.028971	0.004995	0	0.000999	0.000381	0.000377	0.000399	0.000383	0.000403	0.000434	1000	10000	1.00E-08	10	1	10000	10000	20000	20000	30000	30000
29	0.747253	0.201798	0.042957	0.006993	0	0.000999	0.000231	0.000239	0.000238	0.000223	0.000235	0.000282	1000	10000	1.00E-08	10	1	10000	10000	20000	20000	30000	30000
