generation 10000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	2612	0	10	0.263158	none	
ConcentrationScaler	342	427	3	0.0789474	2.17246	
TimeSizeRateMixer	2652	2668	6	0.157895	0.333628	
TimeRootSizeMixer	2820	2450	6	0.157895	0.267032	
EventTimeScaler	11143	9143	1	0.0263158	1.34692	
RootPopulationSizeScaler0	1737	1665	1	0.0263158	0.448631	
LeafPopulationSizeScaler0	2496	939	1	0.0263158	1.76078	
RootPopulationSizeScaler1	1762	1650	1	0.0263158	0.424176	
LeafPopulationSizeScaler1	2292	1161	1	0.0263158	2.17952	
RootPopulationSizeScaler2	1777	1641	1	0.0263158	0.435947	
LeafPopulationSizeScaler2	2182	1263	1	0.0263158	1.28673	
RootPopulationSizeScaler3	1704	1732	1	0.0263158	0.453703	
LeafPopulationSizeScaler3	2272	1166	1	0.0263158	1.79041	
RootPopulationSizeScaler4	1717	1694	1	0.0263158	0.433414	
LeafPopulationSizeScaler4	2170	1229	1	0.0263158	1.88342	
RootPopulationSizeScaler5	1647	1763	1	0.0263158	0.456503	
LeafPopulationSizeScaler5	2369	1049	1	0.0263158	1.54303	
generation 20000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	5296	0	10	0.263158	none	
ConcentrationScaler	659	871	3	0.0789474	2.15764	
TimeSizeRateMixer	5047	5395	6	0.157895	0.340822	
TimeRootSizeMixer	5396	5071	6	0.157895	0.278674	
EventTimeScaler	21283	19122	1	0.0263158	1.4086	
RootPopulationSizeScaler0	3364	3412	1	0.0263158	0.459418	
LeafPopulationSizeScaler0	4664	2163	1	0.0263158	2.02867	
RootPopulationSizeScaler1	3341	3414	1	0.0263158	0.434412	
LeafPopulationSizeScaler1	4211	2573	1	0.0263158	2.39359	
RootPopulationSizeScaler2	3396	3426	1	0.0263158	0.447395	
LeafPopulationSizeScaler2	4043	2795	1	0.0263158	1.39774	
RootPopulationSizeScaler3	3268	3527	1	0.0263158	0.46003	
LeafPopulationSizeScaler3	4258	2573	1	0.0263158	1.97803	
RootPopulationSizeScaler4	3340	3446	1	0.0263158	0.446227	
LeafPopulationSizeScaler4	4083	2693	1	0.0263158	2.06176	
RootPopulationSizeScaler5	3206	3600	1	0.0263158	0.461293	
LeafPopulationSizeScaler5	4339	2471	1	0.0263158	1.71796	
generation 30000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	7878	0	10	0.263158	none	
ConcentrationScaler	982	1303	3	0.0789474	2.1562	
TimeSizeRateMixer	7475	8201	6	0.157895	0.344652	
TimeRootSizeMixer	8202	7848	6	0.157895	0.286481	
EventTimeScaler	31499	29492	1	0.0263158	1.44139	
