parameter	burnin	psrf	ess_concat	ess_0
ln_likelihood	1	-	1000.0	1000.0
concentration	1	-	1000.0	1000.0
ln_likelihood_PopulationA	1	-	806.6014699895793	806.6014699895793
root_height_PopulationA	1	-	800.6347947056073	800.6347947056073
pop_size_PopulationA	1	-	968.1190742828032	968.1190742828032
pop_size_PopulationB	1	-	1000.0	1000.0
pop_size_root_PopulationA	1	-	1000.0	1000.0
ln_likelihood_PopulationC	1	-	793.0370789257014	793.0370789257014
root_height_PopulationC	1	-	1000.0	1000.0
pop_size_PopulationC	1	-	770.5038834746066	770.5038834746066
pop_size_PopulationD	1	-	1000.0	1000.0
pop_size_root_PopulationC	1	-	1000.0	1000.0
ln_likelihood_PopulationE	1	-	1000.0	1000.0
root_height_PopulationE	1	-	766.053143681952	766.053143681952
pop_size_PopulationE	1	-	1000.0	1000.0
pop_size_PopulationF	1	-	729.3638768503479	729.3638768503479
pop_size_root_PopulationE	1	-	816.9940745944006	816.9940745944006
ln_likelihood_PopulationG	1	-	1000.0	1000.0
root_height_PopulationG	1	-	821.5237535314178	821.5237535314178
pop_size_PopulationG	1	-	1000.0	1000.0
pop_size_PopulationH	1	-	1000.0	1000.0
pop_size_root_PopulationG	1	-	1000.0	1000.0
ln_likelihood_PopulationI	1	-	1000.0	1000.0
root_height_PopulationI	1	-	1000.0	1000.0
pop_size_PopulationI	1	-	1000.0	1000.0
pop_size_PopulationJ	1	-	797.6272458946887	797.6272458946887
pop_size_root_PopulationI	1	-	768.556534999944	768.556534999944
ln_likelihood_PopulationK	1	-	961.7439806314774	961.7439806314774
root_height_PopulationK	1	-	1000.0	1000.0
pop_size_PopulationK	1	-	1000.0	1000.0
pop_size_PopulationL	1	-	784.8882744203617	784.8882744203617
pop_size_root_PopulationK	1	-	1000.0	1000.0
ln_likelihood	100	-	781.8353371444578	781.8353371444578
concentration	100	-	901.0	901.0
ln_likelihood_PopulationA	100	-	652.0755799068872	652.0755799068872
root_height_PopulationA	100	-	557.5474168938085	557.5474168938085
