Run	Prob_1_Event	Prob_2_Events	Prob_3_Events	Prob_4_Events	Prob_5_Events	Prob_6_Events	Mean_Divergence_PopA_PopB	Mean_Divergence_PopC_PopD	Mean_Divergence_PopE_PopF	Mean_Divergence_PopG_PopH	Mean_Divergence_PopI_PopJ	Mean_Divergence_PopK_PopL	Gene_Length	Population_Size	Mutation_Rate	Samples_Simulated_Per_Pop	True_Number_Events	True_Divergence_PopA_PopB	True_Divergence_PopC_PopD	True_Divergence_PopE_PopF	True_Divergence_PopG_PopH	True_Divergence_PopI_PopJ	True_Divergence_PopK_PopL
1	0.818182	0.157842	0.021978	0.000999	0	0.000999	0.000232	0.000217	0.000227	0.000217	0.000227	0.000217	1000	10000	1.00E-08	10	3	10000	10000	20000	20000	30000	30000
2	0.788212	0.172827	0.036963	0.000999	0	0.000999	0.000254	0.000261	0.000256	0.000261	0.000253	0.000257	1000	10000	1.00E-08	10	3	10000	10000	20000	20000	30000	30000
3	0.007992	0.666334	0.256743	0.058941	0.007992	0.001998	0.000228	0.000271	0.000228	0.000176	0.000245	0.002586	1000	10000	1.00E-08	10	3	10000	10000	20000	20000	30000	30000
4	0.731269	0.218781	0.044955	0.003996	0	0.000999	0.000207	0.000213	0.000219	0.000213	0.000212	0.000293	1000	10000	1.00E-08	10	3	10000	10000	20000	20000	30000	30000
5	0.387612	0.355644	0.187812	0.053946	0.013986	0.000999	0.000376	0.000402	0.000881	0.000398	0.000465	0.000823	1000	10000	1.00E-08	10	3	10000	10000	20000	20000	30000	30000
6	0.774226	0.190809	0.028971	0.004995	0	0.000999	0.000191	0.000223	0.00021	0.000217	0.000206	0.000225	1000	10000	1.00E-08	10	3	10000	10000	20000	20000	30000	30000
7	0.018981	0.365634	0.370629	0.18981	0.051948	0.002997	0.000097	0.000454	0.000108	0.001528	0.000864	0.001187	1000	10000	1.00E-08	10	3	10000	10000	20000	20000	30000	30000
8	0.823177	0.152847	0.021978	0.000999	0	0.000999	0.000082	0.000094	0.000095	0.000098	0.000124	0.000094	1000	10000	1.00E-08	10	3	10000	10000	20000	20000	30000	30000
9	0.734266	0.224775	0.037962	0.001998	0	0.000999	0.000055	0.000056	0.000055	0.000071	0.000133	0.000162	1000	10000	1.00E-08	10	3	10000	10000	20000	20000	30000	30000
10	0.654346	0.261738	0.06993	0.010989	0.001998	0.000999	0.000267	0.000266	0.00043	0.000285	0.000268	0.000264	1000	10000	1.00E-08	10	3	10000	10000	20000	20000	30000	30000
11	0.596404	0.306693	0.077922	0.016983	0.000999	0.000999	0.000349	0.000356	0.00036	0.000496	0.000362	0.000448	1000	10000	1.00E-08	10	3	10000	10000	20000	20000	30000	30000
12	0.024975	0.731269	0.1998	0.038961	0.003996	0.000999	0.000121	0.000138	0.00015	0.001888	0.000132	0.000076	1000	10000	1.00E-08	10	3	10000	10000	20000	20000	30000	30000
13	0.134865	0.517483	0.253746	0.07992	0.00999	0.003996	0.000288	0.000204	0.000281	0.000352	0.000548	0.001277	1000	10000	1.00E-08	10	3	10000	10000	20000	20000	30000	30000
14	0.71029	0.232767	0.042957	0.012987	0	0.000999	0.000127	0.000141	0.000158	0.000143	0.000296	0.000142	1000	10000	1.00E-08	10	3	10000	10000	20000	20000	30000	30000
15	0.2997	0.407592	0.220779	0.064935	0.003996	0.002997	0.000231	0.000325	0.000512	0.000328	0.000371	0.00095	1000	10000	1.00E-08	10	3	10000	10000	20000	20000	30000	30000
16	0.827173	0.143856	0.023976	0.003996	0	0.000999	0.000141	0.000123	0.000146	0.000138	0.000135	0.00015	1000	10000	1.00E-08	10	3	10000	10000	20000	20000	30000	30000
17	0.77023	0.198801	0.024975	0.003996	0.000999	0.000999	0.000228	0.000212	0.000212	0.000227	0.000247	0.000216	1000	10000	1.00E-08	10	3	10000	10000	20000	20000	30000	30000
18	0.712288	0.23976	0.03996	0.006993	0	0.000999	0.000246	0.00025	0.00025	0.000247	0.000245	0.000324	1000	10000	1.00E-08	10	3	10000	10000	20000	20000	30000	30000
19	0.052947	0.641359	0.240759	0.057942	0.004995	0.001998	0.000284	0.000276	0.000298	0.000313	0.002341	0.000246	1000	10000	1.00E-08	10	3	10000	10000	20000	20000	30000	30000
20	0.775225	0.186813	0.030969	0.005994	0	0.000999	0.000257	0.00024	0.000236	0.000243	0.000246	0.000241	1000	10000	1.00E-08	10	3	10000	10000	20000	20000	30000	30000
21	0.793207	0.174825	0.028971	0.001998	0	0.000999	0.000221	0.000211	0.000225	0.000211	0.000213	0.000232	1000	10000	1.00E-08	10	3	10000	10000	20000	20000	30000	30000
22	0.284715	0.516484	0.160839	0.032967	0.003996	0.000999	0.000215	0.000268	0.00019	0.000137	0.000213	0.000885	1000	10000	1.00E-08	10	3	10000	10000	20000	20000	30000	30000
23	0.037962	0.568432	0.317682	0.05994	0.013986	0.001998	0.000114	0.000176	0.000165	0.000624	0.001739	0.000173	1000	10000	1.00E-08	10	3	10000	10000	20000	20000	30000	30000
24	0.559441	0.295704	0.105894	0.030969	0.005994	0.001998	0.000408	0.000273	0.000349	0.000373	0.000465	0.00043	1000	10000	1.00E-08	10	3	10000	10000	20000	20000	30000	30000
25	0.808192	0.158841	0.023976	0.006993	0.000999	0.000999	0.000177	0.000195	0.000201	0.00019	0.000194	0.000199	1000	10000	1.00E-08	10	3	10000	10000	20000	20000	30000	30000
26	0.735265	0.211788	0.043956	0.007992	0	0.000999	0.00034	0.000331	0.00034	0.000338	0.000384	0.000339	1000	10000	1.00E-08	10	3	10000	10000	20000	20000	30000	30000
27	0.744256	0.214785	0.032967	0.005994	0.000999	0.000999	0.000285	0.000283	0.000284	0.000298	0.000338	0.00028	1000	10000	1.00E-08	10	3	10000	10000	20000	20000	30000	30000
28	0.756244	0.194805	0.038961	0.008991	0	0.000999	0.000199	0.00021	0.000206	0.000207	0.000269	0.000211	1000	10000	1.00E-08	10	3	10000	10000	20000	20000	30000	30000
29	0.759241	0.188811	0.043956	0.005994	0.000999	0.000999	0.000318	0.000318	0.000307	0.000318	0.000326	0.000361	1000	10000	1.00E-08	10	3	10000	10000	20000	20000	30000	30000
30	0.721279	0.225774	0.046953	0.004995	0	0.000999	0.000313	0.000282	0.000327	0.000299	0.000305	0.000356	1000	10000	1.00E-08	10	3	10000	10000	20000	20000	30000	30000
