model	post_prob	cumulative_post_prob	prior_prob	bf
0,0,0,0,0,0	0.672222	0.672222	0.025602	78.0541
0,1,0,0,0,0	0.0333333	0.705556	0.007466	4.58416
0,0,0,0,0,1	0.0288889	0.734444	0.007375	4.00392
0,1,1,1,1,1	0.0222222	0.756667	0.007433	3.03489
0,0,1,0,0,0	0.0211111	0.777778	0.007358	2.90945
0,0,0,1,0,0	0.0155556	0.793333	0.007325	2.14138
0,1,0,0,0,1	0.0144444	0.807778	0.001822	8.02933
0,0,0,0,1,0	0.0144444	0.822222	0.00724	2.00967
0,1,0,1,0,1	0.0111111	0.833333	0.001225	9.16097
0,1,0,1,0,0	0.00888889	0.842222	0.001901	4.70887
0,0,0,0,1,1	0.00777778	0.85	0.001907	4.10267
0,0,0,1,0,2	0.00666667	0.856667	0.004829	1.3831
0,1,1,1,1,0	0.00555556	0.862222	0.001871	2.9803
0,1,0,0,1,1	0.00555556	0.867778	0.001168	4.77745
0,1,0,1,1,1	0.00555556	0.873333	0.001903	2.93009
0,0,1,1,0,0	0.00555556	0.878889	0.001752	3.18311
0,0,1,0,2,0	0.00444444	0.883333	0.004709	0.943568
0,1,0,2,0,1	0.00444444	0.887778	0.001616	2.75809
0,1,0,0,2,0	0.00444444	0.892222	0.004835	0.918863
0,1,1,1,0,0	0.00444444	0.896667	0.001182	3.77243
0,1,2,2,2,2	0.00444444	0.901111	0.004707	0.943971
0,1,1,1,0,1	0.00444444	0.905556	0.001864	2.39054
0,0,1,0,0,1	0.00333333	0.908889	0.001844	1.81037
0,1,0,1,0,2	0.00333333	0.912222	0.001611	2.07268
0,1,2,0,0,0	0.00333333	0.915556	0.00472	0.705232
0,1,0,0,0,2	0.00333333	0.918889	0.004834	0.688522
0,1,0,1,1,0	0.00333333	0.922222	0.001195	2.79538
0,0,0,1,0,1	0.00333333	0.925556	0.001878	1.77753
0,1,1,0,1,0	0.00333333	0.928889	0.001244	2.68515
0,1,0,2,0,0	0.00222222	0.931111	0.00473	0.468634
0,1,2,3,3,3	0.00222222	0.933333	0.006427	0.344306
0,1,0,0,1,0	0.00222222	0.935556	0.001841	1.20753
0,1,2,2,2,1	0.00222222	0.937778	0.001629	1.36497
0,1,2,1,2,1	0.00222222	0.94	0.001538	1.44587
0,1,2,1,1,1	0.00222222	0.942222	0.004771	0.464587
0,0,1,1,1,0	0.00222222	0.944444	0.001198	1.85685
0,1,0,1,1,2	0.00222222	0.946667	0.001639	1.35663
0,1,2,1,0,3	0.00222222	0.948889	0.003175	0.699244
0,1,2,1,0,1	0.00222222	0.951111	0.001531	1.45249
0,1,2,0,0,1	0.00222222	0.953333	0.001564	1.4218
0,0,0,1,1,1	0.00222222	0.955556	0.001248	1.78237
0,1,1,2,0,1	0.00222222	0.957778	0.001576	1.41095
0,0,1,0,1,0	0.00222222	0.96	0.001883	1.18055
0,1,1,0,2,1	0.00222222	0.962222	0.001587	1.40116
0,1,1,0,1,1	0.00222222	0.964444	0.001869	1.18941
0,1,1,0,0,1	0.00222222	0.966667	0.001278	1.74047
0,1,1,0,0,2	0.00111111	0.967778	0.001431	0.776209
0,0,1,0,1,1	0.00111111	0.968889	0.001248	0.890191
0,1,0,2,3,1	0.00111111	0.97	0.003159	0.351008
0,1,0,2,3,0	0.00111111	0.971111	0.006388	0.173018
0,1,0,2,2,0	0.00111111	0.972222	0.001571	0.706938
0,0,0,1,2,2	0.00111111	0.973333	0.001675	0.662975
0,0,0,1,2,1	0.00111111	0.974444	0.001493	0.743929
0,1,0,0,2,2	0.00111111	0.975556	0.001657	0.670189
0,1,0,2,1,2	0.00111111	0.976667	0.000831	1.33745
0,1,1,2,1,1	0.00111111	0.977778	0.00464	0.238618
0,1,1,2,1,3	0.00111111	0.978889	0.006548	0.168764
0,1,1,2,2,1	0.00111111	0.98	0.00162	0.685522
0,1,1,2,3,4	0.00111111	0.981111	0.019076	0.057199
0,1,0,2,0,2	0.00111111	0.982222	0.001601	0.69367
0,0,1,0,2,2	0.00111111	0.983333	0.001691	0.656692
0,1,0,0,1,2	0.00111111	0.984444	0.0016	0.694105
0,1,0,1,2,0	0.00111111	0.985556	0.001564	0.710107
0,0,1,1,1,2	0.00111111	0.986667	0.001583	0.701571
0,1,2,1,1,2	0.00111111	0.987778	0.001612	0.688929
0,1,2,1,1,3	0.00111111	0.988889	0.006308	0.175227
0,0,1,2,0,0	0.00111111	0.99	0.004676	0.236772
0,1,2,1,2,2	0.00111111	0.991111	0.001514	0.733595
0,1,2,1,3,1	0.00111111	0.992222	0.006496	0.170123
0,1,2,2,1,0	0.00111111	0.993333	0.000796	1.39631
0,0,1,2,0,1	0.00111111	0.994444	0.001599	0.694539
0,0,0,1,1,0	0.00111111	0.995556	0.001841	0.603096
0,1,2,3,1,1	0.00111111	0.996667	0.006581	0.167912
0,1,2,3,2,2	0.00111111	0.997778	0.00644	0.171612
0,1,2,3,2,4	0.00111111	0.998889	0.019186	0.0568647
0,0,0,1,2,0	0.00111111	1	0.004593	0.241071
