Run	Gene_Length	Population_Size	Mutation_Rate	Prob_1_Event	Prob_2_Events	Prob_3_Events	Prob_4_Events	Prob_5_Events	Prob_6_Events	Mean_Divergence_PopA_PopB	Mean_Divergence_PopC_PopD	Mean_Divergence_PopE_PopF	Mean_Divergence_PopG_PopH	Mean_Divergence_PopI_PopJ	Mean_Divergence_PopK_PopL	Gene_Length	Population_Size	Mutation_Rate	Samples_Simulated_Per_Pop	True_Number_Events	True_Divergence_PopA_PopB	True_Divergence_PopC_PopD	True_Divergence_PopE_PopF	True_Divergence_PopG_PopH	True_Divergence_PopI_PopJ	True_Divergence_PopK_PopL
1	X	Y	Z	0.834166	0.150849	0.012987	0.000999	0	0.000999	0.000032	0.000035	0.000025	0.000024	0.000024	0.00011	1000	10000	1e-8	10	6	10000	20000	30000	40000	50000	60000
10	X	Y	Z	0.846154	0.140859	0.011988	0	0	0.000999	0.000038	0.000019	0.000019	0.00002	0.000072	0.000019	1000	10000	1e-8	10	6	10000	20000	30000	40000	50000	60000
11	X	Y	Z	0.965035	0.032967	0.000999	0	0	0.000999	0.000012	0.000012	0.000012	0.000023	0.000012	0.000012	1000	10000	1e-8	10	6	10000	20000	30000	40000	50000	60000
12	X	Y	Z	0.985015	0.013986	0	0	0	0.000999	0.000005	0.000004	0.000005	0.000005	0.000005	0.000004	1000	10000	1e-8	10	6	10000	20000	30000	40000	50000	60000
13	X	Y	Z	0.963037	0.034965	0.000999	0	0	0.000999	0.00001	0.00001	0.00001	0.00001	0.00001	0.000016	1000	10000	1e-8	10	6	10000	20000	30000	40000	50000	60000
14	X	Y	Z	0.916084	0.077922	0.004995	0	0	0.000999	0.00003	0.000022	0.000039	0.000022	0.000023	0.000022	1000	10000	1e-8	10	6	10000	20000	30000	40000	50000	60000
15	X	Y	Z	0.952048	0.043956	0.002997	0	0	0.000999	0.000016	0.000016	0.000023	0.000017	0.000016	0.000016	1000	10000	1e-8	10	6	10000	20000	30000	40000	50000	60000
16	X	Y	Z	0.939061	0.058941	0.000999	0	0	0.000999	0.000019	0.000025	0.000018	0.000018	0.000019	0.000018	1000	10000	1e-8	10	6	10000	20000	30000	40000	50000	60000
17	X	Y	Z	0.988012	0.010989	0	0	0	0.000999	0.000006	0.000006	0.000006	0.000006	0.000006	0.000006	1000	10000	1e-8	10	6	10000	20000	30000	40000	50000	60000
18	X	Y	Z	0.868132	0.115884	0.014985	0	0	0.000999	0.000028	0.000031	0.000026	0.000053	0.000026	0.000047	1000	10000	1e-8	10	6	10000	20000	30000	40000	50000	60000
19	X	Y	Z	0.946054	0.050949	0.001998	0	0	0.000999	0.000027	0.000011	0.00001	0.00001	0.000011	0.00001	1000	10000	1e-8	10	6	10000	20000	30000	40000	50000	60000
20	X	Y	Z	0.968032	0.030969	0	0	0	0.000999	0.000011	0.000016	0.000011	0.000011	0.000011	0.000011	1000	10000	1e-8	10	6	10000	20000	30000	40000	50000	60000
21	X	Y	Z	0.889111	0.105894	0.003996	0	0	0.000999	0.000014	0.000013	0.000013	0.00005	0.000026	0.000014	1000	10000	1e-8	10	6	10000	20000	30000	40000	50000	60000
22	X	Y	Z	0.984016	0.014985	0	0	0	0.000999	0.000005	0.000004	0.000004	0.000004	0.000004	0.000004	1000	10000	1e-8	10	6	10000	20000	30000	40000	50000	60000
23	X	Y	Z	0.971029	0.027972	0	0	0	0.000999	0.000009	0.000017	0.000009	0.000009	0.000009	0.000009	1000	10000	1e-8	10	6	10000	20000	30000	40000	50000	60000
25	X	Y	Z	0.916084	0.078921	0.003996	0	0	0.000999	0.000015	0.000014	0.000015	0.000025	0.000014	0.000028	1000	10000	1e-8	10	6	10000	20000	30000	40000	50000	60000
27	X	Y	Z	0.94006	0.057942	0.000999	0	0	0.000999	0.000019	0.00003	0.000018	0.000018	0.000018	0.000021	1000	10000	1e-8	10	6	10000	20000	30000	40000	50000	60000
29	X	Y	Z	0.974026	0.024975	0	0	0	0.000999	0.000009	0.000008	0.000009	0.000009	0.000009	0.000008	1000	10000	1e-8	10	6	10000	20000	30000	40000	50000	60000
3	X	Y	Z	0.924076	0.06993	0.004995	0	0	0.000999	0.000037	0.000031	0.000031	0.00005	0.000031	0.000031	1000	10000	1e-8	10	6	10000	20000	30000	40000	50000	60000
5	X	Y	Z	0.975025	0.023976	0	0	0	0.000999	0.000005	0.000005	0.000005	0.000005	0.000006	0.000005	1000	10000	1e-8	10	6	10000	20000	30000	40000	50000	60000
6	X	Y	Z	0.961039	0.036963	0.000999	0	0	0.000999	0.000017	0.000017	0.000017	0.000017	0.000019	0.000017	1000	10000	1e-8	10	6	10000	20000	30000	40000	50000	60000
8	X	Y	Z	0.969031	0.02997	0	0	0	0.000999	0.000008	0.000008	0.000008	0.000008	0.000008	0.000009	1000	10000	1e-8	10	6	10000	20000	30000	40000	50000	60000
9	X	Y	Z	0.974026	0.022977	0.001998	0	0	0.000999	0.000008	0.000007	0.000008	0.000009	0.000008	0.000008	1000	10000	1e-8	10	6	10000	20000	30000	40000	50000	60000
