parameter	burnin	psrf	ess_concat	ess_0
ln_likelihood	1	-	1000.0	1000.0
concentration	1	-	1000.0	1000.0
ln_likelihood_PopulationA	1	-	1000.0	1000.0
root_height_PopulationA	1	-	779.2084975092024	779.2084975092024
pop_size_PopulationA	1	-	1000.0	1000.0
pop_size_PopulationB	1	-	971.6542070299772	971.6542070299772
pop_size_root_PopulationA	1	-	1000.0	1000.0
ln_likelihood_PopulationC	1	-	1000.0	1000.0
root_height_PopulationC	1	-	737.9236398082717	737.9236398082717
pop_size_PopulationC	1	-	1000.0	1000.0
pop_size_PopulationD	1	-	1000.0	1000.0
pop_size_root_PopulationC	1	-	1000.0	1000.0
ln_likelihood_PopulationE	1	-	811.5884801410386	811.5884801410386
root_height_PopulationE	1	-	752.8340708594459	752.8340708594459
pop_size_PopulationE	1	-	956.7089831217917	956.7089831217917
pop_size_PopulationF	1	-	824.6211122589061	824.6211122589061
pop_size_root_PopulationE	1	-	1000.0	1000.0
ln_likelihood_PopulationG	1	-	1000.0	1000.0
root_height_PopulationG	1	-	952.6969520858433	952.6969520858433
pop_size_PopulationG	1	-	531.2257597949499	531.2257597949499
pop_size_PopulationH	1	-	1000.0	1000.0
pop_size_root_PopulationG	1	-	942.5931694532064	942.5931694532064
ln_likelihood_PopulationI	1	-	1000.0	1000.0
root_height_PopulationI	1	-	1000.0	1000.0
pop_size_PopulationI	1	-	1000.0	1000.0
pop_size_PopulationJ	1	-	1000.0	1000.0
pop_size_root_PopulationI	1	-	1000.0	1000.0
ln_likelihood_PopulationK	1	-	1000.0	1000.0
root_height_PopulationK	1	-	1000.0	1000.0
pop_size_PopulationK	1	-	1000.0	1000.0
pop_size_PopulationL	1	-	1000.0	1000.0
pop_size_root_PopulationK	1	-	1000.0	1000.0
ln_likelihood	100	-	901.0	901.0
concentration	100	-	901.0	901.0
ln_likelihood_PopulationA	100	-	901.0	901.0
root_height_PopulationA	100	-	896.8485441536097	896.8485441536097
pop_size_PopulationA	100	-	901.0	901.0
