Run	Prob_1_Event	Prob_2_Events	Prob_3_Events	Prob_4_Events	Prob_5_Events	Prob_6_Events	Mean_Divergence_PopA_PopB	Mean_Divergence_PopC_PopD	Mean_Divergence_PopE_PopF	Mean_Divergence_PopG_PopH	Mean_Divergence_PopI_PopJ	Mean_Divergence_PopK_PopL	Gene_Length	Population_Size	Mutation_Rate	Samples_Simulated_Per_Pop	True_Number_Events	True_Divergence_PopA_PopB	True_Divergence_PopC_PopD	True_Divergence_PopE_PopF	True_Divergence_PopG_PopH	True_Divergence_PopI_PopJ	True_Divergence_PopK_PopL
1	0.957043	0.040959	0.000999	0	0	0.000999	0.000019	0.000011	0.000011	0.000011	0.000011	0.000011	1000	10000	1.00E-08	10	6	10000	30000	50000	70000	90000	110000
2	0.967033	0.030969	0.000999	0	0	0.000999	0.000012	0.000012	0.000012	0.000012	0.000012	0.000013	1000	10000	1.00E-08	10	6	10000	30000	50000	70000	90000	110000
3	0.951049	0.045954	0.001998	0	0	0.000999	0.000014	0.000015	0.000016	0.000014	0.000019	0.000014	1000	10000	1.00E-08	10	6	10000	30000	50000	70000	90000	110000
4	0.976024	0.021978	0.000999	0	0	0.000999	0.000019	0.000017	0.000017	0.000017	0.000017	0.000018	1000	10000	1.00E-08	10	6	10000	30000	50000	70000	90000	110000
5	0.903097	0.095904	0	0	0	0.000999	0.000016	0.000016	0.000032	0.000016	0.000016	0.000019	1000	10000	1.00E-08	10	6	10000	30000	50000	70000	90000	110000
6	0.961039	0.036963	0.000999	0	0	0.000999	0.00001	0.00001	0.000013	0.00001	0.000016	0.00001	1000	10000	1.00E-08	10	6	10000	30000	50000	70000	90000	110000
7	0.896104	0.095904	0.006993	0	0	0.000999	0.000026	0.000055	0.000026	0.000026	0.000029	0.000039	1000	10000	1.00E-08	10	6	10000	30000	50000	70000	90000	110000
8	0.891109	0.098901	0.008991	0	0	0.000999	0.000029	0.000042	0.000029	0.000043	0.000028	0.000028	1000	10000	1.00E-08	10	6	10000	30000	50000	70000	90000	110000
9	0.805195	0.185814	0.007992	0	0	0.000999	0.000112	0.00002	0.000011	0.000011	0.000011	0.000012	1000	10000	1.00E-08	10	6	10000	30000	50000	70000	90000	110000
10	0.968032	0.02997	0.000999	0	0	0.000999	0.00001	0.00001	0.00001	0.000013	0.00001	0.00001	1000	10000	1.00E-08	10	6	10000	30000	50000	70000	90000	110000
