Run	Gene_Length	Population_Size	Mutation_Rate	Samples_Simulated_Per_Pop	True_Number_Events	True_Divergence_PopA_PopB	True_Divergence_PopC_PopD	True_Divergence_PopE_PopF	True_Divergence_PopG_PopH	True_Divergence_PopI_PopJ	True_Divergence_PopK_PopL	Prob_1_Event	Prob_2_Events	Prob_3_Events	Prob_4_Events	Prob_5_Events	Prob_6_Events	Mean_Divergence_PopA_PopB	Mean_Divergence_PopC_PopD	Mean_Divergence_PopE_PopF	Mean_Divergence_PopG_PopH	Mean_Divergence_PopI_PopJ	Mean_Divergence_PopK_PopL
0	1000	10000	1e-8	10	6	10000	50000	90000	130000	170000	210000	0.937063	0.060939	0.000999	0.000000	0.000000	0.000999	0.000033	0.000026	0.000026	0.000025	0.000029	0.000025
1	1000	10000	1e-8	10	6	10000	50000	90000	130000	170000	210000	0.907093	0.086913	0.003996	0.000999	0.000000	0.000999	0.000054	0.000043	0.000041	0.000041	0.000042	0.000046
10	1000	10000	1e-8	10	6	10000	50000	90000	130000	170000	210000	0.964036	0.034965	0.000000	0.000000	0.000000	0.000999	0.000013	0.000013	0.000018	0.000012	0.000013	0.000012
11	1000	10000	1e-8	10	6	10000	50000	90000	130000	170000	210000	0.774226	0.209790	0.012987	0.000999	0.000999	0.000999	0.000047	0.000140	0.000047	0.000050	0.000049	0.000057
12	1000	10000	1e-8	10	6	10000	50000	90000	130000	170000	210000	0.910090	0.085914	0.002997	0.000000	0.000000	0.000999	0.000039	0.000017	0.000018	0.000017	0.000018	0.000019
13	1000	10000	1e-8	10	6	10000	50000	90000	130000	170000	210000	0.965035	0.033966	0.000000	0.000000	0.000000	0.000999	0.000012	0.000011	0.000016	0.000012	0.000011	0.000012
14	1000	10000	1e-8	10	6	10000	50000	90000	130000	170000	210000	0.963037	0.035964	0.000000	0.000000	0.000000	0.000999	0.000015	0.000015	0.000015	0.000016	0.000015	0.000015
15	1000	10000	1e-8	10	6	10000	50000	90000	130000	170000	210000	0.691309	0.280719	0.026973	0.000000	0.000000	0.000999	0.000168	0.000029	0.000029	0.000079	0.000029	0.000062
16	1000	10000	1e-8	10	6	10000	50000	90000	130000	170000	210000	0.977023	0.020979	0.000999	0.000000	0.000000	0.000999	0.000015	0.000011	0.000011	0.000011	0.000011	0.000011
17	1000	10000	1e-8	10	6	10000	50000	90000	130000	170000	210000	0.955045	0.043956	0.000000	0.000000	0.000000	0.000999	0.000015	0.000009	0.000009	0.000010	0.000009	0.000009
18	1000	10000	1e-8	10	6	10000	50000	90000	130000	170000	210000	0.969031	0.029970	0.000000	0.000000	0.000000	0.000999	0.000010	0.000008	0.000008	0.000008	0.000008	0.000008
19	1000	10000	1e-8	10	6	10000	50000	90000	130000	170000	210000	0.948052	0.048951	0.001998	0.000000	0.000000	0.000999	0.000028	0.000024	0.000024	0.000025	0.000025	0.000030
2	1000	10000	1e-8	10	6	10000	50000	90000	130000	170000	210000	0.985015	0.011988	0.001998	0.000000	0.000000	0.000999	0.000007	0.000007	0.000007	0.000007	0.000007	0.000007
20	1000	10000	1e-8	10	6	10000	50000	90000	130000	170000	210000	0.956044	0.042957	0.000000	0.000000	0.000000	0.000999	0.000015	0.000015	0.000014	0.000014	0.000025	0.000015
21	1000	10000	1e-8	10	6	10000	50000	90000	130000	170000	210000	0.948052	0.046953	0.003996	0.000000	0.000000	0.000999	0.000012	0.000012	0.000023	0.000012	0.000012	0.000013
22	1000	10000	1e-8	10	6	10000	50000	90000	130000	170000	210000	0.965035	0.031968	0.001998	0.000000	0.000000	0.000999	0.000016	0.000009	0.000009	0.000009	0.000009	0.000009
23	1000	10000	1e-8	10	6	10000	50000	90000	130000	170000	210000	0.771229	0.200799	0.023976	0.002997	0.000000	0.000999	0.000019	0.000019	0.000019	0.000075	0.000019	0.000095
24	1000	10000	1e-8	10	6	10000	50000	90000	130000	170000	210000	0.933067	0.061938	0.003996	0.000000	0.000000	0.000999	0.000024	0.000032	0.000024	0.000024	0.000024	0.000025
25	1000	10000	1e-8	10	6	10000	50000	90000	130000	170000	210000	0.895105	0.098901	0.004995	0.000000	0.000000	0.000999	0.000026	0.000024	0.000035	0.000045	0.000024	0.000023
26	1000	10000	1e-8	10	6	10000	50000	90000	130000	170000	210000	0.983017	0.015984	0.000000	0.000000	0.000000	0.000999	0.000007	0.000007	0.000007	0.000007	0.000007	0.000007
27	1000	10000	1e-8	10	6	10000	50000	90000	130000	170000	210000	0.439560	0.434565	0.114885	0.009990	0.000000	0.000999	0.000043	0.000096	0.000042	0.000248	0.000296	0.000050
28	1000	10000	1e-8	10	6	10000	50000	90000	130000	170000	210000	0.938062	0.060939	0.000000	0.000000	0.000000	0.000999	0.000007	0.000007	0.000030	0.000007	0.000007	0.000007
29	1000	10000	1e-8	10	6	10000	50000	90000	130000	170000	210000	0.972028	0.026973	0.000000	0.000000	0.000000	0.000999	0.000010	0.000012	0.000011	0.000011	0.000010	0.000011
3	1000	10000	1e-8	10	6	10000	50000	90000	130000	170000	210000	0.887113	0.107892	0.002997	0.000999	0.000000	0.000999	0.000025	0.000047	0.000024	0.000038	0.000034	0.000025
4	1000	10000	1e-8	10	6	10000	50000	90000	130000	170000	210000	0.501499	0.420579	0.071928	0.003996	0.000999	0.000999	0.000048	0.000064	0.000050	0.000049	0.000397	0.000066
5	1000	10000	1e-8	10	6	10000	50000	90000	130000	170000	210000	0.990010	0.008991	0.000000	0.000000	0.000000	0.000999	0.000004	0.000004	0.000004	0.000005	0.000004	0.000004
6	1000	10000	1e-8	10	6	10000	50000	90000	130000	170000	210000	0.975025	0.023976	0.000000	0.000000	0.000000	0.000999	0.000009	0.000015	0.000009	0.000009	0.000009	0.000010
7	1000	10000	1e-8	10	6	10000	50000	90000	130000	170000	210000	0.978022	0.020979	0.000000	0.000000	0.000000	0.000999	0.000007	0.000007	0.000007	0.000007	0.000007	0.000007
8	1000	10000	1e-8	10	6	10000	50000	90000	130000	170000	210000	0.971029	0.027972	0.000000	0.000000	0.000000	0.000999	0.000011	0.000011	0.000011	0.000011	0.000011	0.000011
9	1000	10000	1e-8	10	6	10000	50000	90000	130000	170000	210000	0.895105	0.095904	0.007992	0.000000	0.000000	0.000999	0.000011	0.000013	0.000011	0.000011	0.000011	0.000055
