generation	ln_likelihood	ln_prior	number_of_events	concentration	root_height_index_PopulationA	ln_likelihood_PopulationA	ln_prior_PopulationA	root_height_PopulationA	mutation_rate_PopulationA	freq_1_PopulationA	pop_size_PopulationA	pop_size_PopulationB	pop_size_root_PopulationA	root_height_index_PopulationC	ln_likelihood_PopulationC	ln_prior_PopulationC	root_height_PopulationC	mutation_rate_PopulationC	freq_1_PopulationC	pop_size_PopulationC	pop_size_PopulationD	pop_size_root_PopulationC	root_height_index_PopulationE	ln_likelihood_PopulationE	ln_prior_PopulationE	root_height_PopulationE	mutation_rate_PopulationE	freq_1_PopulationE	pop_size_PopulationE	pop_size_PopulationF	pop_size_root_PopulationE	root_height_index_PopulationG	ln_likelihood_PopulationG	ln_prior_PopulationG	root_height_PopulationG	mutation_rate_PopulationG	freq_1_PopulationG	pop_size_PopulationG	pop_size_PopulationH	pop_size_root_PopulationG	root_height_index_PopulationI	ln_likelihood_PopulationI	ln_prior_PopulationI	root_height_PopulationI	mutation_rate_PopulationI	freq_1_PopulationI	pop_size_PopulationI	pop_size_PopulationJ	pop_size_root_PopulationI	root_height_index_PopulationK	ln_likelihood_PopulationK	ln_prior_PopulationK	root_height_PopulationK	mutation_rate_PopulationK	freq_1_PopulationK	pop_size_PopulationK	pop_size_PopulationL	pop_size_root_PopulationK
0	-4654.58152661646545	92.6761420730913557	6	14.2250063105915121	0	-783.161177861271199	14.0767228695411042	0.011939316806026468	1	0.5	0.000127293128772647794	0.000127293128772647794	0.000143999311127184252	1	-738.268161869117648	12.7288285634063296	0.000922686556854627766	1	0.5	0.000997857577680621218	0.000997857577680621218	0.000906727795997900698	2	-767.099563799232101	13.9242225569202773	0.017681868602031546	1	0.5	0.000398172436732487382	0.000398172436732487382	0.000420500013786612723	3	-841.79208410640797	12.0672278598465752	0.0200112833474687703	1	0.5	0.00064222911814122664	0.00064222911814122664	0.000798781566319241537	4	-766.779859452644928	12.0818835460593146	0.00673432036649883325	1	0.5	0.000904360348073692693	0.000904360348073692693	0.000721392363817229009	5	-757.480679527791949	12.7576175697420595	0.0184370830169704805	1	0.5	0.000870501752829719983	0.000870501752829719983	0.000961088678875200221
100	-4446.71414327522962	74.9266950173937119	1	4.75459396929898226	0	-745.012824614923943	14.4932921022665617	2.26694574884788586e-05	1	0.5	0.000165119651468511491	0.000193030881110862508	0.00017897987167496491	0	-731.715691096703949	10.0883021126835484	2.26694574884788586e-05	1	0.5	0.00110704296861377787	0.00093388305650151369	0.000702206835087208292	0	-725.970744570700276	13.4950129200751352	2.26694574884788586e-05	1	0.5	0.000554920267769396587	0.000473098870059016129	0.000565229700842978262	0	-781.138116610143129	13.4050259866207124	2.26694574884788586e-05	1	0.5	0.000639737677410571353	0.000798305763050737743	0.000685758433755926972	0	-749.865199391296642	13.0126233283984174	2.26694574884788586e-05	1	0.5	0.000888177725503873643	0.000948222283883837311	0.000880100078396912748	0	-713.011566991461336	13.4590997781557071	2.26694574884788586e-05	1	0.5	0.000614479340808418511	0.000767301205793669938	0.000696653213620738814
200	-4443.43811376541998	76.310996502146665	1	3.14535328204353526	0	-744.213122872029203	14.2722438035881183	1.11442180686051219e-05	1	0.5	0.000150418777590090633	0.000415011050686943318	0.000268602150430119696	0	-731.840179509301265	12.9464672185597713	1.11442180686051219e-05	1	0.5	0.00100470362703113623	0.000687922182099016304	0.00075294004363576732	0	-725.208568968922009	12.4880200833241037	1.11442180686051219e-05	1	0.5	0.000494377459055885915	0.00033267442301626181	0.00031179684108547577	0	-780.856072293483635	12.3326760556160693	1.11442180686051219e-05	1	0.5	0.000668385805531382664	0.000942200115319954566	0.000646137907897973568	0	-750.245983134073072	11.9510421805130722	1.11442180686051219e-05	1	0.5	0.00106236907385875664	0.000503055194202761593	0.000961046841773937244	0	-711.074186987611256	14.0480297657096642	1.11442180686051219e-05	1	0.5	0.0003483426886773123	0.000380141626113909218	0.000336405835385740145
300	-4442.95030167407458	80.8275052627245003	1	0.705969693098492113	0	-743.898008738395106	13.7370378793250332	1.40769823365007214e-05	1	0.5	0.000369444054331980289	0.000305205713848507882	0.000287808954649212349	0	-731.63671071960141	13.2414736526075316	1.40769823365007214e-05	1	0.5	0.00144119686543535516	0.000168761128310553201	0.000773404630431670081	0	-725.169577075195321	14.328382786590165	1.40769823365007214e-05	1	0.5	0.000144974812186838452	0.000349830491661881973	0.000252102623596992816	0	-780.697299758077861	13.0883899569423043	1.40769823365007214e-05	1	0.5	0.000815102098753868964	0.000957223492981806303	0.000865566833260771593	0	-749.698558186967944	12.2858162562715272	1.40769823365007214e-05	1	0.5	0.000703850589004921122	0.000157239792218741254	0.000319946175030364432	0	-711.850147195837053	13.8080201121772674	1.40769823365007214e-05	1	0.5	0.000659231722935263009	0.000300203531069695515	0.000499771578126398082
400	-4443.25621902706825	81.0443738834514988	1	1.12745134633620059	0	-743.908115957982545	13.5051811802927553	1.31076761066576459e-05	1	0.5	0.00128015304137594067	7.49422689664898427e-05	0.000660434328604476962	0	-731.230601010408009	13.3027660569385144	1.31076761066576459e-05	1	0.5	0.000670497003119779975	0.000269447720651541341	0.000537662796194938162	0	-725.434559027819546	14.0070666861570583	1.31076761066576459e-05	1	0.5	0.000530081445483355563	0.000191932527756313387	0.000328458897504420506	0	-781.521092617318914	13.4246891333758214	1.31076761066576459e-05	1	0.5	0.000231389734525242635	0.000952333965509027849	0.000523108798359043473	0	-750.250790282809817	13.380602735550621	1.31076761066576459e-05	1	0.5	0.000318264316747236852	7.6126299670164181e-05	0.00023684219779155323	0	-710.911060130729197	13.3774179405875575	1.31076761066576459e-05	1	0.5	0.000344623207561450459	0.000331477756289505466	0.000274729384864885653
500	-4447.96745956013001	70.7017459515897713	1	2.6243099443608644	0	-743.876558643442991	13.6430342419542239	1.92284646785335187e-05	1	0.5	0.000909534192996051252	0.000260993153958417846	0.000599163890379403341	0	-733.39971493478231	11.2256410109896407	1.92284646785335187e-05	1	0.5	0.00129947296219648577	0.00148422844968916067	0.00112525630925636383	0	-728.221744337737732	12.1178219626117691	1.92284646785335187e-05	1	0.5	0.00164204803661746352	0.000800225902700645031	0.00106894700363170409	0	-780.987792265714461	12.7311702640215394	1.92284646785335187e-05	1	0.5	0.000845156650718273546	0.000793114420310120621	0.000694351800078611822	0	-749.497578227495296	8.73309570123474543	1.92284646785335187e-05	1	0.5	0.000314621147692963174	0.00231749165581563929	0.000861867057580276369	0	-711.98407115095813	13.5285746231509698	1.92284646785335187e-05	1	0.5	0.000478402448406651875	0.00065750664473600512	0.000508225327434299245
600	-4445.25124372643313	76.6121020385965181	1	1.50645636483255529	0	-743.68481996801836	13.2311088041387634	4.66147510754386268e-06	1	0.5	0.00110915907778805548	0.000174648711005242135	0.000557233735679293278	0	-733.352811944726682	12.0589347359880499	4.66147510754386268e-06	1	0.5	0.000588547609197320222	0.00132500632436211561	0.0011277101997679785	0	-726.620439782732092	13.2779801402803468	4.66147510754386268e-06	1	0.5	0.000587932566982644314	0.000964901057265132736	0.000787902802600962192	0	-780.905101436146424	10.8301316802407293	4.66147510754386268e-06	1	0.5	0.00280082338068097288	0.000206533924904262563	0.00119257573713409115	0	-749.77779844182237	13.4001160307986673	4.66147510754386268e-06	1	0.5	0.000517035348148664302	0.000814421150189084436	0.000700985485195804864	0	-710.910272152986977	14.0906469983342255	4.66147510754386268e-06	1	0.5	0.000199838781131809389	0.000512013406943542305	0.000332041802037735259
700	-4444.95549422237764	78.0747579447303082	1	0.64768985498920506	0	-744.934388321787083	12.8005586843359804	1.73536874273406697e-06	1	0.5	0.00158839626172865194	0.000441419458242865985	0.000959866645060953629	0	-731.679099778293903	13.2331587944437565	1.73536874273406697e-06	1	0.5	0.000313483484525874101	0.00118132476708443122	0.000679803394900372476	0	-727.659378743253683	12.7679298212967822	1.73536874273406697e-06	1	0.5	0.00155093603408640811	0.000307820520685470967	0.00100278500655639037	0	-780.491212653588491	11.8187316530069424	1.73536874273406697e-06	1	0.5	0.00182517936067119291	0.00063304973032310809	0.00102800436460185165	0	-749.78944074644869	12.5095860885122327	1.73536874273406697e-06	1	0.5	0.00111189950398196441	7.32408467060739163e-05	0.000716797047814759342	0	-710.401973979006016	14.5782938396442425	1.73536874273406697e-06	1	0.5	5.55064728405445305e-05	0.000215312596808942707	0.000129801669683367462
800	-4442.56896184183643	80.6351955299742826	1	1.3928380086997092	0	-743.635977604012396	13.5136635002773566	2.26530357375202071e-06	1	0.5	0.000708793815386247875	0.000404888355332757308	0.000494134520073780939	0	-731.987927006144446	13.2184990263610125	2.26530357375202071e-06	1	0.5	0.00109216870321996178	0.000442625518801510905	0.000803017159082529538	0	-725.118200439811062	13.2537917348718182	2.26530357375202071e-06	1	0.5	7.16532806844256531e-05	0.000453364633790105567	0.000206910856011085917	0	-780.527642714486205	12.7663198926930157	2.26530357375202071e-06	1	0.5	0.000906969476154109396	0.00114763712953000236	0.00104801623937774216	0	-750.732321119407175	13.7609356119246158	2.26530357375202071e-06	1	0.5	0.000429764351019195983	0.000145416009363947272	0.000242574234088085272	0	-710.566892957975483	14.2986941986468672	2.26530357375202071e-06	1	0.5	0.000342829802207914795	0.000189609717182086891	0.000251894351069690691
900	-4444.46260278496447	78.7316873972949622	1	3.49697984668798156	0	-743.625741186222285	13.9369570421554947	3.28891017730478653e-06	1	0.5	0.000449009798118841629	0.000376980766612725299	0.000379669861013742305	0	-731.325172872554617	13.4332296998595702	3.28891017730478653e-06	1	0.5	0.00125675220777849697	9.06638892197099866e-05	0.000623144712343706871	0	-726.770987763049902	12.4855485029003415	3.28891017730478653e-06	1	0.5	0.000864494062561553533	0.000508563187309700915	0.000818211369018039219	0	-780.557699881623989	13.216656635032308	3.28891017730478653e-06	1	0.5	0.00131551203689418109	0.000236269859424156431	0.000714592787791644966	0	-750.054525989924173	14.1615748717981429	3.28891017730478653e-06	1	0.5	0.000452825595265855774	0.000213971083911825596	0.000338796427516291072	0	-712.128475091589053	13.520085726076001	3.28891017730478653e-06	1	0.5	0.000680105000164940186	0.000420458112480439044	0.000594465405266012882
