model	post_prob	cumulative_post_prob	prior_prob	bf
0,0,0,0,0,0	0.952222	0.952222	0.025828	751.722
0,0,0,0,0,1	0.0155556	0.967778	0.007464	2.10121
0,1,1,1,1,1	0.0122222	0.98	0.007308	1.68076
0,0,0,0,1,0	0.00333333	0.983333	0.007255	0.457645
0,0,1,0,0,0	0.00333333	0.986667	0.00739	0.449224
0,0,0,0,1,1	0.00222222	0.988889	0.001758	1.26465
0,0,0,1,0,0	0.00222222	0.991111	0.007253	0.304842
0,1,0,1,1,1	0.00222222	0.993333	0.001821	1.22082
0,1,1,0,1,1	0.00222222	0.995556	0.001908	1.16505
0,1,0,0,0,0	0.00111111	0.996667	0.00744	0.148397
0,1,0,0,0,1	0.00111111	0.997778	0.001762	0.630186
0,1,0,0,1,0	0.00111111	0.998889	0.00184	0.603424
0,1,1,1,1,2	0.00111111	1	0.004817	0.229809
