generation 10000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	2658	0	10	0.263158	none	
ConcentrationScaler	396	390	3	0.0789474	2.6354	
TimeSizeRateMixer	890	864	6	0.157895	0.192088	
TimeRootSizeMixer	550	1063	6	0.157895	0.036421	
EventTimeScaler	4122	2394	1	0.0263158	2.2025	
RootPopulationSizeScaler0	1723	1696	1	0.0263158	0.433924	
LeafPopulationSizeScaler0	2199	1233	1	0.0263158	1.78574	
RootPopulationSizeScaler1	1773	1677	1	0.0263158	0.428932	
LeafPopulationSizeScaler1	2225	1210	1	0.0263158	2.05998	
RootPopulationSizeScaler2	1761	1672	1	0.0263158	0.422574	
LeafPopulationSizeScaler2	2134	1270	1	0.0263158	1.65678	
RootPopulationSizeScaler3	1785	1652	1	0.0263158	0.420838	
LeafPopulationSizeScaler3	2401	1025	1	0.0263158	1.57751	
RootPopulationSizeScaler4	1798	1620	1	0.0263158	0.422776	
LeafPopulationSizeScaler4	2154	1247	1	0.0263158	1.85801	
RootPopulationSizeScaler5	1657	1770	1	0.0263158	0.445003	
LeafPopulationSizeScaler5	2333	1069	1	0.0263158	2.05014	
generation 20000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	5351	0	10	0.263158	none	
ConcentrationScaler	757	782	3	0.0789474	2.67221	
TimeSizeRateMixer	1716	1776	6	0.157895	0.197082	
TimeRootSizeMixer	1208	2105	6	0.157895	0.035329	
EventTimeScaler	7788	5404	1	0.0263158	2.39196	
RootPopulationSizeScaler0	3290	3519	1	0.0263158	0.442796	
LeafPopulationSizeScaler0	4113	2738	1	0.0263158	1.94682	
RootPopulationSizeScaler1	3443	3405	1	0.0263158	0.441329	
LeafPopulationSizeScaler1	4178	2638	1	0.0263158	2.2603	
RootPopulationSizeScaler2	3393	3435	1	0.0263158	0.433688	
LeafPopulationSizeScaler2	3972	2847	1	0.0263158	1.76781	
RootPopulationSizeScaler3	3429	3421	1	0.0263158	0.436468	
LeafPopulationSizeScaler3	4464	2339	1	0.0263158	1.77963	
RootPopulationSizeScaler4	3401	3411	1	0.0263158	0.433576	
LeafPopulationSizeScaler4	4068	2732	1	0.0263158	2.01728	
RootPopulationSizeScaler5	3266	3561	1	0.0263158	0.457595	
LeafPopulationSizeScaler5	4369	2436	1	0.0263158	2.28965	
generation 30000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	8000	0	10	0.263158	none	
ConcentrationScaler	1138	1222	3	0.0789474	2.70344	
TimeSizeRateMixer	2432	2638	6	0.157895	0.198791	
TimeRootSizeMixer	1871	3103	6	0.157895	0.0346176	
EventTimeScaler	11228	8302	1	0.0263158	2.49004	
RootPopulationSizeScaler0	4801	5321	1	0.0263158	0.447272	
LeafPopulationSizeScaler0	5974	4216	1	0.0263158	2.03832	
RootPopulationSizeScaler1	4990	5174	1	0.0263158	0.446571	
LeafPopulationSizeScaler1	5969	4171	1	0.0263158	2.35946	
RootPopulationSizeScaler2	4936	5202	1	0.0263158	0.438871	
LeafPopulationSizeScaler2	5762	4381	1	0.0263158	1.84477	
RootPopulationSizeScaler3	5014	5178	1	0.0263158	0.441963	
LeafPopulationSizeScaler3	6337	3778	1	0.0263158	1.87954	
RootPopulationSizeScaler4	5000	5183	1	0.0263158	0.439823	
LeafPopulationSizeScaler4	5857	4259	1	0.0263158	2.09817	
RootPopulationSizeScaler5	4841	5304	1	0.0263158	0.463127	
LeafPopulationSizeScaler5	6261	3883	1	0.0263158	2.41059	
generation 40000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	10598	0	10	0.263158	none	
ConcentrationScaler	1491	1676	3	0.0789474	2.72239	
