generation	ln_likelihood	ln_prior	number_of_events	concentration	root_height_index_PopulationA	ln_likelihood_PopulationA	ln_prior_PopulationA	root_height_PopulationA	mutation_rate_PopulationA	freq_1_PopulationA	pop_size_PopulationA	pop_size_PopulationB	pop_size_root_PopulationA	root_height_index_PopulationC	ln_likelihood_PopulationC	ln_prior_PopulationC	root_height_PopulationC	mutation_rate_PopulationC	freq_1_PopulationC	pop_size_PopulationC	pop_size_PopulationD	pop_size_root_PopulationC	root_height_index_PopulationE	ln_likelihood_PopulationE	ln_prior_PopulationE	root_height_PopulationE	mutation_rate_PopulationE	freq_1_PopulationE	pop_size_PopulationE	pop_size_PopulationF	pop_size_root_PopulationE	root_height_index_PopulationG	ln_likelihood_PopulationG	ln_prior_PopulationG	root_height_PopulationG	mutation_rate_PopulationG	freq_1_PopulationG	pop_size_PopulationG	pop_size_PopulationH	pop_size_root_PopulationG	root_height_index_PopulationI	ln_likelihood_PopulationI	ln_prior_PopulationI	root_height_PopulationI	mutation_rate_PopulationI	freq_1_PopulationI	pop_size_PopulationI	pop_size_PopulationJ	pop_size_root_PopulationI	root_height_index_PopulationK	ln_likelihood_PopulationK	ln_prior_PopulationK	root_height_PopulationK	mutation_rate_PopulationK	freq_1_PopulationK	pop_size_PopulationK	pop_size_PopulationL	pop_size_root_PopulationK
0	-4662.0315007081881	90.0927861692064766	6	12.6997128438846349	0	-759.915896736215359	13.0357531308236947	0.00564102793763740073	1	0.5	0.000550497422153299457	0.000550497422153299457	0.000451970175195500466	1	-809.728416850062558	13.2897713806406923	0.0289491976495336242	1	0.5	0.000285619874832918378	0.000285619874832918378	0.000227100690055370854	2	-762.79555571409071	9.9196738380950471	0.00687161434931466471	1	0.5	0.000420514033011537764	0.000420514033011537764	0.000265676526265100897	3	-756.938450687090949	12.915790845804997	0.00246383897164137965	1	0.5	0.000879347889930291509	0.000879347889930291509	0.00093914985207277184	4	-793.493838927021898	9.95102488113845851	0.0133027032976617225	1	0.5	0.00192149951286303623	0.00192149951286303623	0.00230383560328423827	5	-779.159341793706517	13.9835854489678582	0.00148063815921256571	1	0.5	0.000404196388134660104	0.000404196388134660104	0.00037546046197492049
100	-4580.91669877972163	81.7748557390205804	3	4.6688526000254118	0	-749.80165158467571	13.8143147268283322	0.000509059064249214638	1	0.5	0.0004512332073553879	0.000360602130568029927	0.000360113898510575363	0	-759.824791004397412	11.4896677416287396	0.000509059064249214638	1	0.5	0.000210738558714855306	0.000231459691512776316	0.000300469881939734282	1	-761.609783104360304	14.1754241742256522	0.00587895726224904602	1	0.5	0.000339467966799896848	0.000318960474147372375	0.000312012281504904206	2	-756.026613142999508	13.2306443583833939	0.00212105571652662596	1	0.5	0.000979050156550968775	0.00051745304697668477	0.000788827332905212919	1	-784.821061425695461	12.0632078628807591	0.00587895726224904602	1	0.5	0.00107996051546965376	0.00171270076071826371	0.00138827169634330155	1	-768.832798517593687	12.6133197833553172	0.00587895726224904602	1	0.5	0.000434317189371302367	0.00065174609346210137	0.000656606586247479172
200	-4569.25271671945848	93.1539913759509801	5	13.4414765707183719	0	-750.16770384888423	14.0065677245731735	0.000243882693719028572	1	0.5	0.000372146912411156893	0.000467000836699160552	0.000401002772423293371	1	-761.827141441518052	13.2709386961423128	0.00139774928244882561	1	0.5	0.000524944360485236883	0.000907434057172581813	0.000759685249408067944	2	-762.881062633708098	14.2412243585781084	0.00260251931273843863	1	0.5	0.000276514436985827625	0.000327417291016709306	0.000288468442370317627	2	-752.592221812779258	13.8307171888721605	0.00260251931273843863	1	0.5	0.00040442614551969221	0.000294795376995157516	0.000304320067921541343	3	-776.461906325486552	9.59431328637302272	0.00660262127928590726	1	0.5	0.000759156434741385991	0.000534952208179852802	0.000924816250182793932	4	-765.322680657081946	14.3461796546600269	0.00595603261980908339	1	0.5	0.000193496921568273006	0.000282358646447722307	0.000223995514796487989
300	-4560.25710758655259	93.1054473340275592	4	2.95797332163685134	0	-750.520370405468839	13.4926908980736613	0.000176144596870513774	1	0.5	0.000617394058705171534	0.000731109066578696193	0.000679724628137301002	1	-757.63416287690427	13.8151774035581596	0.00116493751577691749	1	0.5	0.000836390735300527829	0.000117078533453343639	0.000439101888410604912	2	-760.642687928010901	13.3998195311081361	0.00597543762094521202	1	0.5	0.000381144156826652178	0.000110710030693900725	0.000292176358583669596	3	-752.570484934366277	13.6160765440745664	0.0018557031109836886	1	0.5	0.000298883518490402256	0.000262146594815274828	0.000323426570392937231	2	-773.921071854383172	13.846404201249543	0.00597543762094521202	1	0.5	8.36985539235663822e-05	0.000370744227656160199	0.00025806463853465751	2	-764.968329587418566	14.4437994559097298	0.00597543762094521202	1	0.5	0.000172108801379315662	0.000243704269696953839	0.000205276755004531853
400	-4556.64872080695386	98.153112721704673	5	10.1611967321684826	0	-750.480150731189497	13.6378473696856926	0.000840625673206846181	1	0.5	0.000559412454820330612	0.00054269918616097184	0.000502963008095681395	0	-757.547801290153416	13.3061685149295883	0.000840625673206846181	1	0.5	0.00131385864740012482	1.44743606813705302e-05	0.000715484951153265371	1	-760.124939113047049	14.6582768808178887	0.00631845647340286039	1	0.5	0.000151457852628616904	5.05321824871313665e-05	9.84405376831193004e-05	2	-752.164144349991261	14.2748479410324869	0.00243275832582169095	1	0.5	0.000299247283929398157	0.000153126076361389662	0.000205685199522843932	3	-772.87096232014153	13.5976396417850331	0.00741796919374404593	1	0.5	4.38181727884850305e-05	7.11566547438039409e-05	4.50044420143833992e-05	4	-763.460723002430541	14.6510700868981587	0.00549616972258238495	1	0.5	0.000113206830786064035	1.43479584947494836e-05	5.89477242651925755e-05
500	-4560.61042398865902	99.8161565803226551	5	5.31636431486934047	0	-749.302452703359904	13.8321245626315008	0.000340501184089655898	1	0.5	0.000571604939217933649	0.000260540615320140132	0.000445387436965740497	0	-758.231225531938094	14.059953265402573	0.000340501184089655898	1	0.5	0.000537452064300893606	0.00010025054912628265	0.000338686348609137423	1	-761.177411230133089	14.2335757510794227	0.00543746222449399599	1	0.5	0.000384485723479244018	0.000242134178545076777	0.000308789005953932023	2	-752.512141189522481	14.405300987696501	0.00390024329205894719	1	0.5	0.000282388290578156325	0.000173184264060866246	0.000222756417224959422	3	-772.061151981410831	14.6012669374622774	0.00761949109203192629	1	0.5	0.000169060738972842781	2.98466822527830824e-05	0.00010240129691132552	4	-767.326041352294851	14.015435394248918	0.00471373610581230298	1	0.5	0.000631432405284777223	5.75829536992038705e-05	0.000311345274606515676
600	-4565.5857880661415	92.6962945576365485	4	2.74092869294114738	0	-750.555329922059059	11.8977827188206078	0.000691740987498825808	1	0.5	0.00164071047551200594	0.000218675654541332799	0.00111840585589426762	1	-759.955938284910189	13.3183705414317526	0.0014313635337894347	1	0.5	0.000948863985125421219	0.000521905687305327368	0.000682352472070680617	2	-760.080787536190542	14.4659282472548281	0.00443611592369595915	1	0.5	0.00019743045972040241	0.000129067870641312886	0.000151669792295292688	3	-753.686161739755335	14.5277374289131451	0.00491782376651512393	1	0.5	6.1475674789719927e-05	0.000229243715641082622	0.000136599626824808256	3	-772.652741960419803	14.3541399532412797	0.00491782376651512393	1	0.5	0.000376430248857501798	6.2828296414800083e-05	0.000226740209202887179	3	-768.654828622805894	13.9117810423879167	0.00491782376651512393	1	0.5	0.000271768620644406288	0.000671809789241690223	0.000455383188429331776
700	-4559.52728966426548	94.5658730080297403	4	2.16383060846049302	0	-749.809641575778755	14.2543272706291688	0.000552711296653341216	1	0.5	0.000453613230737273697	0.00013707900917650658	0.000282113455469236831	0	-758.28773360828211	14.2709697170868282	0.000552711296653341216	1	0.5	0.000359626854537013459	0.000129583162866389411	0.000255419589844652615	1	-761.866869241521499	13.8772844633204784	0.00431568885535294107	1	0.5	0.000730761365003936274	0.000134099674540086349	0.000453985741444722687	2	-752.123370570928273	14.4503314407084602	0.00222251664212304648	1	0.5	0.000249502330393931802	0.000152887476150014018	0.000200814203307402033	1	-772.9803065693593	14.3080777493075182	0.00431568885535294107	1	0.5	0.00012100440809954947	0.000112135311253056636	0.000127791190076222892	3	-764.459368098394975	14.1749975424122034	0.00538276455926986995	1	0.5	0.000201466588624091254	9.01728251843936923e-05	0.000161808033782784668
800	-4562.06273121646973	87.1161975162212912	3	1.45298233956171341	0	-751.460797975317973	12.8553882574029057	0.00086513896016254181	1	0.5	0.00113023839902515969	0.000837786229665705593	0.000927059922596390061	0	-759.365847337847867	12.0384825127340829	0.00086513896016254181	1	0.5	0.00190715393757455594	0.000146998766991417987	0.00119545667195357364	1	-762.10160482192839	13.9499462532607446	0.00690179261453916643	1	0.5	0.000737794549744883029	5.72607199570966769e-05	0.00041699977999103664	2	-752.655084306539379	14.3810296363488774	0.0017507817731627648	1	0.5	0.00031218532468343203	0.000153417454548211609	0.000222668004061270177	1	-772.199194786125872	14.6619408833510825	0.00690179261453916643	1	0.5	8.24797054404869171e-05	5.11717925971543399e-05	6.21638827613079617e-05	1	-764.28020198871036	14.5471088255053047	0.00690179261453916643	1	0.5	0.000148861895209820657	0.000161639608979140704	0.000150367285502226941
900	-4560.55352566364581	92.2742403208121971	5	10.9598878725602304	0	-752.002220509086783	11.8107459795558434	0.00102723337135959456	1	0.5	0.0019520010182205417	0.000312408388551399193	0.00132031200363376617	0	-758.671659732885928	11.9623230978909749	0.00102723337135959456	1	0.5	0.00128951275596303548	0.000212317127272243017	0.0005738809822773927	1	-760.266158277020622	14.1412555254148717	0.00323997180331909995	1	0.5	0.000153910905814983698	6.72886406555665172e-05	9.36528569683316284e-05	2	-753.287671536359767	11.4198326080302603	0.00275872275692848421	1	0.5	0.000630496627012522661	0.000129255539804465743	0.000509377042558912	3	-772.240980400487274	14.5590590323240434	0.00766202824052732243	1	0.5	0.000113499133351108644	4.34011960956676241e-05	7.11168291560942089e-05	4	-764.084835207805554	14.4607557718904243	0.00723566459760534297	1	0.5	0.000131139444927741547	0.000138244088584955519	0.000141880670564569329
