Run	Prob_1_Event	Prob_2_Events	Prob_3_Events	Prob_4_Events	Prob_5_Events	Prob_6_Events	Mean_Divergence_PopA_PopB	Mean_Divergence_PopC_PopD	Mean_Divergence_PopE_PopF	Mean_Divergence_PopG_PopH	Mean_Divergence_PopI_PopJ	Mean_Divergence_PopK_PopL	Gene_Length	Population_Size	Mutation_Rate	Samples_Simulated_Per_Pop	True_Number_Events	True_Divergence_PopA_PopB	True_Divergence_PopC_PopD	True_Divergence_PopE_PopF	True_Divergence_PopG_PopH	True_Divergence_PopI_PopJ	True_Divergence_PopK_PopL
1	0.18981	0.324675	0.294705	0.141858	0.040959	0.007992	0.000474	0.000489	0.000479	0.001254	0.001169	0.001401	1000	10000	1.00E-08	10	6	10000	30000	50000	70000	90000	110000
2	0.565435	0.311688	0.097902	0.01998	0.003996	0.000999	0.000233	0.00032	0.000304	0.000449	0.000401	0.000316	1000	10000	1.00E-08	10	6	10000	30000	50000	70000	90000	110000
3	0.223776	0.330669	0.273726	0.125874	0.040959	0.004995	0.000685	0.000657	0.000948	0.001279	0.001496	0.001203	1000	10000	1.00E-08	10	6	10000	30000	50000	70000	90000	110000
4	0.190809	0.323676	0.261738	0.161838	0.053946	0.007992	0.000826	0.00086	0.001237	0.000987	0.002134	0.001579	1000	10000	1.00E-08	10	6	10000	30000	50000	70000	90000	110000
5	0.031968	0.351648	0.372627	0.187812	0.048951	0.006993	0.000471	0.000548	0.00049	0.001365	0.000711	0.002661	1000	10000	1.00E-08	10	6	10000	30000	50000	70000	90000	110000
6	0.163836	0.314685	0.308691	0.148851	0.052947	0.010989	0.000815	0.001841	0.001983	0.00094	0.000772	0.001106	1000	10000	1.00E-08	10	6	10000	30000	50000	70000	90000	110000
7	0.292707	0.397602	0.217782	0.06993	0.017982	0.003996	0.000151	0.000549	0.000978	0.00102	0.001347	0.001443	1000	10000	1.00E-08	10	6	10000	30000	50000	70000	90000	110000
8	0.608392	0.272727	0.087912	0.024975	0.004995	0.000999	0.000574	0.000609	0.000552	0.000913	0.000619	0.001348	1000	10000	1.00E-08	10	6	10000	30000	50000	70000	90000	110000
9	0.511489	0.328671	0.11988	0.028971	0.006993	0.003996	0.000498	0.000536	0.000488	0.000561	0.000582	0.000595	1000	10000	1.00E-08	10	6	10000	30000	50000	70000	90000	110000
10	0.582418	0.288711	0.0999	0.021978	0.004995	0.001998	0.000472	0.000778	0.000638	0.000475	0.000455	0.000488	1000	10000	1.00E-08	10	6	10000	30000	50000	70000	90000	110000
11	0.371628	0.376623	0.173826	0.064935	0.011988	0.000999	0.000602	0.000607	0.000662	0.000757	0.000588	0.000639	1000	10000	1.00E-08	10	6	10000	30000	50000	70000	90000	110000
12	0.413586	0.36963	0.172827	0.037962	0.004995	0.000999	0.000722	0.000792	0.000768	0.000812	0.00082	0.001416	1000	10000	1.00E-08	10	6	10000	30000	50000	70000	90000	110000
13	0.364635	0.333666	0.173826	0.091908	0.030969	0.004995	0.000364	0.000377	0.000369	0.000394	0.000579	0.000845	1000	10000	1.00E-08	10	6	10000	30000	50000	70000	90000	110000
14	0.028971	0.377622	0.405594	0.141858	0.041958	0.003996	0.001019	0.00107	0.001272	0.001059	0.001445	0.001419	1000	10000	1.00E-08	10	6	10000	30000	50000	70000	90000	110000
15	0.163836	0.395604	0.280719	0.124875	0.033966	0.000999	0.000332	0.000357	0.00035	0.001292	0.002659	0.000363	1000	10000	1.00E-08	10	6	10000	30000	50000	70000	90000	110000
16	0.051948	0.313686	0.351648	0.188811	0.078921	0.014985	0.000266	0.000365	0.00034	0.001029	0.001127	0.001044	1000	10000	1.00E-08	10	6	10000	30000	50000	70000	90000	110000
17	0.632368	0.262737	0.078921	0.021978	0.001998	0.001998	0.000686	0.000874	0.000731	0.001636	0.00304	0.001177	1000	10000	1.00E-08	10	6	10000	30000	50000	70000	90000	110000
18	0.251748	0.367632	0.234765	0.101898	0.036963	0.006993	0.000468	0.000468	0.000459	0.000524	0.000512	0.000565	1000	10000	1.00E-08	10	6	10000	30000	50000	70000	90000	110000
19	0.070929	0.415584	0.346653	0.128871	0.032967	0.004995	0.000816	0.00083	0.001	0.001491	0.001498	0.001145	1000	10000	1.00E-08	10	6	10000	30000	50000	70000	90000	110000
20	0.31968	0.372627	0.204795	0.080919	0.015984	0.005994	0.000144	0.000323	0.001368	0.000266	0.000766	0.000785	1000	10000	1.00E-08	10	6	10000	30000	50000	70000	90000	110000
21	0.276723	0.444555	0.205794	0.060939	0.008991	0.002997	0.000714	0.000804	0.00086	0.000834	0.000829	0.001594	1000	10000	1.00E-08	10	6	10000	30000	50000	70000	90000	110000
22	0.010989	0.272727	0.338661	0.254745	0.10989	0.012987	0.000351	0.000351	0.000347	0.00036	0.000527	0.001262	1000	10000	1.00E-08	10	6	10000	30000	50000	70000	90000	110000
23	0.493506	0.301698	0.146853	0.041958	0.012987	0.002997	0.000103	0.000606	0.001568	0.001037	0.001297	0.001493	1000	10000	1.00E-08	10	6	10000	30000	50000	70000	90000	110000
24	0.536464	0.315684	0.112887	0.026973	0.006993	0.000999	0.000664	0.000612	0.00076	0.000652	0.000866	0.000806	1000	10000	1.00E-08	10	6	10000	30000	50000	70000	90000	110000
25	0.04995	0.326673	0.333666	0.213786	0.05994	0.015984	0.000553	0.000571	0.000539	0.000657	0.000755	0.000604	1000	10000	1.00E-08	10	6	10000	30000	50000	70000	90000	110000
26	0.582418	0.287712	0.095904	0.027972	0.004995	0.000999	0.000458	0.000459	0.000467	0.000533	0.00049	0.000657	1000	10000	1.00E-08	10	6	10000	30000	50000	70000	90000	110000
27	0.014985	0.372627	0.306693	0.201798	0.096903	0.006993	0.000378	0.00018	0.000903	0.00096	0.001548	0.001262	1000	10000	1.00E-08	10	6	10000	30000	50000	70000	90000	110000
28	0.556444	0.308691	0.100899	0.025974	0.006993	0.000999	0.000479	0.000493	0.000481	0.000494	0.000554	0.000669	1000	10000	1.00E-08	10	6	10000	30000	50000	70000	90000	110000
