generation 10000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	2633	0	10	0.263158	none	
ConcentrationScaler	421	415	3	0.0789474	2.24269	
TimeSizeRateMixer	2223	2246	6	0.157895	0.333128	
TimeRootSizeMixer	2334	2098	6	0.157895	0.156609	
EventTimeScaler	9592	7479	1	0.0263158	1.6062	
RootPopulationSizeScaler0	1691	1714	1	0.0263158	0.437589	
LeafPopulationSizeScaler0	2147	1252	1	0.0263158	1.77818	
RootPopulationSizeScaler1	1706	1710	1	0.0263158	0.433253	
LeafPopulationSizeScaler1	2179	1211	1	0.0263158	1.82023	
RootPopulationSizeScaler2	1792	1589	1	0.0263158	0.415817	
LeafPopulationSizeScaler2	2501	900	1	0.0263158	1.58804	
RootPopulationSizeScaler3	1656	1743	1	0.0263158	0.463731	
LeafPopulationSizeScaler3	2358	1023	1	0.0263158	1.8705	
RootPopulationSizeScaler4	1745	1638	1	0.0263158	0.449125	
LeafPopulationSizeScaler4	2376	1058	1	0.0263158	2.39351	
RootPopulationSizeScaler5	1723	1672	1	0.0263158	0.431297	
LeafPopulationSizeScaler5	2615	785	1	0.0263158	1.82374	
generation 20000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	5346	0	10	0.263158	none	
ConcentrationScaler	784	855	3	0.0789474	2.25682	
TimeSizeRateMixer	4354	4640	6	0.157895	0.339301	
TimeRootSizeMixer	4832	4248	6	0.157895	0.168094	
EventTimeScaler	18678	16134	1	0.0263158	1.69596	
RootPopulationSizeScaler0	3302	3471	1	0.0263158	0.449433	
LeafPopulationSizeScaler0	3979	2798	1	0.0263158	1.92977	
RootPopulationSizeScaler1	3306	3499	1	0.0263158	0.445376	
LeafPopulationSizeScaler1	4076	2716	1	0.0263158	1.98858	
RootPopulationSizeScaler2	3478	3282	1	0.0263158	0.432298	
LeafPopulationSizeScaler2	4712	2041	1	0.0263158	1.85209	
RootPopulationSizeScaler3	3173	3605	1	0.0263158	0.467551	
LeafPopulationSizeScaler3	4436	2334	1	0.0263158	2.10654	
RootPopulationSizeScaler4	3322	3454	1	0.0263158	0.458625	
LeafPopulationSizeScaler4	4382	2441	1	0.0263158	2.6707	
RootPopulationSizeScaler5	3344	3426	1	0.0263158	0.44625	
LeafPopulationSizeScaler5	4887	1877	1	0.0263158	2.13927	
generation 30000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	8031	0	10	0.263158	none	
ConcentrationScaler	1154	1280	3	0.0789474	2.28035	
TimeSizeRateMixer	6340	6962	6	0.157895	0.34225	
TimeRootSizeMixer	7240	6577	6	0.157895	0.172646	
EventTimeScaler	27614	24823	1	0.0263158	1.74147	
RootPopulationSizeScaler0	4900	5280	1	0.0263158	0.454906	
LeafPopulationSizeScaler0	5762	4437	1	0.0263158	2.00193	
RootPopulationSizeScaler1	4911	5284	1	0.0263158	0.452588	
LeafPopulationSizeScaler1	5898	4295	1	0.0263158	2.07566	
RootPopulationSizeScaler2	5111	5045	1	0.0263158	0.43868	
LeafPopulationSizeScaler2	6779	3357	1	0.0263158	1.98974	
RootPopulationSizeScaler3	4706	5468	1	0.0263158	0.470913	
LeafPopulationSizeScaler3	6409	3766	1	0.0263158	2.2363	
RootPopulationSizeScaler4	4903	5255	1	0.0263158	0.464816	
LeafPopulationSizeScaler4	6271	3944	1	0.0263158	2.8122	
RootPopulationSizeScaler5	4967	5176	1	0.0263158	0.452652	
LeafPopulationSizeScaler5	7053	3120	1	0.0263158	2.32255	
generation 40000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	10693	0	10	0.263158	none	
ConcentrationScaler	1525	1721	3	0.0789474	2.28599	
TimeSizeRateMixer	8381	9382	6	0.157895	0.34429	
TimeRootSizeMixer	9410	8854	6	0.157895	0.175262	
EventTimeScaler	36077	33609	1	0.0263158	1.76802	
RootPopulationSizeScaler0	6441	7173	1	0.0263158	0.456727	
LeafPopulationSizeScaler0	7546	6063	1	0.0263158	2.04984	
RootPopulationSizeScaler1	6513	7077	1	0.0263158	0.456744	
LeafPopulationSizeScaler1	7720	5898	1	0.0263158	2.13167	
RootPopulationSizeScaler2	6776	6794	1	0.0263158	0.444081	
LeafPopulationSizeScaler2	8813	4699	1	0.0263158	2.08843	
RootPopulationSizeScaler3	6286	7299	1	0.0263158	0.474636	
LeafPopulationSizeScaler3	8309	5293	1	0.0263158	2.31727	
RootPopulationSizeScaler4	6430	7137	1	0.0263158	0.466428	
LeafPopulationSizeScaler4	8170	5460	1	0.0263158	2.91559	
RootPopulationSizeScaler5	6514	7037	1	0.0263158	0.455491	
LeafPopulationSizeScaler5	9210	4372	1	0.0263158	2.45255	
generation 50000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	13317	0	10	0.263158	none	
ConcentrationScaler	1916	2122	3	0.0789474	2.30353	
TimeSizeRateMixer	10374	11749	6	0.157895	0.345915	
TimeRootSizeMixer	11572	11004	6	0.157895	0.177668	
EventTimeScaler	44111	42206	1	0.0263158	1.78478	
RootPopulationSizeScaler0	8049	8990	1	0.0263158	0.458893	
LeafPopulationSizeScaler0	9268	7740	1	0.0263158	2.08413	
RootPopulationSizeScaler1	8084	8911	1	0.0263158	0.458746	
LeafPopulationSizeScaler1	9516	7503	1	0.0263158	2.17325	
RootPopulationSizeScaler2	8325	8647	1	0.0263158	0.446223	
LeafPopulationSizeScaler2	10872	6046	1	0.0263158	2.16463	
RootPopulationSizeScaler3	7834	9144	1	0.0263158	0.475636	
LeafPopulationSizeScaler3	10135	6870	1	0.0263158	2.37315	
RootPopulationSizeScaler4	8007	8981	1	0.0263158	0.468897	
LeafPopulationSizeScaler4	10016	7017	1	0.0263158	2.98454	
RootPopulationSizeScaler5	8068	8877	1	0.0263158	0.45716	
LeafPopulationSizeScaler5	11267	5696	1	0.0263158	2.54362	
generation 60000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	15921	0	10	0.263158	none	
ConcentrationScaler	2272	2602	3	0.0789474	2.30364	
TimeSizeRateMixer	12355	14180	6	0.157895	0.346476	
TimeRootSizeMixer	13740	13321	6	0.157895	0.179127	
EventTimeScaler	52346	50885	1	0.0263158	1.80012	
RootPopulationSizeScaler0	9568	10922	1	0.0263158	0.459839	
LeafPopulationSizeScaler0	11010	9457	1	0.0263158	2.11134	
RootPopulationSizeScaler1	9674	10729	1	0.0263158	0.460724	
LeafPopulationSizeScaler1	11340	9127	1	0.0263158	2.20609	
RootPopulationSizeScaler2	9968	10436	1	0.0263158	0.449632	
LeafPopulationSizeScaler2	12863	7492	1	0.0263158	2.22346	
RootPopulationSizeScaler3	9367	11056	1	0.0263158	0.475942	
LeafPopulationSizeScaler3	12034	8420	1	0.0263158	2.4226	
RootPopulationSizeScaler4	9573	10836	1	0.0263158	0.470782	
