model	post_prob	cumulative_post_prob	prior_prob	bf
0,0,0,0,0,0	0.424444	0.424444	0.026123	27.4925
0,0,0,0,0,1	0.103333	0.527778	0.007338	15.5895
0,0,1,1,1,1	0.0255556	0.553333	0.001892	13.8352
0,1,0,0,0,0	0.0222222	0.575556	0.007535	2.9935
0,1,1,1,1,1	0.0211111	0.596667	0.007205	2.97169
0,0,0,1,0,0	0.0211111	0.617778	0.007367	2.90587
0,0,0,0,1,0	0.02	0.637778	0.007351	2.75583
0,0,1,0,0,0	0.0177778	0.655556	0.007423	2.42021
0,0,0,1,0,1	0.0144444	0.67	0.001853	7.89476
0,0,0,0,1,1	0.0133333	0.683333	0.00186	7.25182
0,0,0,0,1,2	0.0133333	0.696667	0.004699	2.86231
0,0,1,0,0,1	0.0111111	0.707778	0.001874	5.98447
0,1,1,1,1,2	0.00888889	0.716667	0.004685	1.90536
0,0,1,0,1,1	0.00888889	0.725556	0.001176	7.6174
0,0,1,0,0,2	0.00888889	0.734444	0.004692	1.9025
0,1,0,0,1,0	0.00777778	0.742222	0.001848	4.23391
0,0,0,1,1,0	0.00777778	0.75	0.001841	4.25004
0,0,0,1,0,2	0.00777778	0.757778	0.00478	1.63207
0,1,0,1,0,0	0.00777778	0.765556	0.00176	4.44599
0,0,1,1,0,1	0.00666667	0.772222	0.001224	5.47647
0,0,1,0,1,2	0.00666667	0.778889	0.001561	4.29272
0,1,0,0,0,1	0.00666667	0.785556	0.001808	3.70535
0,1,0,0,0,2	0.00555556	0.791111	0.00472	1.17801
0,1,0,1,0,1	0.00555556	0.796667	0.001258	4.43527
0,1,1,1,2,3	0.00555556	0.802222	0.006474	0.857341
0,1,1,1,0,0	0.00555556	0.807778	0.001241	4.4961
0,0,0,1,2,2	0.00555556	0.813333	0.001644	3.39258
0,1,1,1,0,1	0.00444444	0.817778	0.001829	2.43637
0,1,1,1,1,0	0.00444444	0.822222	0.001871	2.38158
0,0,1,1,0,0	0.00444444	0.826667	0.001879	2.37142
0,1,0,1,0,2	0.00444444	0.831111	0.00156	2.85726
0,1,0,1,1,0	0.00444444	0.835556	0.00125	3.56696
0,1,0,1,1,2	0.00444444	0.84	0.001603	2.78049
0,1,1,2,1,3	0.00444444	0.844444	0.006506	0.681716
0,1,1,2,1,1	0.00444444	0.848889	0.004656	0.95436
0,1,0,2,0,3	0.00333333	0.852222	0.006415	0.518009
0,1,2,0,2,3	0.00333333	0.855556	0.00327	1.01943
0,1,1,2,1,0	0.00333333	0.858889	0.001531	2.18116
0,1,1,1,2,1	0.00333333	0.862222	0.004693	0.709309
0,1,1,0,0,1	0.00333333	0.865556	0.00119	2.80714
0,1,2,3,2,2	0.00333333	0.868889	0.006399	0.519312
0,1,1,0,1,0	0.00333333	0.872222	0.001237	2.70036
0,0,0,1,1,2	0.00333333	0.875556	0.001608	2.07656
0,0,1,0,2,1	0.00333333	0.878889	0.001535	2.17547
0,0,1,0,2,2	0.00333333	0.882222	0.001509	2.21301
0,0,1,0,2,3	0.00222222	0.884444	0.0065	0.340415
0,0,1,0,2,0	0.00222222	0.886667	0.004773	0.464392
0,1,0,0,1,1	0.00222222	0.888889	0.001212	1.83537
0,1,0,0,1,2	0.00222222	0.891111	0.001595	1.39412
0,1,2,0,0,0	0.00222222	0.893333	0.004691	0.472548
0,1,1,2,3,4	0.00222222	0.895556	0.018931	0.11542
0,1,1,2,3,3	0.00222222	0.897778	0.003225	0.688369
0,1,0,0,2,3	0.00222222	0.9	0.006376	0.347078
0,0,1,0,1,0	0.00222222	0.902222	0.001873	1.18687
0,0,0,1,2,3	0.00222222	0.904444	0.006479	0.341525
0,0,1,2,3,4	0.00222222	0.906667	0.019043	0.114728
0,1,2,0,0,3	0.00222222	0.908889	0.006439	0.343661
0,1,0,1,1,1	0.00222222	0.911111	0.001866	1.19133
0,0,1,2,3,1	0.00222222	0.913333	0.003315	0.669619
0,0,1,2,2,1	0.00222222	0.915556	0.000762	2.92057
0,0,1,1,0,2	0.00222222	0.917778	0.001515	1.46785
0,1,0,2,0,0	0.00222222	0.92	0.004741	0.467541
0,1,2,0,2,2	0.00222222	0.922222	0.001559	1.42636
0,0,1,2,0,3	0.00222222	0.924444	0.006385	0.346586
0,1,1,2,0,3	0.00222222	0.926667	0.003305	0.671652
0,1,2,2,2,2	0.00222222	0.928889	0.004777	0.464001
0,1,2,1,0,1	0.00222222	0.931111	0.001549	1.43559
0,1,0,2,3,4	0.00222222	0.933333	0.018938	0.115376
0,1,1,1,2,0	0.00222222	0.935556	0.001619	1.37342
