parameter	burnin	psrf	ess_concat	ess_0
ln_likelihood	1	-	746.4078712821355	746.4078712821355
concentration	1	-	1000.0	1000.0
ln_likelihood_PopulationA	1	-	1000.0	1000.0
root_height_PopulationA	1	-	893.2638113037343	893.2638113037343
pop_size_PopulationA	1	-	855.8140498379796	855.8140498379796
pop_size_PopulationB	1	-	882.7252545578104	882.7252545578104
pop_size_root_PopulationA	1	-	721.8907506158216	721.8907506158216
ln_likelihood_PopulationC	1	-	615.2508090206652	615.2508090206652
root_height_PopulationC	1	-	561.9929707089448	561.9929707089448
pop_size_PopulationC	1	-	799.8733820538886	799.8733820538886
pop_size_PopulationD	1	-	987.1743653666467	987.1743653666467
pop_size_root_PopulationC	1	-	808.2899555386247	808.2899555386247
ln_likelihood_PopulationE	1	-	1000.0	1000.0
root_height_PopulationE	1	-	799.7179381568053	799.7179381568053
pop_size_PopulationE	1	-	1000.0	1000.0
pop_size_PopulationF	1	-	752.2282142648265	752.2282142648265
pop_size_root_PopulationE	1	-	807.1375140266008	807.1375140266008
ln_likelihood_PopulationG	1	-	1000.0	1000.0
root_height_PopulationG	1	-	1000.0	1000.0
pop_size_PopulationG	1	-	900.0298754586246	900.0298754586246
pop_size_PopulationH	1	-	891.2294176280479	891.2294176280479
pop_size_root_PopulationG	1	-	832.7738387489255	832.7738387489255
ln_likelihood_PopulationI	1	-	916.7193476483124	916.7193476483124
root_height_PopulationI	1	-	1000.0	1000.0
pop_size_PopulationI	1	-	973.5726431360374	973.5726431360374
pop_size_PopulationJ	1	-	665.1994651418022	665.1994651418022
pop_size_root_PopulationI	1	-	730.8719242934817	730.8719242934817
ln_likelihood_PopulationK	1	-	833.7762460802268	833.7762460802268
root_height_PopulationK	1	-	1000.0	1000.0
pop_size_PopulationK	1	-	950.1477801627326	950.1477801627326
pop_size_PopulationL	1	-	1000.0	1000.0
pop_size_root_PopulationK	1	-	1000.0	1000.0
ln_likelihood	100	-	677.5899772333596	677.5899772333596
concentration	100	-	826.8312097827597	826.8312097827597
ln_likelihood_PopulationA	100	-	901.0	901.0
root_height_PopulationA	100	-	901.0	901.0
pop_size_PopulationA	100	-	896.3205636372078	896.3205636372078
pop_size_PopulationB	100	-	901.0	901.0
pop_size_root_PopulationA	100	-	901.0	901.0
ln_likelihood_PopulationC	100	-	575.5679077667638	575.5679077667638
root_height_PopulationC	100	-	624.5128949344851	624.5128949344851
pop_size_PopulationC	100	-	616.9361599808003	616.9361599808003
pop_size_PopulationD	100	-	901.0	901.0
