generation 10000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	2677	0	10	0.263158	none	
ConcentrationScaler	389	442	3	0.0789474	1.8704	
TimeSizeRateMixer	3334	3494	6	0.157895	0.362069	
TimeRootSizeMixer	3310	2960	6	0.157895	0.357095	
EventTimeScaler	13152	12342	1	0.0263158	0.960346	
RootPopulationSizeScaler0	1783	1611	1	0.0263158	0.406276	
LeafPopulationSizeScaler0	2195	1181	1	0.0263158	1.52682	
RootPopulationSizeScaler1	1811	1559	1	0.0263158	0.408423	
LeafPopulationSizeScaler1	2406	960	1	0.0263158	1.56803	
RootPopulationSizeScaler2	1694	1681	1	0.0263158	0.452044	
LeafPopulationSizeScaler2	2280	1107	1	0.0263158	1.6648	
RootPopulationSizeScaler3	1629	1749	1	0.0263158	0.450013	
LeafPopulationSizeScaler3	2061	1307	1	0.0263158	1.4789	
RootPopulationSizeScaler4	1712	1659	1	0.0263158	0.448562	
LeafPopulationSizeScaler4	2180	1177	1	0.0263158	1.79134	
RootPopulationSizeScaler5	1742	1596	1	0.0263158	0.434904	
LeafPopulationSizeScaler5	2067	1286	1	0.0263158	1.3026	
generation 20000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	5288	0	10	0.263158	none	
ConcentrationScaler	768	871	3	0.0789474	1.91691	
TimeSizeRateMixer	6346	7109	6	0.157895	0.366266	
TimeRootSizeMixer	6467	6417	6	0.157895	0.366929	
EventTimeScaler	25255	25324	1	0.0263158	0.992361	
RootPopulationSizeScaler0	3503	3334	1	0.0263158	0.424428	
LeafPopulationSizeScaler0	4212	2623	1	0.0263158	1.69649	
RootPopulationSizeScaler1	3524	3282	1	0.0263158	0.425901	
LeafPopulationSizeScaler1	4563	2260	1	0.0263158	1.7936	
RootPopulationSizeScaler2	3248	3564	1	0.0263158	0.458186	
LeafPopulationSizeScaler2	4347	2490	1	0.0263158	1.86332	
RootPopulationSizeScaler3	3259	3577	1	0.0263158	0.45692	
LeafPopulationSizeScaler3	3944	2871	1	0.0263158	1.5931	
RootPopulationSizeScaler4	3367	3483	1	0.0263158	0.460454	
LeafPopulationSizeScaler4	4152	2679	1	0.0263158	1.95202	
RootPopulationSizeScaler5	3428	3382	1	0.0263158	0.447788	
LeafPopulationSizeScaler5	3900	2920	1	0.0263158	1.39106	
generation 30000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	7909	0	10	0.263158	none	
ConcentrationScaler	1130	1265	3	0.0789474	1.93739	
TimeSizeRateMixer	9484	10709	6	0.157895	0.370085	
TimeRootSizeMixer	9443	9745	6	0.157895	0.372171	
EventTimeScaler	37259	38406	1	0.0263158	1.00751	
RootPopulationSizeScaler0	5215	5056	1	0.0263158	0.433623	
LeafPopulationSizeScaler0	6130	4097	1	0.0263158	1.78304	
RootPopulationSizeScaler1	5204	4997	1	0.0263158	0.435045	
LeafPopulationSizeScaler1	6601	3641	1	0.0263158	1.91011	
RootPopulationSizeScaler2	4789	5429	1	0.0263158	0.461288	
LeafPopulationSizeScaler2	6310	3941	1	0.0263158	1.97087	
RootPopulationSizeScaler3	4852	5388	1	0.0263158	0.462104	
LeafPopulationSizeScaler3	5726	4505	1	0.0263158	1.64901	
RootPopulationSizeScaler4	4959	5302	1	0.0263158	0.465606	
LeafPopulationSizeScaler4	6010	4239	1	0.0263158	2.03804	
RootPopulationSizeScaler5	5058	5182	1	0.0263158	0.452404	
LeafPopulationSizeScaler5	5685	4539	1	0.0263158	1.43998	
generation 40000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	10554	0	10	0.263158	none	
ConcentrationScaler	1476	1682	3	0.0789474	1.94906	
TimeSizeRateMixer	12368	14358	6	0.157895	0.371297	
TimeRootSizeMixer	12719	13417	6	0.157895	0.375621	
EventTimeScaler	49697	51809	1	0.0263158	1.01981	
RootPopulationSizeScaler0	6870	6796	1	0.0263158	0.438813	
LeafPopulationSizeScaler0	8034	5628	1	0.0263158	1.83995	
RootPopulationSizeScaler1	6772	6810	1	0.0263158	0.438931	
LeafPopulationSizeScaler1	8595	5034	1	0.0263158	1.98932	
RootPopulationSizeScaler2	6394	7250	1	0.0263158	0.46438	
LeafPopulationSizeScaler2	8167	5465	1	0.0263158	2.03513	
RootPopulationSizeScaler3	6494	7143	1	0.0263158	0.467388	
LeafPopulationSizeScaler3	7534	6114	1	0.0263158	1.69048	
RootPopulationSizeScaler4	6526	7157	1	0.0263158	0.468061	
LeafPopulationSizeScaler4	7781	5877	1	0.0263158	2.08724	
RootPopulationSizeScaler5	6680	6948	1	0.0263158	0.457434	
LeafPopulationSizeScaler5	7441	6180	1	0.0263158	1.4756	
generation 50000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
