generation	ln_likelihood	ln_prior	number_of_events	concentration	root_height_index_PopulationA	ln_likelihood_PopulationA	ln_prior_PopulationA	root_height_PopulationA	mutation_rate_PopulationA	freq_1_PopulationA	pop_size_PopulationA	pop_size_PopulationB	pop_size_root_PopulationA	root_height_index_PopulationC	ln_likelihood_PopulationC	ln_prior_PopulationC	root_height_PopulationC	mutation_rate_PopulationC	freq_1_PopulationC	pop_size_PopulationC	pop_size_PopulationD	pop_size_root_PopulationC	root_height_index_PopulationE	ln_likelihood_PopulationE	ln_prior_PopulationE	root_height_PopulationE	mutation_rate_PopulationE	freq_1_PopulationE	pop_size_PopulationE	pop_size_PopulationF	pop_size_root_PopulationE	root_height_index_PopulationG	ln_likelihood_PopulationG	ln_prior_PopulationG	root_height_PopulationG	mutation_rate_PopulationG	freq_1_PopulationG	pop_size_PopulationG	pop_size_PopulationH	pop_size_root_PopulationG	root_height_index_PopulationI	ln_likelihood_PopulationI	ln_prior_PopulationI	root_height_PopulationI	mutation_rate_PopulationI	freq_1_PopulationI	pop_size_PopulationI	pop_size_PopulationJ	pop_size_root_PopulationI	root_height_index_PopulationK	ln_likelihood_PopulationK	ln_prior_PopulationK	root_height_PopulationK	mutation_rate_PopulationK	freq_1_PopulationK	pop_size_PopulationK	pop_size_PopulationL	pop_size_root_PopulationK
0	-4586.76434317102394	75.6741312991584891	6	3.20715176923424705	0	-794.601759172604261	12.6101124576371433	0.0233582652203911459	1	0.5	0.00112075941049692468	0.00112075941049692468	0.00107702376345591858	1	-740.018104158753886	11.7043989298456879	0.00888910021680034031	1	0.5	0.00150333363875118577	0.00150333363875118577	0.00159153723306456447	2	-749.656832629828614	13.7354373980098003	0.00124728414754597824	1	0.5	0.000396333213014391189	0.000396333213014391189	0.000344874412262171238	3	-779.609430438315826	4.04852968741017882	0.00462970242100710361	1	0.5	0.00526344088446628871	0.00526344088446628871	0.00573528332676351456	4	-774.917881568249641	3.26890824402810587	0.000939486036592022283	1	0.5	0.00542819549006564629	0.00542819549006564629	0.00445027415727466263	5	-747.960335203271825	14.1062998435454041	0.0217961102141675592	1	0.5	0.000285305483394170524	0.000285305483394170524	0.00025605916982615216
100	-4451.96816504540857	66.2186011209164462	2	1.54099353633358782	0	-748.757249757546219	13.440871072581519	0.00104926581301262355	1	0.5	0.000548447504397535975	0.000854432290632364008	0.000705803963684780377	0	-722.806025012720966	10.673733852381762	0.00104926581301262355	1	0.5	0.000679991455591358275	0.00116910135933839419	0.00121549439607081711	1	-748.937278387230208	13.0731190693800272	0.00196588124968755974	1	0.5	0.000219683052329414054	0.00039951814040575307	0.000241876614702856894	0	-752.732581926217563	7.2600394485504598	0.00104926581301262355	1	0.5	0.00312904613348015132	0.00349578915969818308	0.0026405994600283071	0	-762.764782869201099	6.2986099380793128	0.00104926581301262355	1	0.5	0.00303501275113964497	0.00477933353047530537	0.0031983585765601643	1	-715.970247092492855	14.0388532946259019	0.00196588124968755974	1	0.5	0.000237213569875174021	0.000179786448447536134	0.000179168748651626101
200	-4423.4057957641653	71.669152543457983	2	4.88573982152927133	0	-748.781148078937008	13.5662547049253046	0.000858714494030241309	1	0.5	0.000740399870537944015	0.000554203587053940907	0.000635795719535417773	0	-718.189284316180533	13.7661103482970972	0.000858714494030241309	1	0.5	0.000482021465360791201	0.000545337865591609796	0.000477440285174492184	0	-748.45669244000851	13.3475886503085022	0.000858714494030241309	1	0.5	0.000168495394947882536	0.000433444562297700053	0.00035555522946644554	0	-743.517698308716717	10.4562326180637015	0.000858714494030241309	1	0.5	0.00198169336883068006	0.00197350982466627713	0.00168724238358379346	1	-747.894588006477761	10.4239738566911768	0.00175127412512777005	1	0.5	0.00172200706531486572	0.00250464238352087008	0.00188503193613724575	0	-716.566384613844662	8.91222786928708288	0.000858714494030241309	1	0.5	0.000162842420526889607	0.00021624461434771697	0.000110666914498802992
300	-4401.60839489768387	79.0920871240660688	1	1.46942223748683465	0	-748.64243744591613	12.4241405912685234	0.00121348675157924237	1	0.5	0.000558978445109177395	0.000547737179214671929	0.000425551943784713391	0	-716.896107680346518	14.0323441762615779	0.00121348675157924237	1	0.5	0.000190420499980177576	0.000380882179181641939	0.000252219931987338302	0	-748.485372996438741	13.5214850494600469	0.00121348675157924237	1	0.5	0.000156184454209379276	0.000325767806592687796	0.000283135881958010373	0	-734.955478857138132	12.0180630240879118	0.00121348675157924237	1	0.5	0.000717944828246835031	0.00127884008476479181	0.000807679923846643232	0	-738.050568722637195	12.7746063450911471	0.00121348675157924237	1	0.5	0.000789138721795188823	0.00110081622276493227	0.0010114912870123722	0	-714.578429195206468	14.6864322223266832	0.00121348675157924237	1	0.5	8.9638105905739024e-05	7.10507156833976828e-05	8.06253700559929234e-05
400	-4394.76444834790345	80.3623561906325534	1	0.256888559334587374	0	-747.584854147105375	13.9465961937499863	0.000783797804025098701	1	0.5	0.000236910540887457985	0.00037422109233345999	0.000267362409787156295	0	-716.810771936199899	12.9031695102137718	0.000783797804025098701	1	0.5	0.000504501259254516049	0.0002928171270804865	0.000311710483370851357	0	-748.114287892447805	13.3897143814331905	0.000783797804025098701	1	0.5	0.000104450404539960725	0.000487305874274188253	0.000348422260062309557	0	-732.02646546347853	12.2564363481148497	0.000783797804025098701	1	0.5	0.00044264038351430376	0.000767943474476382002	0.000462712734556800366	0	-735.640999504478032	12.9668934327173417	0.000783797804025098701	1	0.5	0.000864293527697461601	0.000495801503491115694	0.000769736926216622961	0	-714.587069404194494	14.7124987308792328	0.000783797804025098701	1	0.5	6.9539972192215552e-05	8.56292605480067871e-06	4.0358452650665108e-05
500	-4398.28137972032073	85.4014676923785174	3	1.05368304316975525	0	-749.292927632359238	14.2776485977899643	0.00131682397989574002	1	0.5	9.28158215284626199e-05	0.000277265103297838174	0.000164943264132966932	0	-718.1273229819069	12.4142834879922361	0.00131682397989574002	1	0.5	0.000390263457441139127	0.000496639414959478671	0.000553646199451755762	1	-748.854548867746757	14.0908947241395843	0.00295326889868242079	1	0.5	7.10869924746938726e-06	0.000465678115398176769	0.000258130919777930113	0	-732.446983637602216	13.1472233220176058	0.00131682397989574002	1	0.5	0.000438694308354893104	0.000890303759949221231	0.000572973619704196004	2	-733.270066852617219	13.168735862886102	0.00080534449338705565	1	0.5	0.000314383789032545845	0.000351896764070373357	0.000264145507839365313	2	-716.289529748088853	13.4828611694488494	0.00080534449338705565	1	0.5	0.000313991375695040246	5.24827587335982578e-05	0.000218574464309812818
600	-4393.50036097528937	84.0996931348885681	2	5.61529976131282993	0	-749.191758525553382	13.1995638391125425	0.00134399861203538689	1	0.5	0.000493052019088772997	0.00081155351701951337	0.000719536828473970312	0	-715.331083589490731	14.4637984383919367	0.00134399861203538689	1	0.5	0.000229796806735901247	3.88254029762369964e-05	0.000141391344150556321	0	-751.06115128883232	13.3458546468977524	0.00134399861203538689	1	0.5	0.00056654394041145376	0.000916607483923298732	0.000700803633119915386	0	-731.109487721309279	13.9880917990016655	0.00134399861203538689	1	0.5	0.00034086024549868899	0.000383479398034432446	0.000383285687997563732	0	-731.927544688622902	14.356155458823876	0.00134399861203538689	1	0.5	0.000152912424098312487	8.25107688203929906e-05	0.000127880499618347943	1	-714.879335161480867	13.9346000007001969	0.00109483316071042687	1	0.5	0.000186666657990167226	1.16147862557233424e-05	0.000114882981086601488
700	-4389.59205081962045	86.0004198404612197	2	1.18141056022970337	0	-748.000258170424331	13.8462288400743887	0.00103140022091966778	1	0.5	0.000191920008897065151	0.000446449961388605411	0.000353189922774732341	0	-715.426194701837062	14.0240703171850782	0.00103140022091966778	1	0.5	0.000304824872581094925	9.6483955994193819e-05	0.000224039795941862916	0	-749.455638652059179	13.7846059315135392	0.00103140022091966778	1	0.5	0.000319878859427205945	0.00075041526152126118	0.000516222968107521332	0	-730.490584326740873	14.2699948635219975	0.00103140022091966778	1	0.5	0.000164518852551342646	0.000152858162699140611	0.000172533180835992037	0	-731.654543860897547	12.724953676311225	0.00103140022091966778	1	0.5	0.000317313410555825071	0.00013453517872757427	0.000284635914933934701	1	-714.564831107662144	14.5603816113389541	0.00272848849387095308	1	0.5	4.93936166769578706e-05	1.48445486862068807e-05	3.46704421757170535e-05
800	-4393.90970593672409	76.3691748475115588	1	1.28427443316032686	0	-747.271140505316566	9.26840672329840487	0.000807737044751878305	1	0.5	0.000184015841172503579	0.000837477340919001029	0.000314272786574394582	0	-716.652009603699639	13.7699072586135003	0.000807737044751878305	1	0.5	0.000703674407333410544	0.000168138030098529512	0.000388039378600521609	0	-749.092837241660845	13.8270285417366416	0.000807737044751878305	1	0.5	0.000214967673472781385	0.000784185126248601052	0.000471363575571245321	0	-730.128634528690895	13.5724651844107456	0.000807737044751878305	1	0.5	0.000213758527293530164	0.000468172351982230027	0.000389516766109430793	0	-732.190672365652631	14.1933065585712175	0.000807737044751878305	1	0.5	0.000495893149027316167	0.000161263632517039942	0.000328725795525686864	0	-718.574411691703517	11.9016252739508914	0.000807737044751878305	1	0.5	0.000678095130837151313	0.00010173539260674353	0.000279183967907257503
900	-4395.61074648642534	82.1327015132150251	1	0.466264126810887969	0	-748.564240105042018	13.53096646893529	0.00135510119260499645	1	0.5	0.000322014675025668903	0.000811239421295098582	0.000507006113496408835	0	-721.418846975758925	13.0478261993914568	0.00135510119260499645	1	0.5	0.00114745646934937755	0.000618365836579481206	0.000903844671793569126	0	-747.965363797818327	13.5860907229901144	0.00135510119260499645	1	0.5	0.000114365159513326708	0.00053488552682860865	0.000371714157987091656	0	-729.652747689375133	13.9659820989713577	0.00135510119260499645	1	0.5	5.61023928575176277e-05	0.000369763222116537243	0.00023889703711612277	0	-731.445761806888868	14.2324328239844604	0.00135510119260499645	1	0.5	0.000573892290039957221	5.14964267593071085e-05	0.000302971947891871897	0	-716.563786111541503	13.4999603126540677	0.00135510119260499645	1	0.5	0.000196722243735601395	0.000311009584403577725	0.000205201093965576926
1000	-4388.01265847412924	90.7580806416086006	3	3.21978818639416842	0	-747.57736329730119	14.043925205108593	0.000225785603501768301	1	0.5	0.00027955983402933748	0.00024955458308364959	0.000288397981956396861	1	-716.319279417471307	14.2716664663270336	0.00147669905828059947	1	0.5	4.46469221306616977e-05	6.57401327807711643e-05	6.20086764148622524e-05	1	-748.129077077061993	14.2867871989416866	0.00147669905828059947	1	0.5	0.000120456496098494939	0.000407490120700776132	0.000247616176079647318	1	-729.972075131905285	12.8945233516690916	0.00147669905828059947	1	0.5	9.30096051322270049e-05	0.000287794770325878134	0.000143061332666606384	2	-731.980263271727154	14.2111574357812778	0.00240863367326189966	1	0.5	0.000515383769452380618	2.65470311382146383e-05	0.000283560218882808338	1	-714.034600278661628	14.697431463699008	0.00147669905828059947	1	0.5	5.27746659860211663e-05	2.89107745744604858e-05	4.23843930556198437e-05
1100	-4389.67851205263651	80.9669931098636653	1	0.165934210046628977	0	-747.887846815773514	14.1905841061774858	0.000967709425835273375	1	0.5	0.000195315195896606739	0.000418204657114900941	0.000315343436219026497	0	-716.055951142299705	14.5131703823720102	0.000967709425835273375	1	0.5	4.42413086490829819e-05	0.000126634703818662836	7.68138806290917547e-05	0	-747.866355086038425	13.966742234164176	0.000967709425835273375	1	0.5	5.42426957507226868e-05	0.000787290472336467742	0.000393519732034040642	0	-729.372179264150759	14.0368632627165084	0.000967709425835273375	1	0.5	2.96183080030168968e-05	0.00060587130202769898	0.00028486014871136582	0	-732.540326753212753	12.4842937254293016	0.000967709425835273375	1	0.5	0.000130067581457717058	0.000163145178607664233	0.00018973984704511571	0	-715.955852991160668	11.8321248556595879	0.000967709425835273375	1	0.5	0.000217808413238653419	0.000113878969449387882	0.000114392834736557259
1200	-4392.43234809150545	82.4508947939878709	3	1.76409795622817245	0	-747.590448859980711	12.880673395150847	0.000295800755095874967	1	0.5	0.000401247535597058541	0.00094636427181221108	0.000559821321561154825	1	-717.516529681857264	13.0020246130530985	0.00136670090453403881	1	0.5	0.000200153337646964783	0.000482807363847763415	0.000266586230162599075	1	-749.642469497712341	12.1946473062049758	0.00136670090453403881	1	0.5	0.000289722391250979276	0.0010193778129141504	0.000804507329608027274	0	-730.222526915767844	12.1630286667504173	0.000295800755095874967	1	0.5	7.50729100972586251e-05	0.000892974262310985588	0.000359207534805080868	1	-732.293879750301585	12.1989483382370558	0.00136670090453403881	1	0.5	0.000697211244915419315	0.000149078057218802394	0.000538041241159239016	2	-715.166493385885246	14.568329940945425	0.00135143865200155013	1	0.5	0.000247904448872877253	2.5233751373706103e-05	0.000130095781594474058
1300	-4394.8143571481578	84.2534002799150272	2	2.42821413946520037	0	-749.33143942235165	13.6282949589837017	0.00161315268534578758	1	0.5	0.000126786055353317486	0.000882527549648994751	0.000543301897904794402	0	-717.892613806035911	13.8414460716525802	0.00161315268534578758	1	0.5	0.000929877164157756793	8.86560997399637378e-05	0.000495891820934903646	0	-748.039902250919113	13.7953604753634629	0.00161315268534578758	1	0.5	3.512163232347203e-05	0.000952198616855799858	0.000456949606580899989	0	-731.312030008095917	13.4371968680771605	0.00161315268534578758	1	0.5	0.000211026145934839119	0.000802797981493508597	0.000435253211024993895	0	-732.044880256222086	13.0327816620665473	0.00161315268534578758	1	0.5	0.000439581065673307319	0.000186105481354375516	0.000243584264128951814	1	-716.193491404533688	14.1007324045855018	0.00201531385299078079	1	0.5	0.000382187780960786469	6.97592008312381082e-05	0.000247233728916560543
1400	-4390.53013847830516	86.190069393357831	2	1.02949773734614913	0	-748.494727012573662	13.6063468502743063	0.000927626556579680427	1	0.5	0.000167915736828607169	0.000261826134024940882	0.000251610553667241325	0	-714.973841405610528	14.4228444105091214	0.000927626556579680427	1	0.5	0.000269129381160506536	4.57253884476384488e-05	0.000143592010870990309	0	-748.175895914595003	13.5717830829522299	0.000927626556579680427	1	0.5	6.08015125155230389e-05	0.000971632644180135284	0.000455854862233162476	1	-730.394809271419149	13.8924371648540621	0.00187466938027766638	1	0.5	8.73756751489088217e-05	0.000414291739776730171	0.0002134264783444854	0	-734.294832500183702	13.1518785276949721	0.000927626556579680427	1	0.5	0.00105158376751341679	0.000296519737254021909	0.000583597176088061385	0	-714.196032373922662	14.6746182311493598	0.000927626556579680427	1	0.5	4.030300608314945e-05	1.20662757704004094e-05	2.38096989536023039e-05
