parameter	burnin	psrf	ess_concat	ess_0
ln_likelihood	1	-	1000.0	1000.0
concentration	1	-	1000.0	1000.0
ln_likelihood_PopulationA	1	-	1000.0	1000.0
root_height_PopulationA	1	-	852.2238014158975	852.2238014158975
pop_size_PopulationA	1	-	1000.0	1000.0
pop_size_PopulationB	1	-	1000.0	1000.0
pop_size_root_PopulationA	1	-	1000.0	1000.0
ln_likelihood_PopulationC	1	-	1000.0	1000.0
root_height_PopulationC	1	-	1000.0	1000.0
pop_size_PopulationC	1	-	1000.0	1000.0
pop_size_PopulationD	1	-	954.79246521268	954.79246521268
pop_size_root_PopulationC	1	-	1000.0	1000.0
ln_likelihood_PopulationE	1	-	776.5747799140769	776.5747799140769
root_height_PopulationE	1	-	940.9014595457966	940.9014595457966
pop_size_PopulationE	1	-	1000.0	1000.0
pop_size_PopulationF	1	-	913.2370365634287	913.2370365634287
pop_size_root_PopulationE	1	-	832.1985990479978	832.1985990479978
ln_likelihood_PopulationG	1	-	1000.0	1000.0
root_height_PopulationG	1	-	1000.0	1000.0
pop_size_PopulationG	1	-	857.1021728769757	857.1021728769757
pop_size_PopulationH	1	-	1000.0	1000.0
pop_size_root_PopulationG	1	-	1000.0	1000.0
ln_likelihood_PopulationI	1	-	1000.0	1000.0
root_height_PopulationI	1	-	979.1310077808492	979.1310077808492
pop_size_PopulationI	1	-	1000.0	1000.0
pop_size_PopulationJ	1	-	892.9566420163954	892.9566420163954
pop_size_root_PopulationI	1	-	935.475628113774	935.475628113774
ln_likelihood_PopulationK	1	-	936.9806890972296	936.9806890972296
root_height_PopulationK	1	-	864.6771732519096	864.6771732519096
pop_size_PopulationK	1	-	1000.0	1000.0
pop_size_PopulationL	1	-	697.5497960102407	697.5497960102407
pop_size_root_PopulationK	1	-	876.055893731219	876.055893731219
ln_likelihood	100	-	901.0	901.0
concentration	100	-	901.0	901.0
ln_likelihood_PopulationA	100	-	901.0	901.0
root_height_PopulationA	100	-	901.0	901.0
pop_size_PopulationA	100	-	884.2732025029482	884.2732025029482
