Run	Gene_Length	Population_Size	Mutation_Rate	Prob_1_Event	Prob_2_Events	Prob_3_Events	Prob_4_Events	Prob_5_Events	Prob_6_Events	Mean_Divergence_PopA_PopB	Mean_Divergence_PopC_PopD	Mean_Divergence_PopE_PopF	Mean_Divergence_PopG_PopH	Mean_Divergence_PopI_PopJ	Mean_Divergence_PopK_PopL	Gene_Length	Population_Size	Mutation_Rate	Samples_Simulated_Per_Pop	True_Number_Events	True_Divergence_PopA_PopB	True_Divergence_PopC_PopD	True_Divergence_PopE_PopF	True_Divergence_PopG_PopH	True_Divergence_PopI_PopJ	True_Divergence_PopK_PopL
1	X	Y	Z	0.000999	0.080919	0.268731	0.363636	0.216783	0.068931	0.000126	0.000867	0.00092	0.000874	0.003148	0.003184	1000	10000	1.00E-08	10	6	10000	90000	170000	250000	330000	410000
2	X	Y	Z	0.098901	0.23976	0.325674	0.208791	0.096903	0.02997	0.000944	0.002207	0.002904	0.002727	0.00224	0.002969	1000	10000	1.00E-08	10	6	10000	90000	170000	250000	330000	410000
3	X	Y	Z	0	0.094905	0.25974	0.33966	0.233766	0.071928	0.000686	0.001184	0.001373	0.00188	0.005052	0.003827	1000	10000	1.00E-08	10	6	10000	90000	170000	250000	330000	410000
4	X	Y	Z	0.062937	0.233766	0.266733	0.252747	0.141858	0.041958	0.00103	0.002158	0.002693	0.002712	0.00364	0.002527	1000	10000	1.00E-08	10	6	10000	90000	170000	250000	330000	410000
5	X	Y	Z	0.030969	0.184815	0.311688	0.26973	0.171828	0.030969	0.000906	0.00139	0.001632	0.001833	0.002456	0.003915	1000	10000	1.00E-08	10	6	10000	90000	170000	250000	330000	410000
6	X	Y	Z	0	0.034965	0.235764	0.324675	0.304695	0.0999	0.000193	0.001749	0.001943	0.00232	0.005464	0.002495	1000	10000	1.00E-08	10	6	10000	90000	170000	250000	330000	410000
7	X	Y	Z	0.008991	0.135864	0.272727	0.306693	0.207792	0.067932	0.000692	0.001643	0.001604	0.002993	0.003618	0.003819	1000	10000	1.00E-08	10	6	10000	90000	170000	250000	330000	410000
8	X	Y	Z	0	0.110889	0.266733	0.313686	0.233766	0.074925	0.000662	0.001267	0.000917	0.00472	0.004726	0.003699	1000	10000	1.00E-08	10	6	10000	90000	170000	250000	330000	410000
9	X	Y	Z	0.021978	0.135864	0.254745	0.335664	0.186813	0.064935	0.000702	0.001553	0.001574	0.003474	0.003771	0.003451	1000	10000	1.00E-08	10	6	10000	90000	170000	250000	330000	410000
10	X	Y	Z	0.078921	0.277722	0.311688	0.216783	0.090909	0.023976	0.000837	0.000832	0.001415	0.001697	0.002843	0.001665	1000	10000	1.00E-08	10	6	10000	90000	170000	250000	330000	410000
11	X	Y	Z	0.001998	0.097902	0.226773	0.297702	0.262737	0.112887	0.000658	0.001155	0.001509	0.003492	0.004752	0.004721	1000	10000	1.00E-08	10	6	10000	90000	170000	250000	330000	410000
12	X	Y	Z	0.016983	0.15984	0.288711	0.294705	0.184815	0.054945	0.000666	0.001969	0.003248	0.00305	0.003889	0.003592	1000	10000	1.00E-08	10	6	10000	90000	170000	250000	330000	410000
13	X	Y	Z	0.012987	0.1998	0.331668	0.275724	0.137862	0.041958	0.000828	0.001577	0.001457	0.001493	0.001979	0.004699	1000	10000	1.00E-08	10	6	10000	90000	170000	250000	330000	410000
14	X	Y	Z	0.001998	0.102897	0.247752	0.28971	0.267732	0.08991	0.000768	0.00111	0.003395	0.004175	0.00441	0.005223	1000	10000	1.00E-08	10	6	10000	90000	170000	250000	330000	410000
15	X	Y	Z	0.000999	0.072927	0.214785	0.345654	0.277722	0.087912	0.000732	0.002061	0.001216	0.003383	0.006007	0.003845	1000	10000	1.00E-08	10	6	10000	90000	170000	250000	330000	410000
16	X	Y	Z	0	0.075924	0.204795	0.314685	0.280719	0.123876	0.000674	0.002015	0.001694	0.002986	0.004687	0.005429	1000	10000	1.00E-08	10	6	10000	90000	170000	250000	330000	410000
17	X	Y	Z	0.004995	0.151848	0.281718	0.284715	0.194805	0.081918	0.000716	0.001357	0.001502	0.001925	0.003063	0.00444	1000	10000	1.00E-08	10	6	10000	90000	170000	250000	330000	410000
18	X	Y	Z	0.023976	0.201798	0.298701	0.271728	0.164835	0.038961	0.000659	0.000655	0.002483	0.002428	0.003412	0.002754	1000	10000	1.00E-08	10	6	10000	90000	170000	250000	330000	410000
19	X	Y	Z	0	0.133866	0.25974	0.305694	0.232767	0.067932	0.000408	0.000489	0.00297	0.00317	0.003548	0.004381	1000	10000	1.00E-08	10	6	10000	90000	170000	250000	330000	410000
20	X	Y	Z	0	0.00999	0.156843	0.335664	0.363636	0.133866	0.000198	0.000535	0.002751	0.003066	0.003945	0.007171	1000	10000	1.00E-08	10	6	10000	90000	170000	250000	330000	410000
21	X	Y	Z	0.055944	0.236763	0.273726	0.255744	0.134865	0.042957	0.000986	0.001991	0.002593	0.002529	0.003344	0.003364	1000	10000	1.00E-08	10	6	10000	90000	170000	250000	330000	410000
22	X	Y	Z	0	0.074925	0.25974	0.337662	0.262737	0.064935	0.000619	0.000637	0.001946	0.00338	0.001441	0.005329	1000	10000	1.00E-08	10	6	10000	90000	170000	250000	330000	410000
23	X	Y	Z	0	0.070929	0.238761	0.351648	0.246753	0.091908	0.000729	0.001066	0.00192	0.00226	0.002529	0.008026	1000	10000	1.00E-08	10	6	10000	90000	170000	250000	330000	410000
24	X	Y	Z	0	0.02997	0.192807	0.330669	0.326673	0.11988	0.000713	0.001355	0.000972	0.003845	0.007622	0.007231	1000	10000	1.00E-08	10	6	10000	90000	170000	250000	330000	410000
25	X	Y	Z	0	0.020979	0.150849	0.302697	0.355644	0.16983	0.000259	0.000984	0.001852	0.006401	0.006399	0.006356	1000	10000	1.00E-08	10	6	10000	90000	170000	250000	330000	410000
26	X	Y	Z	0	0.043956	0.174825	0.346653	0.293706	0.140859	0.000611	0.003557	0.006012	0.00595	0.007743	0.006532	1000	10000	1.00E-08	10	6	10000	90000	170000	250000	330000	410000
27	X	Y	Z	0	0.018981	0.128871	0.25974	0.383616	0.208791	0.000601	0.002308	0.005272	0.00594	0.005784	0.008672	1000	10000	1.00E-08	10	6	10000	90000	170000	250000	330000	410000
28	X	Y	Z	0	0.008991	0.078921	0.263736	0.390609	0.257742	0.000636	0.002139	0.004425	0.003472	0.007863	0.00959	1000	10000	1.00E-08	10	6	10000	90000	170000	250000	330000	410000
29	X	Y	Z	0	0.001998	0.084915	0.258741	0.384615	0.26973	0.000666	0.003334	0.003588	0.004061	0.011036	0.006582	1000	10000	1.00E-08	10	6	10000	90000	170000	250000	330000	410000
30	X	Y	Z	0	0.000999	0.060939	0.26973	0.390609	0.277722	0.000604	0.00101	0.004284	0.005707	0.00746	0.01197	1000	10000	1.00E-08	10	6	10000	90000	170000	250000	330000	410000
